# event_ticker=KXATPCHALLENGERMATCH-26JUN03TOMMAT
# final_score=7-6(4) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Hayato Matsuoka
# fav_player=Bernard Tomic
# dog_player=Hayato Matsuoka
# kalshi_date=2026-06-03
timestamp,Bernard Tomic,Hayato Matsuoka
2026-06-03T18:30:00Z,61.00,
2026-06-03T18:39:00Z,60.00,43.43
2026-06-03T18:43:00Z,62.14,44.00
2026-06-03T19:02:00Z,60.00,44.00
2026-06-03T19:06:00Z,58.00,44.00
2026-06-03T19:08:00Z,58.00,43.00
2026-06-03T19:09:00Z,60.55,45.00
2026-06-03T19:21:00Z,59.00,45.00
2026-06-03T19:24:00Z,59.43,45.00
2026-06-03T19:25:00Z,59.00,41.31
2026-06-03T19:26:00Z,57.36,41.31
2026-06-03T19:27:00Z,52.02,47.56
2026-06-03T19:28:00Z,46.00,52.00
2026-06-03T19:29:00Z,46.63,52.21
2026-06-03T19:30:00Z,58.53,52.21
2026-06-03T19:31:00Z,58.71,46.60
2026-06-03T19:32:00Z,51.00,48.98
2026-06-03T19:33:00Z,52.27,53.00
2026-06-03T19:34:00Z,53.26,52.00
2026-06-03T19:35:00Z,51.52,52.31
2026-06-03T19:36:00Z,40.78,60.80
2026-06-03T19:37:00Z,32.80,65.27
2026-06-03T19:38:00Z,35.00,65.27
2026-06-03T19:39:00Z,32.68,68.21
2026-06-03T19:40:00Z,27.21,72.84
2026-06-03T19:41:00Z,30.65,69.28
2026-06-03T19:42:00Z,33.01,69.00
2026-06-03T19:43:00Z,33.13,69.00
2026-06-03T19:44:00Z,34.09,66.69
2026-06-03T19:45:00Z,37.00,65.07
2026-06-03T19:46:00Z,46.88,65.07
2026-06-03T19:47:00Z,44.03,55.70
2026-06-03T19:48:00Z,50.09,54.96
2026-06-03T19:49:00Z,54.67,48.00
2026-06-03T19:50:00Z,56.07,47.61
2026-06-03T19:51:00Z,55.49,46.98
2026-06-03T19:52:00Z,53.92,47.00
2026-06-03T19:53:00Z,57.72,44.39
2026-06-03T19:54:00Z,53.00,47.00
2026-06-03T19:55:00Z,52.58,54.44
2026-06-03T19:56:00Z,37.43,60.06
2026-06-03T19:57:00Z,44.93,57.11
2026-06-03T19:58:00Z,49.42,52.16
2026-06-03T19:59:00Z,55.82,48.00
2026-06-03T20:00:00Z,59.52,40.43
2026-06-03T20:01:00Z,62.90,37.91
2026-06-03T20:02:00Z,59.90,42.79
2026-06-03T20:03:00Z,55.57,44.56
2026-06-03T20:04:00Z,51.23,49.00
2026-06-03T20:05:00Z,48.40,53.99
2026-06-03T20:06:00Z,51.04,51.63
2026-06-03T20:07:00Z,44.67,56.85
2026-06-03T20:08:00Z,52.63,51.35
2026-06-03T20:09:00Z,51.56,49.70
2026-06-03T20:10:00Z,49.23,50.89
2026-06-03T20:11:00Z,51.98,49.00
2026-06-03T20:12:00Z,54.46,48.42
2026-06-03T20:13:00Z,53.39,46.81
2026-06-03T20:14:00Z,48.03,50.40
2026-06-03T20:15:00Z,49.43,52.96
2026-06-03T20:16:00Z,49.47,54.13
2026-06-03T20:17:00Z,41.45,62.36
2026-06-03T20:18:00Z,38.83,64.02
2026-06-03T20:19:00Z,39.95,60.32
2026-06-03T20:20:00Z,36.44,68.32
2026-06-03T20:21:00Z,26.52,73.10
2026-06-03T20:22:00Z,22.77,75.15
2026-06-03T20:23:00Z,26.36,74.00
