# event_ticker=KXATPMATCH-25NOV01ZVESIN
# final_score=6-0 6-1
# score_resolution=0-6 1-6
# match_winner=Jannik Sinner
# fav_player=Alexander Zverev
# dog_player=Jannik Sinner
# kalshi_date=2025-11-01
timestamp,Alexander Zverev,Jannik Sinner
2025-11-01T04:24:00Z,,85.00
2025-11-01T04:30:00Z,15.00,85.00
2025-11-01T04:46:00Z,15.00,85.00
2025-11-01T04:50:00Z,16.00,85.00
2025-11-01T04:54:00Z,16.00,85.00
2025-11-01T05:04:00Z,16.00,85.00
2025-11-01T05:05:00Z,16.00,85.00
2025-11-01T05:10:00Z,16.00,85.00
2025-11-01T05:14:00Z,16.00,85.00
2025-11-01T05:16:00Z,16.00,85.00
2025-11-01T05:18:00Z,16.00,85.00
2025-11-01T05:21:00Z,16.00,85.00
2025-11-01T05:29:00Z,16.00,85.00
2025-11-01T05:34:00Z,16.00,85.00
2025-11-01T05:38:00Z,16.00,85.00
2025-11-01T06:03:00Z,16.00,85.00
2025-11-01T06:18:00Z,16.00,85.00
2025-11-01T06:19:00Z,16.00,85.00
2025-11-01T06:20:00Z,16.00,85.00
2025-11-01T06:36:00Z,16.00,85.00
2025-11-01T06:44:00Z,16.00,85.00
2025-11-01T06:49:00Z,16.00,85.00
2025-11-01T06:51:00Z,16.00,85.00
2025-11-01T07:08:00Z,16.00,85.00
2025-11-01T07:09:00Z,16.00,85.00
2025-11-01T07:20:00Z,16.00,85.00
2025-11-01T07:21:00Z,16.00,85.00
2025-11-01T07:32:00Z,16.00,85.00
2025-11-01T07:44:00Z,16.00,85.00
2025-11-01T07:50:00Z,16.00,85.00
2025-11-01T07:59:00Z,16.00,85.00
2025-11-01T08:01:00Z,16.00,85.00
2025-11-01T08:10:00Z,16.00,85.00
2025-11-01T08:17:00Z,16.00,85.00
2025-11-01T08:19:00Z,15.00,85.00
2025-11-01T08:54:00Z,15.00,85.00
2025-11-01T09:06:00Z,15.00,85.00
2025-11-01T09:37:00Z,16.00,85.00
2025-11-01T09:42:00Z,16.00,85.00
2025-11-01T09:53:00Z,16.00,85.00
2025-11-01T10:01:00Z,16.00,85.00
2025-11-01T10:03:00Z,16.00,85.00
2025-11-01T10:04:00Z,16.00,85.00
2025-11-01T10:10:00Z,16.00,85.00
2025-11-01T10:20:00Z,16.00,85.00
2025-11-01T10:22:00Z,16.00,85.00
2025-11-01T10:25:00Z,16.00,85.00
2025-11-01T10:28:00Z,16.00,85.00
2025-11-01T10:29:00Z,16.00,85.00
2025-11-01T10:37:00Z,16.00,85.00
2025-11-01T10:43:00Z,16.00,85.00
2025-11-01T10:50:00Z,15.17,85.00
2025-11-01T11:01:00Z,16.00,85.00
2025-11-01T11:04:00Z,16.00,85.00
2025-11-01T11:22:00Z,16.00,85.00
2025-11-01T11:36:00Z,16.00,85.00
2025-11-01T11:41:00Z,16.00,85.00
2025-11-01T11:42:00Z,16.00,85.00
2025-11-01T11:50:00Z,16.00,85.00
2025-11-01T11:51:00Z,16.00,85.00
2025-11-01T11:52:00Z,16.00,84.00
2025-11-01T11:53:00Z,16.00,84.00
2025-11-01T12:04:00Z,16.00,85.00
2025-11-01T12:26:00Z,16.00,85.00
2025-11-01T12:28:00Z,16.00,85.00
2025-11-01T12:30:00Z,16.00,85.00
2025-11-01T12:38:00Z,16.00,85.00
2025-11-01T12:46:00Z,16.00,85.00
2025-11-01T12:54:00Z,16.00,85.51
2025-11-01T12:59:00Z,16.00,86.00
2025-11-01T13:01:00Z,16.00,86.00
2025-11-01T13:06:00Z,16.00,86.00
2025-11-01T13:08:00Z,16.00,86.00
2025-11-01T13:10:00Z,16.00,86.00
2025-11-01T13:14:00Z,16.00,86.00
2025-11-01T13:15:00Z,16.00,86.00
2025-11-01T13:19:00Z,16.00,86.00
2025-11-01T13:20:00Z,16.00,86.00
2025-11-01T13:31:00Z,16.00,86.00
2025-11-01T13:33:00Z,16.00,86.00
2025-11-01T13:39:00Z,16.00,86.00
2025-11-01T13:47:00Z,16.00,86.00
2025-11-01T13:50:00Z,16.00,86.00
2025-11-01T13:54:00Z,16.00,86.00
2025-11-01T14:07:00Z,16.00,86.00
2025-11-01T14:11:00Z,15.00,86.00
2025-11-01T14:13:00Z,16.00,86.00
2025-11-01T14:17:00Z,16.00,86.00
2025-11-01T14:28:00Z,16.00,86.00
2025-11-01T14:32:00Z,16.00,86.00
2025-11-01T14:35:00Z,16.00,86.00
2025-11-01T14:36:00Z,16.00,86.00
2025-11-01T14:52:00Z,16.00,86.00
2025-11-01T14:53:00Z,16.00,86.00
2025-11-01T14:55:00Z,15.00,86.00
2025-11-01T14:58:00Z,16.00,86.00
2025-11-01T14:59:00Z,16.00,86.00
2025-11-01T15:06:00Z,16.00,86.00
2025-11-01T15:11:00Z,16.00,86.00
2025-11-01T15:14:00Z,16.00,86.00
2025-11-01T15:16:00Z,16.00,86.00
2025-11-01T15:17:00Z,16.00,86.00
2025-11-01T15:18:00Z,16.00,86.00
2025-11-01T15:19:00Z,16.48,86.00
2025-11-01T15:20:00Z,17.00,86.00
2025-11-01T15:21:00Z,17.00,86.00
2025-11-01T15:23:00Z,17.00,85.00
2025-11-01T15:25:00Z,17.00,85.00
2025-11-01T15:26:00Z,17.00,85.00
2025-11-01T15:27:00Z,17.00,84.79
2025-11-01T15:29:00Z,17.00,84.00
2025-11-01T15:30:00Z,17.00,84.00
2025-11-01T15:31:00Z,17.00,84.00
2025-11-01T15:33:00Z,17.00,84.83
2025-11-01T15:34:00Z,17.00,84.83
2025-11-01T15:35:00Z,17.00,84.83
2025-11-01T15:39:00Z,17.00,85.00
2025-11-01T15:41:00Z,17.00,85.00
2025-11-01T15:43:00Z,17.00,85.00
2025-11-01T15:44:00Z,17.00,85.00
2025-11-01T15:45:00Z,17.00,85.00
2025-11-01T15:46:00Z,17.00,85.00
2025-11-01T15:47:00Z,17.00,85.00
2025-11-01T15:49:00Z,17.00,85.00
2025-11-01T15:50:00Z,17.00,85.00
2025-11-01T15:51:00Z,17.00,85.00
2025-11-01T15:52:00Z,17.00,85.00
2025-11-01T15:53:00Z,17.00,85.00
2025-11-01T15:54:00Z,17.00,85.00
2025-11-01T15:55:00Z,17.00,85.00
2025-11-01T15:56:00Z,17.00,85.00
2025-11-01T15:57:00Z,17.00,84.00
2025-11-01T15:58:00Z,17.00,84.00
2025-11-01T15:59:00Z,17.00,84.00
2025-11-01T16:00:00Z,17.00,84.00
2025-11-01T16:01:00Z,17.00,84.00
2025-11-01T16:03:00Z,17.00,84.00
2025-11-01T16:04:00Z,17.00,84.00
2025-11-01T16:05:00Z,17.00,84.00
2025-11-01T16:06:00Z,17.00,84.00
2025-11-01T16:07:00Z,17.00,84.00
2025-11-01T16:08:00Z,17.00,84.00
2025-11-01T16:09:00Z,17.00,84.00
2025-11-01T16:10:00Z,17.00,84.00
2025-11-01T16:11:00Z,17.33,84.00
2025-11-01T16:12:00Z,15.87,84.11
2025-11-01T16:13:00Z,15.45,87.00
2025-11-01T16:14:00Z,11.65,88.21
2025-11-01T16:15:00Z,11.75,89.06
2025-11-01T16:16:00Z,9.33,89.06
2025-11-01T16:17:00Z,8.99,91.01
2025-11-01T16:18:00Z,9.33,92.00
2025-11-01T16:19:00Z,8.67,92.00
2025-11-01T16:20:00Z,8.00,92.03
2025-11-01T16:21:00Z,8.08,93.00
2025-11-01T16:22:00Z,8.00,93.00
2025-11-01T16:23:00Z,8.00,92.96
2025-11-01T16:24:00Z,7.00,94.04
2025-11-01T16:25:00Z,7.00,94.04
2025-11-01T16:26:00Z,7.20,94.04
2025-11-01T16:27:00Z,4.77,96.76
2025-11-01T16:28:00Z,5.00,95.00
2025-11-01T16:29:00Z,4.62,95.00
2025-11-01T16:30:00Z,4.40,95.00
2025-11-01T16:31:00Z,5.00,95.68
2025-11-01T16:32:00Z,4.00,97.00
2025-11-01T16:33:00Z,4.42,97.00
2025-11-01T16:34:00Z,4.59,95.00
2025-11-01T16:35:00Z,4.00,95.52
2025-11-01T16:36:00Z,3.22,97.00
2025-11-01T16:37:00Z,3.00,98.00
2025-11-01T16:38:00Z,3.00,98.00
2025-11-01T16:39:00Z,3.40,97.00
2025-11-01T16:40:00Z,4.00,97.00
2025-11-01T16:41:00Z,4.00,97.00
2025-11-01T16:42:00Z,4.00,97.00
2025-11-01T16:43:00Z,4.00,97.00
2025-11-01T16:44:00Z,3.92,97.00
2025-11-01T16:45:00Z,4.49,97.00
2025-11-01T16:46:00Z,4.81,96.20
2025-11-01T16:47:00Z,3.31,97.00
2025-11-01T16:48:00Z,2.83,97.00
2025-11-01T16:49:00Z,3.00,97.00
2025-11-01T16:50:00Z,3.57,97.00
2025-11-01T16:51:00Z,3.76,97.00
2025-11-01T16:52:00Z,4.00,97.00
2025-11-01T16:53:00Z,3.65,97.00
2025-11-01T16:54:00Z,3.59,97.00
2025-11-01T16:55:00Z,3.46,97.00
2025-11-01T16:56:00Z,3.08,97.00
2025-11-01T16:57:00Z,5.32,97.06
2025-11-01T16:58:00Z,2.51,98.00
2025-11-01T16:59:00Z,1.99,98.89
2025-11-01T17:00:00Z,2.00,98.98
2025-11-01T17:01:00Z,1.44,99.00
2025-11-01T17:02:00Z,1.76,99.00
2025-11-01T17:03:00Z,1.17,99.00
2025-11-01T17:04:00Z,1.00,99.00
2025-11-01T17:05:00Z,1.00,99.00
2025-11-01T17:06:00Z,1.00,99.00
2025-11-01T17:08:00Z,1.00,99.00
2025-11-01T17:09:00Z,1.00,99.00
2025-11-01T17:10:00Z,1.00,99.00
