# event_ticker=KXATPCHALLENGERMATCH-26APR23SHIKRU
# final_score=6-2 6-7(3) 6-2
# score_resolution=2-6 7-6 2-6
# match_winner=Mitchell Krueger
# fav_player=Braden Shick
# dog_player=Mitchell Krueger
# kalshi_date=2026-04-23
timestamp,Braden Shick,Mitchell Krueger
2026-04-23T13:51:00Z,31.00,
2026-04-23T14:24:00Z,32.55,
2026-04-23T14:28:00Z,32.55,69.00
2026-04-23T14:50:00Z,32.55,67.00
2026-04-23T15:09:00Z,32.55,68.00
2026-04-23T15:21:00Z,33.00,68.00
2026-04-23T15:29:00Z,33.00,68.00
2026-04-23T15:32:00Z,33.00,68.00
2026-04-23T15:33:00Z,33.00,68.00
2026-04-23T15:34:00Z,33.00,68.00
2026-04-23T15:37:00Z,33.00,68.00
2026-04-23T16:00:00Z,33.00,69.00
2026-04-23T16:23:00Z,33.00,69.00
2026-04-23T16:25:00Z,33.00,69.00
2026-04-23T16:29:00Z,33.00,67.00
2026-04-23T16:39:00Z,33.00,68.00
2026-04-23T16:50:00Z,33.00,69.00
2026-04-23T17:37:00Z,33.00,69.00
2026-04-23T17:43:00Z,33.00,69.00
2026-04-23T17:59:00Z,33.00,69.00
2026-04-23T18:01:00Z,33.00,69.00
2026-04-23T18:11:00Z,33.00,68.00
2026-04-23T18:18:00Z,33.00,68.00
2026-04-23T18:21:00Z,33.00,68.00
2026-04-23T18:30:00Z,33.00,68.00
2026-04-23T18:55:00Z,33.00,68.00
2026-04-23T18:59:00Z,33.00,68.00
2026-04-23T19:05:00Z,33.00,68.00
2026-04-23T19:07:00Z,33.00,68.27
2026-04-23T19:10:00Z,33.00,69.00
2026-04-23T19:12:00Z,33.00,69.00
2026-04-23T19:13:00Z,33.00,69.00
2026-04-23T19:17:00Z,33.00,70.00
2026-04-23T19:22:00Z,33.00,70.00
2026-04-23T19:24:00Z,33.00,69.00
2026-04-23T19:27:00Z,33.00,70.00
2026-04-23T19:28:00Z,33.00,68.00
2026-04-23T19:29:00Z,33.00,70.00
2026-04-23T19:33:00Z,33.00,70.00
2026-04-23T19:37:00Z,33.00,70.00
2026-04-23T19:39:00Z,33.00,70.00
2026-04-23T19:41:00Z,33.00,70.00
2026-04-23T19:42:00Z,33.00,70.00
