# event_ticker=KXATPCHALLENGERMATCH-26MAR26RONROD
# final_score=2-6 6-3 6-2
# score_resolution=6-2 3-6 2-6
# match_winner=Franco Roncadelli
# fav_player=Lorenzo Joaquin Rodriguez
# dog_player=Franco Roncadelli
# kalshi_date=2026-03-26
timestamp,Lorenzo Joaquin Rodriguez,Franco Roncadelli
2026-03-26T05:49:00Z,40.00,70.00
2026-03-26T05:50:00Z,33.00,59.00
2026-03-26T06:29:00Z,33.00,65.00
2026-03-26T09:01:00Z,33.00,63.50
2026-03-26T09:06:00Z,33.00,63.00
2026-03-26T09:09:00Z,33.00,63.00
2026-03-26T09:31:00Z,33.00,62.00
2026-03-26T10:03:00Z,33.00,62.00
2026-03-26T10:40:00Z,40.00,62.00
2026-03-26T11:19:00Z,40.00,61.00
2026-03-26T11:38:00Z,40.00,61.00
2026-03-26T11:59:00Z,41.36,61.00
2026-03-26T12:04:00Z,41.36,60.00
2026-03-26T12:12:00Z,43.00,60.00
2026-03-26T12:24:00Z,43.00,59.00
2026-03-26T12:33:00Z,43.00,59.00
2026-03-26T12:49:00Z,43.00,59.00
2026-03-26T12:58:00Z,43.00,59.00
2026-03-26T13:11:00Z,43.00,59.00
2026-03-26T13:22:00Z,43.00,59.00
2026-03-26T13:27:00Z,43.00,59.00
2026-03-26T13:33:00Z,42.00,59.00
2026-03-26T13:53:00Z,44.00,59.00
2026-03-26T14:20:00Z,44.00,58.00
2026-03-26T14:32:00Z,44.00,58.00
2026-03-26T14:34:00Z,44.00,57.00
2026-03-26T14:46:00Z,45.00,57.00
2026-03-26T15:01:00Z,45.00,58.00
2026-03-26T15:03:00Z,45.00,58.00
2026-03-26T15:10:00Z,45.00,58.00
2026-03-26T15:21:00Z,45.00,58.00
2026-03-26T15:53:00Z,46.00,58.00
2026-03-26T16:00:00Z,46.00,57.00
2026-03-26T16:04:00Z,46.00,57.00
2026-03-26T16:06:00Z,46.00,57.00
2026-03-26T16:18:00Z,46.00,57.00
2026-03-26T16:20:00Z,46.00,57.00
2026-03-26T16:21:00Z,46.00,57.00
2026-03-26T16:24:00Z,46.00,57.00
2026-03-26T16:26:00Z,45.50,57.00
2026-03-26T16:28:00Z,45.50,57.00
