# event_ticker=KXATPMATCH-25AUG18SAFOCO
# final_score=6-3 6-3
# match_winner=Christopher O'Connell
# fav_player=Christopher O'Connell
# dog_player=Roman Safiullin
# kalshi_date=2025-08-18
timestamp,Christopher O'Connell,Roman Safiullin
2025-08-18T11:32:00Z,40.00,
2025-08-18T11:55:00Z,40.00,
2025-08-18T14:17:00Z,40.00,62.00
2025-08-18T14:30:00Z,40.00,62.00
2025-08-18T14:32:00Z,40.00,62.00
2025-08-18T14:34:00Z,40.00,62.00
2025-08-18T14:36:00Z,39.00,62.00
2025-08-18T14:40:00Z,39.00,62.00
2025-08-18T14:45:00Z,40.00,62.00
2025-08-18T14:50:00Z,40.00,63.00
2025-08-18T15:21:00Z,38.00,63.00
2025-08-18T15:26:00Z,38.00,63.00
2025-08-18T15:33:00Z,38.00,63.00
2025-08-18T15:41:00Z,38.00,63.00
2025-08-18T15:45:00Z,38.00,62.00
2025-08-18T16:01:00Z,38.52,62.00
2025-08-18T16:28:00Z,39.00,62.00
2025-08-18T16:36:00Z,39.00,62.00
2025-08-18T16:38:00Z,39.00,63.00
2025-08-18T16:50:00Z,39.00,64.00
2025-08-18T16:54:00Z,39.00,64.00
2025-08-18T16:55:00Z,37.00,64.00
2025-08-18T16:56:00Z,37.00,64.00
2025-08-18T16:58:00Z,37.00,64.00
2025-08-18T17:18:00Z,37.00,64.00
2025-08-18T17:27:00Z,37.00,64.00
2025-08-18T17:30:00Z,37.00,64.00
2025-08-18T17:51:00Z,37.00,64.00
2025-08-18T17:52:00Z,37.00,64.00
2025-08-18T17:56:00Z,37.00,62.00
2025-08-18T17:57:00Z,37.00,64.00
2025-08-18T17:59:00Z,38.00,64.00
2025-08-18T18:07:00Z,38.00,64.52
2025-08-18T18:09:00Z,34.00,64.52
2025-08-18T18:10:00Z,38.00,64.52
2025-08-18T18:12:00Z,38.00,60.17
2025-08-18T18:13:00Z,40.71,60.00
2025-08-18T18:14:00Z,40.71,65.00
2025-08-18T18:15:00Z,37.00,65.00
2025-08-18T18:17:00Z,32.69,67.21
2025-08-18T18:19:00Z,36.39,67.21
2025-08-18T18:20:00Z,36.39,63.00
2025-08-18T18:21:00Z,39.00,63.00
2025-08-18T18:22:00Z,39.35,63.00
2025-08-18T18:23:00Z,38.00,63.00
2025-08-18T18:24:00Z,37.03,63.00
2025-08-18T18:25:00Z,35.58,63.00
2025-08-18T18:27:00Z,35.58,65.00
2025-08-18T18:28:00Z,40.00,65.00
2025-08-18T18:31:00Z,42.00,58.00
2025-08-18T18:32:00Z,47.69,52.83
2025-08-18T18:33:00Z,49.36,49.42
2025-08-18T18:34:00Z,53.52,47.06
2025-08-18T18:35:00Z,50.00,50.00
2025-08-18T18:36:00Z,56.84,46.72
2025-08-18T18:37:00Z,62.06,46.72
2025-08-18T18:39:00Z,63.00,46.72
2025-08-18T18:40:00Z,64.00,46.72
2025-08-18T18:41:00Z,64.00,38.00
2025-08-18T18:42:00Z,58.22,38.00
2025-08-18T18:43:00Z,58.22,43.31
2025-08-18T18:44:00Z,58.22,45.00
2025-08-18T18:45:00Z,51.69,46.35
2025-08-18T18:46:00Z,57.07,46.35
2025-08-18T18:47:00Z,62.16,46.35
2025-08-18T18:48:00Z,63.64,38.00
2025-08-18T18:49:00Z,64.33,38.00
2025-08-18T18:50:00Z,63.00,38.00
2025-08-18T18:51:00Z,65.00,38.00
2025-08-18T18:53:00Z,65.00,40.00
2025-08-18T18:54:00Z,62.00,48.45
2025-08-18T18:55:00Z,59.07,48.45
2025-08-18T18:56:00Z,60.61,48.45
2025-08-18T18:57:00Z,68.59,39.00
2025-08-18T18:58:00Z,69.10,33.00
2025-08-18T18:59:00Z,75.26,24.77
2025-08-18T19:00:00Z,72.87,33.00
2025-08-18T19:01:00Z,63.00,37.13
2025-08-18T19:02:00Z,60.00,38.19
2025-08-18T19:03:00Z,60.00,41.14
2025-08-18T19:04:00Z,58.07,42.00
2025-08-18T19:05:00Z,58.07,42.00
2025-08-18T19:07:00Z,64.00,36.21
2025-08-18T19:09:00Z,65.17,36.00
2025-08-18T19:10:00Z,70.11,28.02
2025-08-18T19:11:00Z,84.48,18.90
2025-08-18T19:12:00Z,85.37,18.90
2025-08-18T19:13:00Z,86.00,16.29
2025-08-18T19:14:00Z,89.57,16.29
2025-08-18T19:15:00Z,91.79,16.29
2025-08-18T19:16:00Z,91.56,11.00
2025-08-18T19:18:00Z,88.45,11.94
2025-08-18T19:19:00Z,89.95,11.94
2025-08-18T19:21:00Z,89.84,11.00
2025-08-18T19:22:00Z,87.90,18.57
2025-08-18T19:23:00Z,80.79,19.85
2025-08-18T19:24:00Z,87.82,12.57
2025-08-18T19:25:00Z,93.63,7.48
2025-08-18T19:26:00Z,95.52,7.48
2025-08-18T19:27:00Z,91.35,6.00
2025-08-18T19:28:00Z,96.77,5.00
2025-08-18T19:29:00Z,99.00,5.00
2025-08-18T19:30:00Z,99.00,5.00
2025-08-18T19:33:00Z,99.00,5.00
