# event_ticker=KXATPMATCH-26FEB22PACCOB
# final_score=7-6(3) 7-6(3)
# score_resolution=7-6 7-6
# match_winner=Flavio Cobolli
# fav_player=Flavio Cobolli
# dog_player=Rodrigo Pacheco Mendez
# kalshi_date=2026-02-22
timestamp,Flavio Cobolli,Rodrigo Pacheco Mendez
2026-02-24T12:18:00Z,,21.00
2026-02-24T13:04:00Z,80.00,21.00
2026-02-24T13:10:00Z,80.00,22.00
2026-02-24T13:17:00Z,79.00,22.00
2026-02-24T13:22:00Z,79.00,22.00
2026-02-24T13:27:00Z,79.00,22.00
2026-02-24T13:41:00Z,79.00,22.00
2026-02-24T13:44:00Z,79.00,22.00
2026-02-24T14:00:00Z,79.00,22.00
2026-02-24T14:05:00Z,79.00,22.00
2026-02-24T14:25:00Z,79.00,22.00
2026-02-24T14:35:00Z,79.00,22.00
2026-02-24T14:37:00Z,79.00,22.00
2026-02-24T14:46:00Z,79.00,22.00
2026-02-24T14:50:00Z,79.00,22.00
2026-02-24T14:59:00Z,79.00,22.00
2026-02-24T15:05:00Z,79.00,22.00
2026-02-24T15:07:00Z,79.00,22.00
2026-02-24T15:11:00Z,79.00,22.00
2026-02-24T15:12:00Z,80.00,22.00
2026-02-24T15:20:00Z,80.00,22.00
2026-02-24T15:32:00Z,80.00,22.00
2026-02-24T15:33:00Z,80.00,22.00
2026-02-24T15:42:00Z,80.00,20.00
2026-02-24T16:03:00Z,80.00,22.00
2026-02-24T16:09:00Z,80.00,22.00
2026-02-24T16:11:00Z,80.00,22.00
2026-02-24T16:13:00Z,78.00,22.00
2026-02-24T16:47:00Z,78.00,20.00
2026-02-24T16:48:00Z,81.00,20.00
2026-02-24T17:13:00Z,81.00,20.03
2026-02-24T17:20:00Z,81.00,20.03
2026-02-24T17:51:00Z,81.00,20.03
2026-02-24T17:53:00Z,81.00,20.03
2026-02-24T18:03:00Z,81.00,20.03
2026-02-24T18:07:00Z,81.00,20.03
2026-02-24T18:13:00Z,81.00,21.00
2026-02-24T18:14:00Z,81.00,21.00
