# event_ticker=KXATPCHALLENGERMATCH-26MAR10CARIAN
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Federico Iannaccone
# fav_player=Lorenzo Carboni
# dog_player=Federico Iannaccone
# kalshi_date=2026-03-10
timestamp,Lorenzo Carboni,Federico Iannaccone
2026-03-10T02:38:00Z,54.00,
2026-03-10T03:47:00Z,54.93,
2026-03-10T03:58:00Z,55.00,
2026-03-10T04:04:00Z,55.00,47.00
2026-03-10T04:38:00Z,55.97,47.00
2026-03-10T04:50:00Z,56.00,47.00
2026-03-10T05:01:00Z,56.00,44.00
2026-03-10T05:11:00Z,56.00,44.00
2026-03-10T05:43:00Z,56.00,44.00
2026-03-10T06:39:00Z,56.00,44.00
2026-03-10T08:46:00Z,56.00,44.00
2026-03-10T09:02:00Z,56.00,46.00
2026-03-10T09:11:00Z,56.00,46.00
2026-03-10T09:20:00Z,56.00,46.00
2026-03-10T09:27:00Z,56.00,46.00
2026-03-10T09:28:00Z,56.00,46.00
2026-03-10T09:42:00Z,56.00,46.00
2026-03-10T09:49:00Z,56.00,46.00
2026-03-10T10:01:00Z,56.00,46.00
2026-03-10T10:21:00Z,56.00,46.00
2026-03-10T10:48:00Z,57.00,46.00
2026-03-10T11:01:00Z,57.00,46.00
2026-03-10T11:07:00Z,57.00,46.00
2026-03-10T11:41:00Z,57.00,46.00
2026-03-10T11:51:00Z,57.00,46.00
2026-03-10T11:57:00Z,57.00,46.00
2026-03-10T12:01:00Z,58.00,46.00
2026-03-10T12:07:00Z,58.00,46.00
2026-03-10T12:08:00Z,57.00,46.00
2026-03-10T12:14:00Z,57.00,46.00
2026-03-10T12:15:00Z,57.00,46.00
2026-03-10T12:16:00Z,57.00,49.00
2026-03-10T12:20:00Z,58.49,49.00
2026-03-10T12:21:00Z,58.00,48.00
2026-03-10T12:23:00Z,58.00,48.00
2026-03-10T12:33:00Z,58.29,48.00
2026-03-10T12:36:00Z,58.00,49.24
2026-03-10T12:39:00Z,58.00,48.97
2026-03-10T12:40:00Z,59.43,48.97
2026-03-10T12:42:00Z,59.43,49.91
2026-03-10T12:43:00Z,58.00,49.54
2026-03-10T12:47:00Z,58.00,49.36
2026-03-10T12:48:00Z,57.00,49.36
2026-03-10T12:49:00Z,57.00,49.36
2026-03-10T12:50:00Z,57.00,49.36
2026-03-10T12:51:00Z,57.00,49.36
2026-03-10T12:52:00Z,58.75,47.80
2026-03-10T12:53:00Z,59.00,47.80
2026-03-10T12:54:00Z,57.00,46.00
2026-03-10T12:55:00Z,60.46,43.00
2026-03-10T12:56:00Z,64.94,38.50
2026-03-10T12:57:00Z,62.13,38.50
2026-03-10T12:58:00Z,51.74,38.50
2026-03-10T12:59:00Z,50.00,52.00
2026-03-10T13:00:00Z,52.49,50.00
2026-03-10T13:01:00Z,52.00,52.14
2026-03-10T13:02:00Z,52.89,48.00
2026-03-10T13:03:00Z,56.55,44.79
2026-03-10T13:04:00Z,60.00,41.03
2026-03-10T13:05:00Z,58.97,43.30
2026-03-10T13:06:00Z,58.75,45.18
2026-03-10T13:07:00Z,52.00,49.60
2026-03-10T13:08:00Z,51.42,50.56
2026-03-10T13:09:00Z,51.00,52.00
2026-03-10T13:10:00Z,49.05,55.87
2026-03-10T13:11:00Z,48.55,51.20
2026-03-10T13:12:00Z,45.67,56.55
2026-03-10T13:13:00Z,38.67,64.42
2026-03-10T13:14:00Z,38.88,63.72
2026-03-10T13:15:00Z,40.23,61.88
2026-03-10T13:16:00Z,46.01,55.19
2026-03-10T13:17:00Z,49.64,52.00
2026-03-10T13:18:00Z,50.00,51.01
2026-03-10T13:20:00Z,48.98,52.91
2026-03-10T13:21:00Z,50.00,56.79
2026-03-10T13:22:00Z,49.82,62.00
2026-03-10T13:23:00Z,49.67,53.00
2026-03-10T13:24:00Z,38.72,63.29
2026-03-10T13:25:00Z,36.74,65.81
2026-03-10T13:26:00Z,30.61,68.20
2026-03-10T13:27:00Z,28.09,72.68
2026-03-10T13:28:00Z,28.00,73.20
2026-03-10T13:29:00Z,26.24,72.05
2026-03-10T13:30:00Z,20.39,80.27
2026-03-10T13:31:00Z,20.00,80.97
2026-03-10T13:32:00Z,20.00,81.00
2026-03-10T13:33:00Z,18.00,78.57
2026-03-10T13:34:00Z,16.64,84.04
2026-03-10T13:35:00Z,17.12,80.39
2026-03-10T13:36:00Z,20.81,83.72
2026-03-10T13:37:00Z,21.02,81.42
2026-03-10T13:38:00Z,26.00,76.00
2026-03-10T13:39:00Z,30.88,71.00
2026-03-10T13:40:00Z,32.50,71.00
2026-03-10T13:41:00Z,31.27,70.00
2026-03-10T13:42:00Z,30.00,70.95
2026-03-10T13:43:00Z,27.56,73.32
2026-03-10T13:44:00Z,26.00,75.00
2026-03-10T13:45:00Z,21.00,80.00
2026-03-10T13:46:00Z,18.86,80.00
2026-03-10T13:47:00Z,19.00,83.43
2026-03-10T13:48:00Z,15.46,82.23
2026-03-10T13:49:00Z,19.51,84.27
2026-03-10T13:50:00Z,19.51,80.00
2026-03-10T13:51:00Z,27.00,80.00
2026-03-10T13:52:00Z,23.00,78.00
2026-03-10T13:53:00Z,23.04,78.00
2026-03-10T13:54:00Z,23.18,76.00
2026-03-10T13:55:00Z,23.18,77.24
2026-03-10T13:56:00Z,23.43,77.24
2026-03-10T13:57:00Z,24.16,80.87
2026-03-10T13:58:00Z,19.04,84.91
2026-03-10T13:59:00Z,16.50,84.00
2026-03-10T14:00:00Z,14.09,85.18
2026-03-10T14:01:00Z,8.98,90.22
2026-03-10T14:02:00Z,6.00,92.77
2026-03-10T14:03:00Z,9.00,92.29
2026-03-10T14:04:00Z,11.26,89.21
2026-03-10T14:05:00Z,11.62,85.04
2026-03-10T14:06:00Z,13.72,88.00
2026-03-10T14:07:00Z,10.74,89.00
2026-03-10T14:08:00Z,14.99,84.19
2026-03-10T14:09:00Z,15.42,86.00
2026-03-10T14:10:00Z,12.59,90.47
2026-03-10T14:11:00Z,10.00,90.47
2026-03-10T14:12:00Z,8.72,92.56
2026-03-10T14:13:00Z,5.26,94.97
2026-03-10T14:14:00Z,4.09,96.00
2026-03-10T14:15:00Z,4.00,97.32
2026-03-10T14:16:00Z,4.00,97.99
2026-03-10T14:17:00Z,2.04,98.65
2026-03-10T14:18:00Z,1.00,98.77
2026-03-10T14:19:00Z,1.00,98.75
2026-03-10T14:20:00Z,1.20,98.15
2026-03-10T14:21:00Z,3.00,97.00
2026-03-10T14:22:00Z,3.00,98.00
2026-03-10T14:24:00Z,3.00,98.00
