# event_ticker=KXATPCHALLENGERMATCH-26MAR10RINGAD
# final_score=6-7(4) 6-4 6-2
# score_resolution=6-7 6-4 6-2
# match_winner=Daniel Rincon
# fav_player=Daniel Rincon
# dog_player=Buvaysar Gadamauri
# kalshi_date=2026-03-10
timestamp,Daniel Rincon,Buvaysar Gadamauri
2026-03-10T04:32:00Z,59.00,
2026-03-10T05:00:00Z,57.00,
2026-03-10T05:03:00Z,56.00,
2026-03-10T05:06:00Z,56.00,
2026-03-10T05:09:00Z,55.33,
2026-03-10T05:11:00Z,55.48,
2026-03-10T06:08:00Z,55.48,44.00
2026-03-10T06:16:00Z,55.00,44.00
2026-03-10T06:20:00Z,57.00,44.00
2026-03-10T06:24:00Z,57.00,44.00
2026-03-10T06:26:00Z,57.00,44.00
2026-03-10T06:37:00Z,57.00,44.00
2026-03-10T07:39:00Z,56.00,44.00
2026-03-10T08:44:00Z,56.00,44.00
2026-03-10T09:03:00Z,56.00,44.00
2026-03-10T09:20:00Z,56.00,44.00
2026-03-10T09:26:00Z,56.00,46.00
2026-03-10T09:42:00Z,57.00,46.00
2026-03-10T10:28:00Z,57.31,46.00
2026-03-10T11:06:00Z,58.00,46.00
2026-03-10T11:32:00Z,58.00,45.00
2026-03-10T11:38:00Z,59.00,45.00
2026-03-10T12:04:00Z,59.00,45.00
2026-03-10T12:13:00Z,56.00,45.00
2026-03-10T12:16:00Z,56.87,45.00
2026-03-10T12:30:00Z,56.97,45.00
2026-03-10T12:40:00Z,56.88,45.00
2026-03-10T13:01:00Z,56.88,45.00
2026-03-10T13:02:00Z,56.88,45.00
2026-03-10T13:03:00Z,56.88,45.00
2026-03-10T13:04:00Z,56.88,45.00
2026-03-10T13:27:00Z,56.88,45.00
2026-03-10T13:40:00Z,56.88,46.00
2026-03-10T14:05:00Z,56.88,46.00
2026-03-10T14:15:00Z,56.88,46.00
2026-03-10T14:24:00Z,57.00,46.00
2026-03-10T14:36:00Z,56.99,46.00
2026-03-10T14:40:00Z,56.50,46.00
2026-03-10T14:56:00Z,56.94,46.00
2026-03-10T15:00:00Z,56.99,46.00
2026-03-10T15:03:00Z,56.23,46.00
2026-03-10T15:07:00Z,57.00,46.00
2026-03-10T15:08:00Z,57.00,45.00
2026-03-10T15:09:00Z,57.07,45.00
2026-03-10T15:13:00Z,57.07,45.00
2026-03-10T15:15:00Z,58.00,45.00
2026-03-10T15:28:00Z,59.00,40.00
2026-03-10T15:38:00Z,64.00,40.00
2026-03-10T15:52:00Z,64.00,40.00
2026-03-10T15:54:00Z,63.00,40.00
2026-03-10T15:56:00Z,63.00,40.00
2026-03-10T15:58:00Z,63.00,40.00
2026-03-10T16:02:00Z,63.00,40.36
2026-03-10T16:03:00Z,63.00,40.83
2026-03-10T16:04:00Z,63.00,40.00
2026-03-10T16:05:00Z,63.00,40.00
2026-03-10T16:06:00Z,63.00,40.00
2026-03-10T16:08:00Z,63.00,40.00
2026-03-10T16:09:00Z,63.00,40.00
2026-03-10T16:10:00Z,63.00,40.00
2026-03-10T16:11:00Z,63.00,41.00
2026-03-10T16:12:00Z,63.00,41.00
2026-03-10T16:13:00Z,62.00,41.00
2026-03-10T16:14:00Z,63.00,41.00
2026-03-10T16:15:00Z,62.60,41.00
2026-03-10T16:16:00Z,59.00,41.98
2026-03-10T16:17:00Z,62.32,39.44
2026-03-10T16:18:00Z,60.26,40.46
2026-03-10T16:19:00Z,57.00,45.00
2026-03-10T16:20:00Z,56.57,45.00
2026-03-10T16:21:00Z,56.89,46.84
2026-03-10T16:22:00Z,57.00,43.00
2026-03-10T16:23:00Z,58.86,40.33
2026-03-10T16:24:00Z,52.95,46.61
2026-03-10T16:25:00Z,50.00,51.92
2026-03-10T16:26:00Z,56.62,46.04
2026-03-10T16:27:00Z,55.25,44.98
2026-03-10T16:28:00Z,52.37,52.76
2026-03-10T16:29:00Z,42.22,58.93
2026-03-10T16:30:00Z,42.91,58.96
2026-03-10T16:31:00Z,41.28,61.30
2026-03-10T16:32:00Z,43.55,57.35
2026-03-10T16:33:00Z,50.00,53.91
