# event_ticker=KXATPMATCH-25JUL28DRACAR
# final_score=2-6 6-4 6-4
# score_resolution=6-2 4-6 4-6
# match_winner=Pablo Carreno Busta
# fav_player=Liam Draxl
# dog_player=Pablo Carreno Busta
# kalshi_date=2025-07-28
timestamp,Liam Draxl,Pablo Carreno Busta
2025-07-28T17:17:00Z,,38.00
2025-07-28T17:34:00Z,,39.00
2025-07-28T17:56:00Z,,39.00
2025-07-28T18:50:00Z,,39.00
2025-07-28T18:57:00Z,,40.00
2025-07-28T19:06:00Z,,39.00
2025-07-28T19:40:00Z,62.00,39.00
2025-07-28T20:00:00Z,62.00,39.00
2025-07-28T21:01:00Z,62.00,39.00
2025-07-28T21:10:00Z,62.00,39.00
2025-07-28T21:20:00Z,62.00,39.00
2025-07-28T21:25:00Z,62.00,39.00
2025-07-28T21:56:00Z,62.00,39.00
2025-07-28T22:13:00Z,62.00,39.00
2025-07-28T22:17:00Z,62.00,35.00
2025-07-28T22:27:00Z,62.00,39.00
2025-07-28T22:36:00Z,62.00,35.17
2025-07-28T22:41:00Z,62.00,39.00
2025-07-28T22:45:00Z,62.00,39.00
2025-07-28T22:48:00Z,62.00,39.00
2025-07-28T22:49:00Z,62.00,39.00
2025-07-28T22:50:00Z,62.00,39.00
2025-07-28T22:52:00Z,62.80,39.00
2025-07-28T22:54:00Z,62.80,39.00
2025-07-28T22:58:00Z,63.00,39.00
2025-07-28T22:59:00Z,63.00,39.00
2025-07-28T23:01:00Z,63.00,39.00
2025-07-28T23:06:00Z,64.00,40.00
2025-07-28T23:08:00Z,63.00,40.00
2025-07-28T23:09:00Z,63.00,37.00
2025-07-28T23:10:00Z,68.00,40.32
2025-07-28T23:13:00Z,69.81,40.32
2025-07-28T23:15:00Z,74.05,40.32
2025-07-28T23:17:00Z,77.00,40.32
2025-07-28T23:18:00Z,78.00,40.32
2025-07-28T23:20:00Z,82.08,21.00
2025-07-28T23:22:00Z,82.08,19.00
2025-07-28T23:23:00Z,82.08,20.57
2025-07-28T23:25:00Z,82.08,21.00
2025-07-28T23:29:00Z,82.08,16.66
2025-07-28T23:31:00Z,82.00,16.66
2025-07-28T23:34:00Z,82.00,18.01
2025-07-28T23:35:00Z,82.00,19.00
2025-07-28T23:37:00Z,83.00,18.00
2025-07-28T23:39:00Z,85.00,17.00
2025-07-28T23:40:00Z,85.00,14.00
2025-07-28T23:41:00Z,88.00,14.00
2025-07-28T23:42:00Z,88.00,13.00
2025-07-28T23:43:00Z,88.00,14.00
