# event_ticker=KXATPCHALLENGERMATCH-26JUN02MIKMAR
# final_score=7-6(5) 7-5
# score_resolution=6-7 5-7
# match_winner=Luka Mikrut
# fav_player=Alex Marti Pujolras
# dog_player=Luka Mikrut
# kalshi_date=2026-06-02
timestamp,Luka Mikrut,Alex Marti Pujolras
2026-06-02T02:25:00Z,64.50,38.00
2026-06-02T03:32:00Z,67.00,38.00
2026-06-02T05:55:00Z,66.00,38.00
2026-06-02T06:23:00Z,66.00,38.00
2026-06-02T06:50:00Z,65.00,38.00
2026-06-02T06:59:00Z,65.96,38.00
2026-06-02T07:00:00Z,65.96,36.00
2026-06-02T09:38:00Z,65.96,35.00
2026-06-02T10:41:00Z,64.00,35.00
2026-06-02T10:42:00Z,64.00,35.00
2026-06-02T10:48:00Z,64.00,35.00
2026-06-02T10:51:00Z,63.00,35.00
2026-06-02T11:25:00Z,63.00,38.00
2026-06-02T11:39:00Z,63.00,38.00
2026-06-02T11:59:00Z,64.00,38.00
2026-06-02T12:00:00Z,66.00,38.00
2026-06-02T12:02:00Z,63.03,37.00
2026-06-02T12:03:00Z,63.01,37.00
2026-06-02T12:05:00Z,63.01,40.00
2026-06-02T12:06:00Z,63.95,34.91
2026-06-02T12:07:00Z,68.38,34.91
2026-06-02T12:08:00Z,68.38,30.00
2026-06-02T12:09:00Z,68.38,23.00
2026-06-02T12:10:00Z,76.00,23.00
2026-06-02T12:11:00Z,70.03,23.00
2026-06-02T12:12:00Z,66.00,23.00
2026-06-02T12:13:00Z,63.08,23.00
2026-06-02T12:14:00Z,61.00,41.52
2026-06-02T12:15:00Z,53.00,42.67
2026-06-02T12:17:00Z,55.99,45.41
2026-06-02T12:18:00Z,63.34,42.00
2026-06-02T12:19:00Z,59.00,44.23
2026-06-02T12:20:00Z,63.68,35.47
2026-06-02T12:21:00Z,63.68,38.00
2026-06-02T12:22:00Z,64.78,35.00
2026-06-02T12:24:00Z,69.00,29.00
2026-06-02T12:25:00Z,68.21,32.09
2026-06-02T12:26:00Z,64.05,32.09
2026-06-02T12:27:00Z,64.81,35.19
2026-06-02T12:28:00Z,63.53,36.44
2026-06-02T12:29:00Z,63.02,35.16
2026-06-02T12:30:00Z,68.00,32.00
2026-06-02T12:31:00Z,68.00,32.00
2026-06-02T12:32:00Z,68.00,33.03
2026-06-02T12:33:00Z,61.96,37.00
2026-06-02T12:34:00Z,62.00,38.05
2026-06-02T12:35:00Z,61.00,39.05
2026-06-02T12:36:00Z,56.78,43.80
2026-06-02T12:37:00Z,61.26,39.19
2026-06-02T12:38:00Z,61.22,40.00
2026-06-02T12:39:00Z,61.17,39.13
2026-06-02T12:40:00Z,61.52,35.92
2026-06-02T12:41:00Z,67.00,35.92
2026-06-02T12:42:00Z,70.47,33.33
2026-06-02T12:43:00Z,74.48,26.00
2026-06-02T12:44:00Z,67.53,32.52
2026-06-02T12:45:00Z,61.92,38.92
2026-06-02T12:46:00Z,60.52,39.00
2026-06-02T12:47:00Z,64.56,36.00
2026-06-02T12:48:00Z,66.00,35.53
2026-06-02T12:49:00Z,67.00,33.00
2026-06-02T12:50:00Z,65.00,34.00
2026-06-02T12:51:00Z,66.89,33.01
2026-06-02T12:52:00Z,67.65,33.00
2026-06-02T12:53:00Z,67.49,32.42
2026-06-02T12:54:00Z,66.62,32.28
2026-06-02T12:55:00Z,64.08,34.99
2026-06-02T12:56:00Z,60.38,40.48
2026-06-02T12:57:00Z,56.99,43.00
2026-06-02T12:58:00Z,55.44,48.18
2026-06-02T12:59:00Z,49.48,48.18
2026-06-02T13:00:00Z,25.76,54.67
2026-06-02T13:01:00Z,21.66,75.29
2026-06-02T13:02:00Z,22.00,82.00
2026-06-02T13:03:00Z,24.50,82.00
2026-06-02T13:04:00Z,29.44,78.44
2026-06-02T13:05:00Z,33.70,70.33
2026-06-02T13:06:00Z,36.22,56.00
2026-06-02T13:07:00Z,39.05,56.82
2026-06-02T13:08:00Z,51.70,57.00
2026-06-02T13:09:00Z,49.86,47.23
2026-06-02T13:10:00Z,55.35,48.27
2026-06-02T13:11:00Z,56.86,43.82
2026-06-02T13:12:00Z,69.49,29.92
2026-06-02T13:13:00Z,77.33,20.46
2026-06-02T13:14:00Z,81.92,20.00
2026-06-02T13:15:00Z,81.17,20.00
2026-06-02T13:16:00Z,80.98,20.00
2026-06-02T13:17:00Z,82.11,18.93
2026-06-02T13:18:00Z,84.00,16.92
2026-06-02T13:19:00Z,83.97,15.74
2026-06-02T13:20:00Z,88.98,13.24
2026-06-02T13:21:00Z,89.68,11.46
2026-06-02T13:22:00Z,88.16,10.37
