# event_ticker=KXATPCHALLENGERMATCH-26MAY28FAJRON
# final_score=7-5 6-2
# match_winner=Peter Fajta
# fav_player=Peter Fajta
# dog_player=Franco Roncadelli
# kalshi_date=2026-05-28
timestamp,Peter Fajta,Franco Roncadelli
2026-05-27T20:51:00Z,24.00,
2026-05-27T22:43:00Z,24.00,
2026-05-27T23:53:00Z,24.00,79.00
2026-05-28T00:16:00Z,24.00,79.00
2026-05-28T00:24:00Z,24.00,79.00
2026-05-28T00:32:00Z,24.00,79.00
2026-05-28T01:28:00Z,24.00,79.00
2026-05-28T01:51:00Z,23.33,79.00
2026-05-28T02:40:00Z,23.33,79.00
2026-05-28T02:51:00Z,23.00,79.00
2026-05-28T03:08:00Z,23.00,79.00
2026-05-28T03:19:00Z,23.00,79.00
2026-05-28T03:53:00Z,23.00,79.00
2026-05-28T04:07:00Z,23.00,79.00
2026-05-28T04:23:00Z,23.00,78.50
2026-05-28T04:35:00Z,23.00,78.00
2026-05-28T04:42:00Z,23.00,78.00
2026-05-28T04:44:00Z,23.00,78.00
2026-05-28T04:45:00Z,23.00,78.00
2026-05-28T04:47:00Z,23.00,78.00
2026-05-28T04:51:00Z,23.00,78.00
2026-05-28T05:17:00Z,22.00,78.00
2026-05-28T05:30:00Z,22.00,78.00
2026-05-28T06:25:00Z,22.00,78.00
2026-05-28T06:51:00Z,22.00,78.00
2026-05-28T09:01:00Z,22.14,78.00
2026-05-28T09:02:00Z,28.91,77.00
2026-05-28T09:03:00Z,29.73,75.00
2026-05-28T09:04:00Z,30.00,72.00
2026-05-28T09:05:00Z,33.43,72.00
2026-05-28T09:06:00Z,32.95,70.78
2026-05-28T09:07:00Z,37.15,63.15
2026-05-28T09:08:00Z,41.08,60.88
2026-05-28T09:09:00Z,46.70,55.00
2026-05-28T09:10:00Z,48.47,53.00
2026-05-28T09:11:00Z,49.00,53.00
2026-05-28T09:12:00Z,47.00,54.95
2026-05-28T09:13:00Z,42.00,56.94
2026-05-28T09:14:00Z,30.41,65.85
2026-05-28T09:15:00Z,31.00,68.12
2026-05-28T09:16:00Z,31.00,68.12
2026-05-28T09:17:00Z,33.68,65.73
2026-05-28T09:18:00Z,37.31,62.30
2026-05-28T09:19:00Z,36.51,63.82
2026-05-28T09:20:00Z,29.40,69.67
2026-05-28T09:21:00Z,29.28,69.91
2026-05-28T09:22:00Z,29.15,68.88
2026-05-28T09:23:00Z,37.57,68.88
2026-05-28T09:24:00Z,37.99,64.61
2026-05-28T09:26:00Z,28.31,74.00
2026-05-28T09:27:00Z,30.80,74.00
2026-05-28T09:28:00Z,32.00,74.00
2026-05-28T09:29:00Z,32.00,68.86
2026-05-28T09:30:00Z,36.95,62.50
2026-05-28T09:31:00Z,40.42,58.14
2026-05-28T09:32:00Z,44.03,53.73
2026-05-28T09:33:00Z,44.90,58.14
2026-05-28T09:34:00Z,38.94,62.36
2026-05-28T09:35:00Z,45.71,53.76
2026-05-28T09:36:00Z,53.63,47.57
2026-05-28T09:37:00Z,53.14,47.00
2026-05-28T09:38:00Z,50.00,49.96
2026-05-28T09:39:00Z,49.00,49.00
2026-05-28T09:40:00Z,51.00,49.00
2026-05-28T09:41:00Z,50.77,49.20
2026-05-28T09:42:00Z,52.14,49.00
2026-05-28T09:43:00Z,48.00,51.08
2026-05-28T09:44:00Z,39.82,59.07
2026-05-28T09:45:00Z,38.00,63.00
2026-05-28T09:46:00Z,38.00,60.59
2026-05-28T09:47:00Z,38.00,62.95
2026-05-28T09:48:00Z,37.25,60.00
2026-05-28T09:49:00Z,44.00,53.00
2026-05-28T09:50:00Z,49.35,47.00
2026-05-28T09:51:00Z,54.44,47.00
2026-05-28T09:52:00Z,46.82,47.00
2026-05-28T09:53:00Z,50.24,50.00
2026-05-28T09:54:00Z,52.63,47.51
2026-05-28T09:55:00Z,58.15,45.00
2026-05-28T09:56:00Z,60.78,41.97
2026-05-28T09:57:00Z,61.40,37.74
2026-05-28T09:58:00Z,63.92,38.62
2026-05-28T09:59:00Z,63.92,36.48
2026-05-28T10:00:00Z,67.92,33.50
2026-05-28T10:01:00Z,74.53,22.89
2026-05-28T10:02:00Z,78.00,21.12
2026-05-28T10:03:00Z,84.32,16.25
2026-05-28T10:04:00Z,88.93,10.05
2026-05-28T10:05:00Z,88.05,12.00
2026-05-28T10:06:00Z,90.22,10.30
2026-05-28T10:07:00Z,92.97,7.00
2026-05-28T10:08:00Z,91.65,9.92
2026-05-28T10:09:00Z,88.92,11.66
2026-05-28T10:10:00Z,86.85,14.80
2026-05-28T10:11:00Z,85.00,17.00
2026-05-28T10:12:00Z,90.31,13.24
2026-05-28T10:13:00Z,92.10,5.00
2026-05-28T10:14:00Z,88.28,11.06
2026-05-28T10:15:00Z,91.89,10.13
2026-05-28T10:16:00Z,92.84,10.13
2026-05-28T10:17:00Z,95.30,4.60
2026-05-28T10:18:00Z,94.97,3.34
2026-05-28T10:19:00Z,95.00,6.93
2026-05-28T10:20:00Z,96.05,6.93
2026-05-28T10:21:00Z,98.77,1.30
2026-05-28T10:22:00Z,99.00,1.30
2026-05-28T10:23:00Z,99.00,1.30
