# event_ticker=KXATPCHALLENGERMATCH-26APR28HEMCHA
# final_score=6-4 6-4
# match_winner=Calvin Hemery
# fav_player=Calvin Hemery
# dog_player=Maxime Chazal
# kalshi_date=2026-04-28
timestamp,Calvin Hemery,Maxime Chazal
2026-04-28T07:46:00Z,,44.00
2026-04-28T09:14:00Z,67.00,44.00
2026-04-28T15:54:00Z,66.00,44.00
2026-04-28T16:02:00Z,67.00,44.00
2026-04-28T16:04:00Z,67.00,34.00
2026-04-28T16:29:00Z,67.00,34.00
2026-04-28T16:44:00Z,70.20,34.00
2026-04-28T16:52:00Z,73.78,30.03
2026-04-28T16:53:00Z,73.48,25.59
2026-04-28T16:54:00Z,76.00,24.96
2026-04-28T16:55:00Z,76.27,25.00
2026-04-28T16:56:00Z,77.65,25.00
2026-04-28T16:57:00Z,76.00,25.00
2026-04-28T16:58:00Z,78.17,25.00
2026-04-28T16:59:00Z,77.00,25.00
2026-04-28T17:00:00Z,77.00,24.00
2026-04-28T17:02:00Z,72.73,24.00
2026-04-28T17:03:00Z,73.00,27.00
2026-04-28T17:04:00Z,73.00,31.99
2026-04-28T17:05:00Z,79.00,24.00
2026-04-28T17:06:00Z,79.00,24.00
2026-04-28T17:07:00Z,75.35,24.00
2026-04-28T17:08:00Z,75.35,25.00
2026-04-28T17:09:00Z,78.00,25.00
2026-04-28T17:10:00Z,74.14,25.00
2026-04-28T17:11:00Z,74.14,29.00
2026-04-28T17:12:00Z,78.00,29.00
2026-04-28T17:15:00Z,79.01,29.00
2026-04-28T17:16:00Z,81.29,29.00
2026-04-28T17:17:00Z,81.29,17.00
2026-04-28T17:18:00Z,81.29,20.00
2026-04-28T17:20:00Z,81.00,20.00
2026-04-28T17:22:00Z,81.00,20.00
2026-04-28T17:25:00Z,81.00,18.00
2026-04-28T17:26:00Z,84.12,17.00
2026-04-28T17:27:00Z,84.84,17.00
2026-04-28T17:28:00Z,84.00,16.99
2026-04-28T17:29:00Z,86.85,14.00
2026-04-28T17:30:00Z,88.43,15.96
2026-04-28T17:31:00Z,88.73,12.86
2026-04-28T17:32:00Z,87.00,12.86
2026-04-28T17:33:00Z,93.15,9.20
2026-04-28T17:34:00Z,94.02,7.98
2026-04-28T17:35:00Z,94.02,5.73
2026-04-28T17:36:00Z,95.37,5.33
2026-04-28T17:37:00Z,95.37,6.00
2026-04-28T17:38:00Z,95.37,4.50
2026-04-28T17:39:00Z,94.84,6.00
2026-04-28T17:40:00Z,94.84,6.00
2026-04-28T17:41:00Z,94.00,6.00
2026-04-28T17:42:00Z,95.18,4.00
2026-04-28T17:43:00Z,96.15,4.02
2026-04-28T17:44:00Z,97.00,3.96
2026-04-28T17:45:00Z,96.00,4.00
2026-04-28T17:46:00Z,96.52,4.26
2026-04-28T17:47:00Z,96.97,3.00
2026-04-28T17:48:00Z,97.00,3.28
2026-04-28T17:49:00Z,97.00,5.15
2026-04-28T17:50:00Z,97.00,3.96
2026-04-28T17:51:00Z,97.77,3.30
2026-04-28T17:52:00Z,98.00,2.99
2026-04-28T17:53:00Z,97.70,4.00
2026-04-28T17:54:00Z,97.07,4.00
2026-04-28T17:55:00Z,98.00,4.00
2026-04-28T17:56:00Z,97.13,3.73
2026-04-28T17:57:00Z,98.00,3.73
2026-04-28T17:58:00Z,97.30,4.00
2026-04-28T17:59:00Z,98.00,3.00
2026-04-28T18:00:00Z,98.46,1.73
2026-04-28T18:01:00Z,98.89,1.06
2026-04-28T18:02:00Z,98.35,2.74
2026-04-28T18:03:00Z,99.00,3.00
2026-04-28T18:04:00Z,98.03,3.01
2026-04-28T18:05:00Z,98.00,3.00
2026-04-28T18:06:00Z,98.00,3.47
2026-04-28T18:07:00Z,97.25,4.85
2026-04-28T18:08:00Z,97.07,3.07
2026-04-28T18:09:00Z,98.79,1.61
2026-04-28T18:12:00Z,98.79,1.00
