# event_ticker=KXATPCHALLENGERMATCH-26MAR12BLAHAR
# final_score=3-6 7-6(5) 7-6(6)
# score_resolution=3-6 7-6 7-6
# match_winner=Billy Harris
# fav_player=Billy Harris
# dog_player=Darwin Blanch
# kalshi_date=2026-03-12
timestamp,Billy Harris,Darwin Blanch
2026-03-12T06:22:00Z,95.67,
2026-03-12T06:26:00Z,96.00,
2026-03-12T06:36:00Z,47.00,55.00
2026-03-12T10:25:00Z,38.00,55.00
2026-03-12T10:53:00Z,38.00,61.00
2026-03-12T11:17:00Z,38.00,62.00
2026-03-12T11:40:00Z,38.00,62.00
2026-03-12T12:10:00Z,38.00,61.00
2026-03-12T12:27:00Z,42.00,61.00
2026-03-12T12:36:00Z,42.00,61.00
2026-03-12T12:44:00Z,42.00,61.00
2026-03-12T12:47:00Z,42.00,61.00
2026-03-12T12:49:00Z,42.00,61.00
2026-03-12T13:07:00Z,42.00,61.00
2026-03-12T13:15:00Z,42.00,61.00
2026-03-12T13:23:00Z,42.00,61.00
2026-03-12T13:37:00Z,42.00,63.00
2026-03-12T13:47:00Z,42.00,63.00
2026-03-12T14:23:00Z,42.00,63.00
2026-03-12T14:42:00Z,42.00,63.00
2026-03-12T14:43:00Z,42.00,63.00
2026-03-12T14:44:00Z,42.00,63.75
2026-03-12T15:05:00Z,42.00,61.00
2026-03-12T15:22:00Z,40.00,61.00
2026-03-12T16:22:00Z,40.00,61.00
2026-03-12T16:44:00Z,41.00,61.00
2026-03-12T16:59:00Z,41.00,61.00
2026-03-12T17:00:00Z,41.00,61.00
2026-03-12T17:31:00Z,40.00,60.00
2026-03-12T17:56:00Z,40.00,61.00
2026-03-12T17:57:00Z,40.00,62.00
2026-03-12T17:58:00Z,40.00,62.23
2026-03-12T18:05:00Z,40.00,62.23
2026-03-12T18:10:00Z,43.33,59.02
2026-03-12T18:11:00Z,38.00,59.02
2026-03-12T18:12:00Z,38.09,65.86
2026-03-12T18:13:00Z,38.18,64.00
2026-03-12T18:14:00Z,40.63,63.00
2026-03-12T18:15:00Z,41.84,61.00
2026-03-12T18:16:00Z,38.00,65.74
2026-03-12T18:17:00Z,37.00,64.27
2026-03-12T18:18:00Z,37.00,65.00
2026-03-12T18:19:00Z,36.79,65.00
2026-03-12T18:20:00Z,35.00,65.00
2026-03-12T18:21:00Z,36.83,66.95
2026-03-12T18:22:00Z,36.00,65.00
2026-03-12T18:23:00Z,36.00,64.00
2026-03-12T18:24:00Z,36.00,66.00
2026-03-12T18:25:00Z,33.00,66.00
2026-03-12T18:26:00Z,33.00,68.59
2026-03-12T18:27:00Z,30.96,72.59
2026-03-12T18:28:00Z,22.60,77.84
2026-03-12T18:29:00Z,20.00,83.82
2026-03-12T18:30:00Z,18.47,80.00
2026-03-12T18:31:00Z,17.43,82.94
2026-03-12T18:32:00Z,18.94,82.46
2026-03-12T18:33:00Z,17.37,83.87
2026-03-12T18:34:00Z,17.37,86.75
2026-03-12T18:35:00Z,17.37,86.00
2026-03-12T18:36:00Z,16.00,86.00
2026-03-12T18:37:00Z,16.00,84.00
2026-03-12T18:38:00Z,14.00,85.00
2026-03-12T18:39:00Z,14.00,87.00
2026-03-12T18:40:00Z,15.00,85.00
2026-03-12T18:41:00Z,15.00,87.00
2026-03-12T18:42:00Z,14.13,87.36
2026-03-12T18:43:00Z,15.70,85.00
2026-03-12T18:44:00Z,16.00,85.00
2026-03-12T18:45:00Z,18.86,82.00
2026-03-12T18:46:00Z,17.00,83.44
2026-03-12T18:47:00Z,23.16,83.44
2026-03-12T18:48:00Z,23.09,79.00
2026-03-12T18:49:00Z,23.09,80.98
2026-03-12T18:50:00Z,17.18,81.25
2026-03-12T18:51:00Z,21.95,81.34
2026-03-12T18:52:00Z,19.77,83.20
2026-03-12T18:53:00Z,17.00,82.00
2026-03-12T18:54:00Z,16.88,88.00
2026-03-12T18:55:00Z,15.00,88.00
2026-03-12T18:56:00Z,15.00,86.66
2026-03-12T18:57:00Z,9.68,90.13
2026-03-12T18:59:00Z,16.82,90.13
2026-03-12T19:00:00Z,19.96,81.00
2026-03-12T19:01:00Z,19.26,81.00
2026-03-12T19:02:00Z,20.00,82.87
2026-03-12T19:03:00Z,16.35,85.98
2026-03-12T19:04:00Z,16.44,86.00
2026-03-12T19:05:00Z,18.43,82.00
2026-03-12T19:06:00Z,19.00,82.00
2026-03-12T19:07:00Z,20.00,82.00
2026-03-12T19:08:00Z,19.00,80.00
2026-03-12T19:09:00Z,27.00,77.55
2026-03-12T19:10:00Z,21.56,80.00
2026-03-12T19:11:00Z,20.41,80.00
2026-03-12T19:12:00Z,14.05,80.00
2026-03-12T19:13:00Z,16.24,85.00
2026-03-12T19:14:00Z,16.24,88.00
2026-03-12T19:15:00Z,9.00,92.96
2026-03-12T19:16:00Z,9.00,91.12
2026-03-12T19:17:00Z,4.41,95.08
2026-03-12T19:18:00Z,4.00,96.76
2026-03-12T19:19:00Z,3.35,96.00
2026-03-12T19:20:00Z,3.00,97.98
2026-03-12T19:21:00Z,3.00,98.99
2026-03-12T19:22:00Z,3.22,97.98
2026-03-12T19:23:00Z,3.00,97.00
2026-03-12T19:24:00Z,3.00,98.00
2026-03-12T19:25:00Z,3.65,97.00
2026-03-12T19:26:00Z,6.63,94.93
2026-03-12T19:27:00Z,16.97,86.23
2026-03-12T19:28:00Z,17.46,81.00
2026-03-12T19:29:00Z,15.30,84.23
2026-03-12T19:30:00Z,11.06,91.25
2026-03-12T19:31:00Z,17.00,87.75
2026-03-12T19:32:00Z,17.07,85.03
2026-03-12T19:33:00Z,18.76,81.28
2026-03-12T19:34:00Z,22.92,80.00
2026-03-12T19:35:00Z,22.19,80.00
2026-03-12T19:36:00Z,21.71,78.43
2026-03-12T19:37:00Z,28.46,74.40
2026-03-12T19:38:00Z,36.05,64.03
2026-03-12T19:39:00Z,18.81,78.00
2026-03-12T19:40:00Z,20.00,82.00
2026-03-12T19:41:00Z,21.09,78.62
2026-03-12T19:42:00Z,26.07,76.00
2026-03-12T19:43:00Z,31.52,71.00
2026-03-12T19:44:00Z,33.08,68.90
2026-03-12T19:45:00Z,28.98,71.61
2026-03-12T19:46:00Z,22.84,79.83
2026-03-12T19:47:00Z,24.04,77.37
