# event_ticker=KXATPCHALLENGERMATCH-26MAR04OFNLOF
# final_score=4-6 7-5 7-6(5)
# score_resolution=6-4 5-7 6-7
# match_winner=Sebastian Ofner
# fav_player=George Loffhagen
# dog_player=Sebastian Ofner
# kalshi_date=2026-03-04
timestamp,George Loffhagen,Sebastian Ofner
2026-03-04T13:48:00Z,83.75,53.30
2026-03-04T13:49:00Z,51.06,62.45
2026-03-04T13:50:00Z,47.77,56.61
2026-03-04T13:51:00Z,51.17,71.61
2026-03-04T13:52:00Z,56.44,56.50
2026-03-04T13:53:00Z,58.67,47.27
2026-03-04T13:54:00Z,60.80,55.55
2026-03-04T13:55:00Z,61.00,55.86
2026-03-04T13:56:00Z,58.92,55.62
2026-03-04T13:57:00Z,48.52,56.44
2026-03-04T13:58:00Z,52.94,58.68
2026-03-04T13:59:00Z,51.18,57.62
2026-03-04T14:00:00Z,53.49,62.57
2026-03-04T14:01:00Z,59.32,54.43
2026-03-04T14:02:00Z,56.60,50.99
2026-03-04T14:03:00Z,52.30,53.28
2026-03-04T14:04:00Z,48.00,56.61
2026-03-04T14:05:00Z,48.01,58.16
2026-03-04T14:06:00Z,44.40,60.79
2026-03-04T14:07:00Z,29.02,80.66
2026-03-04T14:08:00Z,19.93,84.74
2026-03-04T14:09:00Z,11.45,90.06
2026-03-04T14:10:00Z,22.60,83.94
2026-03-04T14:11:00Z,15.16,90.23
2026-03-04T14:12:00Z,27.26,77.31
2026-03-04T14:13:00Z,3.12,96.96
2026-03-04T14:14:00Z,3.12,99.00
2026-03-04T14:15:00Z,3.12,99.00
2026-03-04T14:16:00Z,3.12,99.00
