# event_ticker=KXATPMATCH-25SEP29SINMAR
# final_score=6-1 7-5
# score_resolution=1-6 5-7
# match_winner=Jannik Sinner
# fav_player=Fabian Marozsan
# dog_player=Jannik Sinner
# kalshi_date=2025-09-29
timestamp,Fabian Marozsan,Jannik Sinner
2025-09-28T20:39:00Z,,96.00
2025-09-28T20:40:00Z,,96.00
2025-09-28T20:41:00Z,,96.00
2025-09-28T21:16:00Z,,93.00
2025-09-28T21:17:00Z,,93.00
2025-09-28T21:18:00Z,,93.00
2025-09-28T21:19:00Z,,93.00
2025-09-28T21:20:00Z,,93.00
2025-09-28T21:21:00Z,,93.00
2025-09-28T21:22:00Z,,93.00
2025-09-28T21:23:00Z,,93.00
2025-09-28T21:24:00Z,,93.00
2025-09-28T21:25:00Z,,93.00
2025-09-28T21:26:00Z,,93.00
2025-09-28T21:41:00Z,8.00,93.00
2025-09-28T21:44:00Z,8.00,92.14
2025-09-28T21:46:00Z,8.00,92.14
2025-09-28T21:51:00Z,8.00,93.00
2025-09-28T21:57:00Z,8.00,93.00
2025-09-28T22:02:00Z,8.00,93.00
2025-09-28T22:05:00Z,8.00,93.00
2025-09-28T22:07:00Z,8.00,93.00
2025-09-28T22:18:00Z,8.00,93.00
2025-09-28T22:21:00Z,8.00,93.00
2025-09-28T22:23:00Z,8.00,93.41
2025-09-28T22:30:00Z,8.00,93.26
2025-09-28T22:46:00Z,8.00,93.00
2025-09-28T22:48:00Z,8.00,93.00
2025-09-28T22:52:00Z,8.00,93.64
2025-09-28T22:57:00Z,8.00,93.00
2025-09-28T22:58:00Z,8.00,93.00
2025-09-28T22:59:00Z,8.00,93.73
2025-09-28T23:00:00Z,8.00,93.00
2025-09-28T23:01:00Z,8.00,93.00
2025-09-28T23:04:00Z,7.00,93.00
2025-09-28T23:14:00Z,7.00,93.00
2025-09-28T23:18:00Z,7.00,93.00
2025-09-28T23:20:00Z,7.00,93.00
2025-09-28T23:24:00Z,7.00,93.00
2025-09-28T23:31:00Z,7.00,93.00
2025-09-28T23:32:00Z,7.00,93.00
2025-09-28T23:35:00Z,7.00,93.00
2025-09-28T23:36:00Z,7.99,93.00
2025-09-28T23:38:00Z,8.00,93.00
2025-09-28T23:39:00Z,8.00,94.00
2025-09-28T23:44:00Z,8.00,94.00
2025-09-28T23:46:00Z,8.00,94.00
2025-09-28T23:48:00Z,8.00,94.00
2025-09-28T23:52:00Z,8.00,94.00
2025-09-28T23:53:00Z,8.00,94.00
2025-09-28T23:57:00Z,8.00,94.00
2025-09-28T23:59:00Z,8.00,94.00
2025-09-29T00:00:00Z,8.00,94.00
2025-09-29T00:03:00Z,8.00,94.00
2025-09-29T00:07:00Z,8.00,94.00
2025-09-29T00:08:00Z,8.00,94.00
2025-09-29T00:13:00Z,8.00,94.00
2025-09-29T00:15:00Z,8.00,94.00
2025-09-29T00:17:00Z,8.00,94.00
