# event_ticker=KXATPMATCH-25JUL17PASKYM
# final_score=7-6(3) 7-6(3)
# score_resolution=6-7 6-7
# match_winner=Jerome Kym
# fav_player=Francesco Passaro
# dog_player=Jerome Kym
# kalshi_date=2025-07-17
timestamp,Francesco Passaro,Jerome Kym
2025-07-17T03:51:00Z,,42.00
2025-07-17T04:44:00Z,,42.00
2025-07-17T04:52:00Z,59.00,42.00
2025-07-17T04:55:00Z,59.00,42.00
2025-07-17T06:22:00Z,58.00,42.00
2025-07-17T06:35:00Z,60.00,42.00
2025-07-17T12:24:00Z,58.00,42.00
2025-07-17T12:45:00Z,58.00,43.00
2025-07-17T13:06:00Z,58.00,43.00
2025-07-17T13:20:00Z,59.00,43.00
2025-07-17T13:24:00Z,57.00,43.00
2025-07-17T13:35:00Z,58.00,43.00
2025-07-17T14:03:00Z,57.00,43.00
2025-07-17T14:07:00Z,57.00,43.00
2025-07-17T14:10:00Z,57.00,43.00
2025-07-17T14:15:00Z,58.00,43.00
2025-07-17T14:21:00Z,58.00,43.00
2025-07-17T14:26:00Z,58.00,43.00
2025-07-17T14:28:00Z,58.00,43.00
2025-07-17T14:30:00Z,58.00,43.00
2025-07-17T14:31:00Z,58.63,43.00
2025-07-17T14:32:00Z,58.63,43.00
2025-07-17T14:35:00Z,58.00,43.00
2025-07-17T14:37:00Z,57.00,43.00
2025-07-17T14:38:00Z,57.00,43.00
2025-07-17T14:39:00Z,57.00,44.00
2025-07-17T14:40:00Z,57.00,44.96
2025-07-17T14:46:00Z,57.00,44.97
2025-07-17T14:47:00Z,57.00,45.00
2025-07-17T14:51:00Z,57.00,45.00
2025-07-17T14:52:00Z,57.00,45.00
2025-07-17T14:57:00Z,57.00,45.00
2025-07-17T14:58:00Z,57.91,40.00
2025-07-17T14:59:00Z,58.96,40.00
2025-07-17T15:03:00Z,59.46,40.00
2025-07-17T15:04:00Z,60.00,40.00
2025-07-17T15:09:00Z,60.00,42.00
2025-07-17T15:11:00Z,60.00,42.00
2025-07-17T15:14:00Z,60.00,42.00
2025-07-17T15:15:00Z,60.00,42.00
2025-07-17T15:16:00Z,60.00,42.00
2025-07-17T15:17:00Z,60.00,42.00
2025-07-17T15:18:00Z,60.00,42.00
2025-07-17T15:24:00Z,60.00,42.19
2025-07-17T15:25:00Z,56.75,42.19
2025-07-17T15:27:00Z,60.00,42.00
2025-07-17T15:28:00Z,60.00,42.00
2025-07-17T15:29:00Z,52.00,42.00
2025-07-17T15:30:00Z,60.00,42.00
2025-07-17T15:31:00Z,60.00,43.00
2025-07-17T15:32:00Z,60.00,43.00
2025-07-17T15:33:00Z,60.81,43.00
2025-07-17T15:34:00Z,61.00,43.00
2025-07-17T15:35:00Z,61.00,42.22
2025-07-17T15:36:00Z,61.00,42.00
2025-07-17T15:37:00Z,61.00,42.00
2025-07-17T15:38:00Z,61.00,42.00
2025-07-17T15:39:00Z,61.07,41.00
2025-07-17T15:40:00Z,60.75,40.82
2025-07-17T15:41:00Z,65.43,39.00
2025-07-17T15:42:00Z,65.98,37.00
2025-07-17T15:43:00Z,65.63,37.00
2025-07-17T15:44:00Z,65.00,37.95
2025-07-17T15:45:00Z,68.47,37.95
2025-07-17T15:46:00Z,66.06,36.58
2025-07-17T15:48:00Z,69.00,33.65
2025-07-17T15:49:00Z,69.00,33.65
2025-07-17T15:50:00Z,64.00,33.65
2025-07-17T15:51:00Z,59.00,38.00
2025-07-17T15:52:00Z,61.00,43.31
2025-07-17T15:53:00Z,69.19,39.18
2025-07-17T15:54:00Z,72.46,41.00
2025-07-17T15:55:00Z,72.04,41.00
2025-07-17T15:56:00Z,62.72,38.80
2025-07-17T15:57:00Z,61.00,38.80
2025-07-17T15:58:00Z,65.09,37.44
2025-07-17T15:59:00Z,66.80,37.44
2025-07-17T16:00:00Z,67.00,35.05
2025-07-17T16:01:00Z,67.00,35.00
