# event_ticker=KXATPMATCH-25JUL19CARBAS
# final_score=6-3 6-4
# match_winner=Nikoloz Basilashvili
# fav_player=Nikoloz Basilashvili
# dog_player=Roberto Carballes Baena
# kalshi_date=2025-07-19
timestamp,Nikoloz Basilashvili,Roberto Carballes Baena
2025-07-21T12:01:00Z,55.00,
2025-07-21T12:03:00Z,55.00,
2025-07-21T14:36:00Z,54.00,
2025-07-21T16:04:00Z,56.75,
2025-07-21T16:35:00Z,57.00,
2025-07-21T16:39:00Z,57.00,
2025-07-21T16:42:00Z,57.00,
2025-07-21T16:45:00Z,57.00,
2025-07-21T16:46:00Z,57.00,44.00
2025-07-21T17:09:00Z,57.93,44.00
2025-07-21T17:45:00Z,58.00,44.00
2025-07-21T17:52:00Z,57.00,45.00
2025-07-21T17:53:00Z,57.00,45.00
2025-07-21T17:54:00Z,56.00,46.43
2025-07-21T17:55:00Z,51.84,51.17
2025-07-21T17:56:00Z,51.00,52.00
2025-07-21T17:57:00Z,51.00,54.43
2025-07-21T17:58:00Z,51.00,50.00
2025-07-21T17:59:00Z,57.42,47.39
2025-07-21T18:00:00Z,77.00,47.39
2025-07-21T18:02:00Z,77.00,42.59
2025-07-21T18:03:00Z,67.00,36.00
2025-07-21T18:04:00Z,67.00,36.00
2025-07-21T18:05:00Z,60.22,44.00
2025-07-21T18:06:00Z,54.96,44.91
2025-07-21T18:07:00Z,54.96,51.98
2025-07-21T18:08:00Z,50.01,52.46
2025-07-21T18:09:00Z,50.01,49.90
2025-07-21T18:10:00Z,51.00,49.90
2025-07-21T18:11:00Z,52.00,49.90
2025-07-21T18:12:00Z,52.00,44.00
2025-07-21T18:14:00Z,52.00,49.54
2025-07-21T18:15:00Z,54.00,49.07
2025-07-21T18:16:00Z,54.00,47.62
2025-07-21T18:17:00Z,54.00,41.00
2025-07-21T18:18:00Z,65.50,41.00
2025-07-21T18:19:00Z,65.00,36.58
2025-07-21T18:21:00Z,70.34,36.58
2025-07-21T18:22:00Z,70.00,32.00
2025-07-21T18:23:00Z,70.00,27.13
2025-07-21T18:24:00Z,71.32,27.13
2025-07-21T18:25:00Z,70.00,32.17
2025-07-21T18:26:00Z,68.00,32.17
2025-07-21T18:28:00Z,68.00,34.15
2025-07-21T18:30:00Z,77.00,23.44
2025-07-21T18:31:00Z,77.00,25.06
2025-07-21T18:32:00Z,77.00,22.58
2025-07-21T18:33:00Z,80.00,22.00
2025-07-21T18:34:00Z,79.00,21.75
2025-07-21T18:35:00Z,81.00,21.75
2025-07-21T18:36:00Z,81.00,23.00
2025-07-21T18:37:00Z,81.00,20.47
2025-07-21T18:38:00Z,83.00,20.47
2025-07-21T18:39:00Z,83.15,14.68
2025-07-21T18:40:00Z,89.07,11.82
2025-07-21T18:41:00Z,86.61,11.96
2025-07-21T18:42:00Z,92.00,12.00
2025-07-21T18:43:00Z,88.91,11.00
2025-07-21T18:44:00Z,86.12,14.00
2025-07-21T18:45:00Z,86.00,10.00
2025-07-21T18:46:00Z,90.72,10.00
2025-07-21T18:47:00Z,93.97,9.15
2025-07-21T18:48:00Z,93.00,7.00
2025-07-21T18:49:00Z,93.00,5.00
2025-07-21T18:50:00Z,95.02,3.71
2025-07-21T18:51:00Z,95.00,6.36
2025-07-21T18:52:00Z,91.51,8.00
2025-07-21T18:53:00Z,92.00,12.00
2025-07-21T18:54:00Z,94.00,8.72
2025-07-21T18:55:00Z,94.00,7.46
2025-07-21T18:57:00Z,92.17,9.33
2025-07-21T18:58:00Z,90.50,9.33
2025-07-21T18:59:00Z,90.99,6.12
2025-07-21T19:00:00Z,90.99,5.67
2025-07-21T19:01:00Z,97.00,3.93
2025-07-21T19:02:00Z,98.82,2.00
2025-07-21T19:03:00Z,98.30,2.00
2025-07-21T19:04:00Z,98.30,1.02
2025-07-21T19:05:00Z,99.00,1.00
2025-07-21T19:06:00Z,99.00,1.00
2025-07-21T19:07:00Z,99.00,1.00
2025-07-21T19:08:00Z,98.00,1.50
2025-07-21T19:09:00Z,98.00,2.00
2025-07-21T19:10:00Z,99.00,1.01
2025-07-21T19:12:00Z,99.00,1.00
2025-07-21T19:13:00Z,98.00,1.00
2025-07-21T19:14:00Z,99.00,1.00
2025-07-21T19:15:00Z,98.17,1.51
2025-07-21T19:16:00Z,95.04,3.69
2025-07-21T19:17:00Z,91.00,10.17
2025-07-21T19:18:00Z,88.42,15.99
2025-07-21T19:19:00Z,88.23,21.57
2025-07-21T19:20:00Z,79.17,20.74
2025-07-21T19:21:00Z,78.39,20.07
2025-07-21T19:22:00Z,85.95,13.75
2025-07-21T19:23:00Z,85.49,13.16
2025-07-21T19:24:00Z,92.37,4.46
2025-07-21T19:25:00Z,99.00,4.46
