# event_ticker=KXATPCHALLENGERMATCH-26MAY12JORVAS
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Eero Vasa
# fav_player=David Jorda Sanchis
# dog_player=Eero Vasa
# kalshi_date=2026-05-12
timestamp,David Jorda Sanchis,Eero Vasa
2026-05-12T04:11:00Z,66.00,
2026-05-12T04:29:00Z,65.00,
2026-05-12T09:28:00Z,67.00,
2026-05-12T11:30:00Z,68.00,
2026-05-12T11:31:00Z,66.00,
2026-05-12T14:07:00Z,68.00,
2026-05-12T14:11:00Z,68.00,
2026-05-12T14:19:00Z,68.00,
2026-05-12T14:28:00Z,68.00,
2026-05-12T14:34:00Z,69.00,
2026-05-12T14:48:00Z,68.00,
2026-05-12T15:01:00Z,68.00,34.00
2026-05-12T15:03:00Z,68.94,34.00
2026-05-12T15:05:00Z,68.94,34.00
2026-05-12T15:08:00Z,69.00,34.00
2026-05-12T15:21:00Z,69.00,34.00
2026-05-12T15:32:00Z,69.00,34.00
2026-05-12T15:46:00Z,69.00,34.00
2026-05-12T15:51:00Z,68.00,34.00
2026-05-12T15:52:00Z,68.00,34.00
2026-05-12T15:58:00Z,65.50,34.00
2026-05-12T15:59:00Z,65.50,32.00
2026-05-12T16:00:00Z,65.50,30.00
2026-05-12T16:01:00Z,70.00,30.00
2026-05-12T16:02:00Z,66.52,32.81
2026-05-12T16:03:00Z,65.00,36.00
2026-05-12T16:04:00Z,60.90,43.00
2026-05-12T16:05:00Z,51.00,50.80
2026-05-12T16:06:00Z,51.00,52.05
2026-05-12T16:07:00Z,48.00,52.64
2026-05-12T16:08:00Z,46.00,53.00
2026-05-12T16:09:00Z,46.00,53.88
2026-05-12T16:10:00Z,47.00,53.88
2026-05-12T16:11:00Z,47.00,54.00
2026-05-12T16:12:00Z,47.77,52.00
2026-05-12T16:13:00Z,54.04,42.82
2026-05-12T16:14:00Z,59.72,36.51
2026-05-12T16:15:00Z,65.00,35.03
2026-05-12T16:16:00Z,67.93,32.08
2026-05-12T16:17:00Z,69.00,32.00
2026-05-12T16:18:00Z,69.00,31.01
2026-05-12T16:19:00Z,69.98,30.00
2026-05-12T16:20:00Z,70.52,29.31
2026-05-12T16:21:00Z,70.66,30.75
2026-05-12T16:22:00Z,68.00,32.27
2026-05-12T16:23:00Z,68.00,32.71
2026-05-12T16:24:00Z,67.26,32.05
2026-05-12T16:25:00Z,70.16,30.97
2026-05-12T16:26:00Z,71.00,30.00
2026-05-12T16:27:00Z,71.65,32.00
2026-05-12T16:28:00Z,71.89,28.46
2026-05-12T16:29:00Z,83.05,18.97
2026-05-12T16:30:00Z,72.36,25.45
2026-05-12T16:31:00Z,69.00,30.00
2026-05-12T16:32:00Z,62.09,37.58
2026-05-12T16:33:00Z,62.29,38.68
2026-05-12T16:34:00Z,53.36,44.31
2026-05-12T16:35:00Z,45.71,54.90
2026-05-12T16:36:00Z,43.93,55.53
2026-05-12T16:37:00Z,42.00,59.05
2026-05-12T16:38:00Z,40.22,60.09
2026-05-12T16:39:00Z,39.99,60.85
2026-05-12T16:40:00Z,39.99,60.85
2026-05-12T16:41:00Z,38.26,62.41
2026-05-12T16:42:00Z,31.82,65.70
2026-05-12T16:43:00Z,28.88,70.56
2026-05-12T16:44:00Z,29.20,70.44
2026-05-12T16:45:00Z,27.30,73.41
2026-05-12T16:46:00Z,22.00,78.28
2026-05-12T16:47:00Z,20.02,81.30
2026-05-12T16:48:00Z,20.43,81.21
2026-05-12T16:49:00Z,18.93,83.03
2026-05-12T16:50:00Z,18.88,82.00
2026-05-12T16:51:00Z,18.74,82.11
2026-05-12T16:52:00Z,19.18,81.27
2026-05-12T16:53:00Z,20.00,80.38
2026-05-12T16:54:00Z,18.26,82.54
2026-05-12T16:55:00Z,25.47,72.99
2026-05-12T16:56:00Z,33.20,66.23
2026-05-12T16:57:00Z,37.31,61.94
2026-05-12T16:58:00Z,27.34,71.93
2026-05-12T16:59:00Z,22.58,76.78
2026-05-12T17:00:00Z,17.98,77.55
2026-05-12T17:01:00Z,18.00,83.89
2026-05-12T17:02:00Z,15.51,87.20
2026-05-12T17:03:00Z,12.91,89.02
2026-05-12T17:04:00Z,12.72,88.90
2026-05-12T17:05:00Z,13.57,87.74
2026-05-12T17:06:00Z,13.81,87.25
2026-05-12T17:07:00Z,14.00,87.00
2026-05-12T17:08:00Z,13.02,88.63
2026-05-12T17:09:00Z,14.31,86.58
2026-05-12T17:10:00Z,19.85,80.20
2026-05-12T17:11:00Z,20.80,81.21
2026-05-12T17:12:00Z,35.92,64.45
2026-05-12T17:13:00Z,33.23,65.55
2026-05-12T17:14:00Z,32.65,67.25
2026-05-12T17:15:00Z,19.84,80.92
2026-05-12T17:16:00Z,9.87,89.99
2026-05-12T17:17:00Z,9.99,90.14
2026-05-12T17:18:00Z,10.00,91.32
2026-05-12T17:19:00Z,9.52,90.99
2026-05-12T17:20:00Z,4.76,93.45
2026-05-12T17:21:00Z,1.18,98.98
2026-05-12T17:22:00Z,1.18,99.00
2026-05-12T17:23:00Z,1.18,99.00
2026-05-12T17:24:00Z,1.00,99.00
2026-05-12T17:25:00Z,1.00,99.00
2026-05-12T17:26:00Z,1.00,99.00
2026-05-12T17:27:00Z,1.00,99.00
