# event_ticker=KXATPCHALLENGERMATCH-26FEB13YEVGOM
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Federico Agustin Gomez
# fav_player=Denis Yevseyev
# dog_player=Federico Agustin Gomez
# kalshi_date=2026-02-13
timestamp,Denis Yevseyev,Federico Agustin Gomez
2026-02-12T18:47:00Z,,71.00
2026-02-12T19:01:00Z,34.00,71.00
2026-02-12T19:31:00Z,33.00,70.00
2026-02-12T20:33:00Z,30.00,70.00
2026-02-12T20:57:00Z,30.00,70.00
2026-02-12T21:17:00Z,30.00,68.00
2026-02-12T22:14:00Z,32.00,68.00
2026-02-12T22:42:00Z,32.00,68.00
2026-02-12T22:50:00Z,32.00,68.00
2026-02-12T22:54:00Z,32.00,70.00
2026-02-12T22:57:00Z,32.00,70.00
2026-02-12T23:09:00Z,32.00,70.00
2026-02-12T23:21:00Z,32.00,70.00
2026-02-13T00:07:00Z,32.00,70.00
2026-02-13T00:15:00Z,32.00,70.00
2026-02-13T00:19:00Z,32.00,70.00
2026-02-13T01:10:00Z,32.00,70.00
2026-02-13T01:19:00Z,32.00,70.00
2026-02-13T01:41:00Z,32.00,68.00
2026-02-13T01:46:00Z,32.00,70.00
2026-02-13T01:56:00Z,32.00,70.00
2026-02-13T01:57:00Z,32.00,70.00
2026-02-13T02:04:00Z,32.00,70.00
2026-02-13T02:06:00Z,30.00,70.00
2026-02-13T02:47:00Z,30.00,71.00
2026-02-13T02:49:00Z,30.00,71.00
2026-02-13T03:05:00Z,30.00,71.00
2026-02-13T03:09:00Z,30.00,71.00
2026-02-13T03:20:00Z,30.00,71.00
2026-02-13T03:37:00Z,30.00,71.00
2026-02-13T03:38:00Z,30.00,71.00
2026-02-13T03:43:00Z,30.00,71.00
2026-02-13T03:45:00Z,30.00,71.00
2026-02-13T03:46:00Z,30.00,71.00
2026-02-13T03:51:00Z,30.00,71.00
2026-02-13T03:59:00Z,30.00,71.00
2026-02-13T04:01:00Z,30.00,71.00
2026-02-13T04:05:00Z,30.00,71.00
2026-02-13T04:09:00Z,30.00,71.00
2026-02-13T04:10:00Z,30.00,71.00
2026-02-13T04:16:00Z,30.00,71.00
2026-02-13T04:17:00Z,30.00,71.00
2026-02-13T04:22:00Z,30.00,71.00
2026-02-13T04:23:00Z,30.00,71.00
2026-02-13T04:27:00Z,30.00,71.00
2026-02-13T04:30:00Z,30.00,71.00
2026-02-13T04:31:00Z,30.00,71.00
2026-02-13T04:38:00Z,30.00,71.00
2026-02-13T04:41:00Z,30.00,71.00
2026-02-13T04:42:00Z,30.00,71.00
2026-02-13T04:47:00Z,30.00,71.00
2026-02-13T04:53:00Z,30.00,71.00
2026-02-13T04:54:00Z,30.00,70.94
2026-02-13T04:55:00Z,30.00,71.00
2026-02-13T04:56:00Z,30.00,71.00
2026-02-13T04:58:00Z,30.00,71.00
2026-02-13T04:59:00Z,30.00,71.00
2026-02-13T05:01:00Z,30.00,71.00
2026-02-13T05:02:00Z,30.00,71.00
2026-02-13T05:05:00Z,30.00,71.00
2026-02-13T05:06:00Z,30.00,71.00
2026-02-13T05:08:00Z,30.00,71.00
2026-02-13T05:09:00Z,30.00,71.00
2026-02-13T05:10:00Z,30.00,71.00
2026-02-13T05:11:00Z,30.00,71.00
2026-02-13T05:13:00Z,30.00,71.00
2026-02-13T05:15:00Z,30.00,71.00
2026-02-13T05:16:00Z,30.00,71.36
2026-02-13T05:17:00Z,29.80,72.24
2026-02-13T05:18:00Z,29.80,73.00
2026-02-13T05:19:00Z,29.80,73.10
2026-02-13T05:20:00Z,29.80,74.00
2026-02-13T05:21:00Z,28.80,72.00
2026-02-13T05:22:00Z,28.00,74.00
2026-02-13T05:23:00Z,28.00,74.00
2026-02-13T05:24:00Z,28.00,74.00
2026-02-13T05:25:00Z,28.00,74.00
2026-02-13T05:26:00Z,28.00,74.00
2026-02-13T05:27:00Z,28.00,74.00
2026-02-13T05:28:00Z,28.05,74.00
2026-02-13T05:29:00Z,28.00,74.00
2026-02-13T05:30:00Z,28.00,74.00
2026-02-13T05:31:00Z,29.00,74.00
2026-02-13T05:32:00Z,29.00,74.00
2026-02-13T05:33:00Z,29.00,74.24
2026-02-13T05:34:00Z,29.00,74.71
2026-02-13T05:35:00Z,28.00,74.83
2026-02-13T05:36:00Z,28.63,74.02
2026-02-13T05:37:00Z,29.00,74.10
2026-02-13T05:38:00Z,28.43,74.58
2026-02-13T05:39:00Z,29.00,72.65
2026-02-13T05:40:00Z,29.15,73.19
2026-02-13T05:41:00Z,29.00,74.00
2026-02-13T05:42:00Z,29.00,73.07
2026-02-13T05:43:00Z,27.32,75.68
2026-02-13T05:44:00Z,22.50,79.17
2026-02-13T05:45:00Z,25.42,74.01
2026-02-13T05:46:00Z,28.55,71.90
2026-02-13T05:47:00Z,25.95,74.04
2026-02-13T05:48:00Z,29.68,72.20
2026-02-13T05:49:00Z,30.56,70.90
2026-02-13T05:50:00Z,30.43,70.31
2026-02-13T05:51:00Z,30.86,72.00
2026-02-13T05:52:00Z,31.00,71.33
2026-02-13T05:53:00Z,31.25,70.00
2026-02-13T05:54:00Z,28.76,74.19
2026-02-13T05:55:00Z,20.78,77.96
2026-02-13T05:56:00Z,18.24,83.58
2026-02-13T05:57:00Z,17.68,82.42
2026-02-13T05:58:00Z,17.11,85.14
2026-02-13T05:59:00Z,15.98,84.95
2026-02-13T06:00:00Z,17.46,84.03
2026-02-13T06:01:00Z,18.27,84.25
2026-02-13T06:02:00Z,18.92,83.11
2026-02-13T06:03:00Z,19.70,82.81
2026-02-13T06:04:00Z,18.04,84.43
2026-02-13T06:05:00Z,14.06,86.05
2026-02-13T06:06:00Z,13.25,87.53
2026-02-13T06:07:00Z,14.13,86.08
2026-02-13T06:08:00Z,18.22,81.92
2026-02-13T06:09:00Z,17.36,83.60
2026-02-13T06:10:00Z,15.28,84.67
2026-02-13T06:11:00Z,13.12,87.97
2026-02-13T06:12:00Z,14.90,86.68
2026-02-13T06:13:00Z,16.10,85.73
2026-02-13T06:14:00Z,18.38,82.43
2026-02-13T06:15:00Z,20.08,82.36
2026-02-13T06:16:00Z,19.25,82.00
2026-02-13T06:17:00Z,25.97,77.70
2026-02-13T06:18:00Z,29.72,70.28
2026-02-13T06:19:00Z,29.12,73.90
2026-02-13T06:20:00Z,24.22,77.77
2026-02-13T06:21:00Z,19.75,80.07
2026-02-13T06:22:00Z,19.29,82.72
2026-02-13T06:23:00Z,20.24,81.64
2026-02-13T06:24:00Z,22.84,78.74
2026-02-13T06:25:00Z,23.00,78.45
2026-02-13T06:26:00Z,19.37,82.59
2026-02-13T06:27:00Z,18.89,82.05
2026-02-13T06:28:00Z,22.56,83.50
2026-02-13T06:29:00Z,23.70,77.63
2026-02-13T06:30:00Z,23.90,77.06
2026-02-13T06:31:00Z,23.41,80.05
2026-02-13T06:32:00Z,21.08,80.19
2026-02-13T06:33:00Z,20.06,80.72
2026-02-13T06:34:00Z,14.92,84.98
2026-02-13T06:35:00Z,8.33,91.85
2026-02-13T06:36:00Z,5.87,94.94
2026-02-13T06:37:00Z,6.90,94.45
2026-02-13T06:38:00Z,5.10,94.47
2026-02-13T06:39:00Z,2.98,97.89
2026-02-13T06:40:00Z,2.46,97.58
2026-02-13T06:41:00Z,2.55,98.89
2026-02-13T06:42:00Z,3.94,96.78
2026-02-13T06:43:00Z,4.40,95.63
2026-02-13T06:44:00Z,4.28,94.99
2026-02-13T06:45:00Z,1.42,98.46
2026-02-13T06:46:00Z,1.02,99.00
2026-02-13T06:47:00Z,1.00,99.00
2026-02-13T06:48:00Z,1.00,99.00
2026-02-13T06:49:00Z,1.00,99.00
2026-02-13T06:50:00Z,1.00,99.00
2026-02-13T06:51:00Z,1.00,99.00
