# event_ticker=KXATPMATCH-26JUN10BORCIL
# final_score=3-6 7-6(5) 6-3
# score_resolution=3-6 7-6 6-3
# match_winner=Marin Cilic
# fav_player=Marin Cilic
# dog_player=Nuno Borges
# kalshi_date=2026-06-10
timestamp,Nuno Borges,Marin Cilic
2026-06-11T22:19:00Z,80.57,19.00
2026-06-11T22:20:00Z,81.67,19.00
2026-06-11T22:21:00Z,80.22,18.95
2026-06-11T22:22:00Z,82.15,19.00
2026-06-11T22:23:00Z,81.83,19.00
2026-06-11T22:24:00Z,82.00,19.00
2026-06-11T22:25:00Z,81.00,19.00
2026-06-11T22:26:00Z,82.00,18.00
2026-06-11T22:27:00Z,81.85,19.00
2026-06-11T22:28:00Z,81.10,19.00
2026-06-11T22:29:00Z,81.02,18.64
2026-06-11T22:30:00Z,80.81,17.51
2026-06-11T22:31:00Z,81.44,17.51
2026-06-11T22:32:00Z,81.88,19.00
2026-06-11T22:33:00Z,82.72,19.00
2026-06-11T22:34:00Z,81.17,19.00
2026-06-11T22:35:00Z,81.01,18.00
2026-06-11T22:36:00Z,81.99,18.01
2026-06-11T22:37:00Z,81.88,19.00
2026-06-11T22:39:00Z,81.46,18.00
2026-06-11T22:40:00Z,81.00,19.00
2026-06-11T22:41:00Z,81.24,19.00
2026-06-11T22:42:00Z,82.00,18.00
2026-06-11T22:43:00Z,81.63,18.00
2026-06-11T22:44:00Z,81.06,18.18
2026-06-11T22:45:00Z,81.07,18.00
2026-06-11T22:46:00Z,81.07,19.00
2026-06-11T22:48:00Z,83.00,18.53
2026-06-11T22:49:00Z,83.00,19.00
2026-06-11T22:50:00Z,81.31,19.00
2026-06-11T22:51:00Z,83.00,19.00
2026-06-11T22:52:00Z,80.32,19.00
2026-06-11T22:53:00Z,81.41,18.08
2026-06-11T22:55:00Z,82.99,18.60
2026-06-11T22:56:00Z,81.03,18.15
2026-06-11T22:57:00Z,82.84,18.15
2026-06-11T22:58:00Z,81.59,18.15
2026-06-11T22:59:00Z,81.50,18.15
2026-06-11T23:00:00Z,80.62,18.00
2026-06-11T23:01:00Z,81.58,18.00
2026-06-11T23:02:00Z,82.78,20.00
2026-06-11T23:03:00Z,81.96,20.00
2026-06-11T23:04:00Z,82.76,19.90
2026-06-11T23:05:00Z,82.26,19.90
2026-06-11T23:06:00Z,82.39,20.00
2026-06-11T23:07:00Z,82.98,18.81
2026-06-11T23:08:00Z,82.00,18.81
2026-06-11T23:09:00Z,80.01,19.05
2026-06-11T23:10:00Z,82.55,19.00
2026-06-11T23:11:00Z,81.00,18.00
2026-06-11T23:12:00Z,81.71,19.00
2026-06-11T23:13:00Z,82.00,19.00
2026-06-11T23:14:00Z,82.96,18.96
2026-06-11T23:15:00Z,82.74,18.00
2026-06-11T23:16:00Z,83.00,19.00
2026-06-11T23:17:00Z,82.17,19.00
2026-06-11T23:18:00Z,82.95,19.00
2026-06-11T23:19:00Z,81.03,19.00
2026-06-11T23:20:00Z,82.91,19.00
2026-06-11T23:21:00Z,83.00,18.57
2026-06-11T23:22:00Z,83.00,18.10
2026-06-11T23:23:00Z,81.00,19.00
2026-06-11T23:24:00Z,81.00,19.00
2026-06-11T23:25:00Z,83.00,18.00
2026-06-11T23:26:00Z,83.00,18.00
2026-06-11T23:27:00Z,83.00,18.86
2026-06-11T23:28:00Z,83.00,19.00
2026-06-11T23:30:00Z,81.40,18.56
2026-06-11T23:31:00Z,81.00,18.00
2026-06-11T23:32:00Z,83.00,18.00
2026-06-11T23:33:00Z,81.00,18.00
2026-06-11T23:34:00Z,82.32,18.00
2026-06-11T23:35:00Z,83.00,18.00
2026-06-11T23:36:00Z,82.00,18.00
2026-06-11T23:37:00Z,81.17,18.00
