# event_ticker=KXATPMATCH-25AUG07MPEWON
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Coleman Wong
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Coleman Wong
# kalshi_date=2025-08-07
timestamp,Giovanni Mpetshi Perricard,Coleman Wong
2025-08-07T11:23:00Z,69.00,
2025-08-07T11:36:00Z,69.00,
2025-08-07T12:20:00Z,69.00,44.00
2025-08-07T13:08:00Z,64.29,44.00
2025-08-07T13:43:00Z,64.00,44.00
2025-08-07T13:53:00Z,64.00,44.00
2025-08-07T13:57:00Z,64.00,37.00
2025-08-07T14:15:00Z,64.00,37.00
2025-08-07T14:20:00Z,64.00,38.00
2025-08-07T14:33:00Z,63.00,38.00
2025-08-07T14:46:00Z,63.00,38.00
2025-08-07T15:00:00Z,63.00,38.00
2025-08-07T15:13:00Z,63.00,37.00
2025-08-07T15:16:00Z,63.00,37.00
2025-08-07T15:40:00Z,62.18,37.00
2025-08-07T15:45:00Z,63.00,37.00
2025-08-07T15:59:00Z,63.00,37.00
2025-08-07T16:01:00Z,63.00,37.00
2025-08-07T16:05:00Z,63.00,37.00
2025-08-07T16:16:00Z,63.00,37.00
2025-08-07T16:18:00Z,63.00,38.00
2025-08-07T16:32:00Z,63.00,38.00
2025-08-07T16:33:00Z,63.00,38.00
2025-08-07T16:37:00Z,63.00,38.00
2025-08-07T16:46:00Z,61.11,38.00
2025-08-07T16:47:00Z,63.00,38.00
2025-08-07T16:48:00Z,63.00,38.00
2025-08-07T16:50:00Z,63.00,38.00
2025-08-07T16:51:00Z,63.00,39.00
2025-08-07T16:53:00Z,63.00,39.00
2025-08-07T16:55:00Z,63.00,39.00
2025-08-07T17:05:00Z,63.00,39.00
2025-08-07T17:16:00Z,63.00,39.00
2025-08-07T17:17:00Z,63.00,39.00
2025-08-07T17:19:00Z,58.00,42.00
2025-08-07T17:22:00Z,58.00,40.45
2025-08-07T17:25:00Z,58.20,39.00
2025-08-07T17:26:00Z,58.19,42.93
2025-08-07T17:27:00Z,58.19,49.73
2025-08-07T17:28:00Z,47.22,54.00
2025-08-07T17:29:00Z,39.00,54.00
2025-08-07T17:30:00Z,39.00,61.00
2025-08-07T17:31:00Z,37.00,65.21
2025-08-07T17:32:00Z,37.98,66.00
2025-08-07T17:33:00Z,37.00,66.00
2025-08-07T17:34:00Z,37.00,66.00
2025-08-07T17:35:00Z,41.64,66.00
2025-08-07T17:37:00Z,51.49,66.00
2025-08-07T17:38:00Z,47.06,59.12
2025-08-07T17:39:00Z,37.00,65.00
2025-08-07T17:40:00Z,39.36,66.00
2025-08-07T17:41:00Z,40.60,63.47
2025-08-07T17:42:00Z,39.00,63.00
2025-08-07T17:43:00Z,36.87,63.00
2025-08-07T17:44:00Z,38.05,63.00
2025-08-07T17:45:00Z,37.68,66.00
2025-08-07T17:46:00Z,37.20,67.71
2025-08-07T17:47:00Z,37.20,69.71
2025-08-07T17:48:00Z,37.20,73.00
2025-08-07T17:49:00Z,19.38,82.06
2025-08-07T17:50:00Z,13.88,89.48
2025-08-07T17:51:00Z,12.98,89.01
2025-08-07T17:52:00Z,10.00,89.01
2025-08-07T17:53:00Z,12.18,89.01
2025-08-07T17:54:00Z,12.42,87.00
2025-08-07T17:55:00Z,12.82,89.46
2025-08-07T17:56:00Z,10.16,90.49
2025-08-07T17:57:00Z,12.11,91.52
2025-08-07T17:58:00Z,8.36,95.28
2025-08-07T17:59:00Z,8.31,95.28
2025-08-07T18:00:00Z,3.21,97.21
2025-08-07T18:01:00Z,2.34,97.63
2025-08-07T18:02:00Z,2.00,98.96
2025-08-07T18:03:00Z,3.17,97.00
2025-08-07T18:04:00Z,4.12,97.00
2025-08-07T18:05:00Z,3.00,98.00
2025-08-07T18:06:00Z,3.29,99.00
2025-08-07T18:07:00Z,1.97,97.13
2025-08-07T18:08:00Z,1.88,99.00
2025-08-07T18:09:00Z,2.00,99.00
2025-08-07T18:10:00Z,1.00,99.00
2025-08-07T18:11:00Z,1.00,99.00
2025-08-07T18:12:00Z,1.00,99.00
