# event_ticker=KXATPCHALLENGERMATCH-26APR30COUBEN
# final_score=6-1 6-3
# match_winner=Eliakim Coulibaly
# fav_player=Eliakim Coulibaly
# dog_player=Karim Bennani
# kalshi_date=2026-04-30
timestamp,Eliakim Coulibaly,Karim Bennani
2026-04-30T09:54:00Z,63.00,
2026-04-30T09:56:00Z,63.27,
2026-04-30T12:14:00Z,63.27,43.91
2026-04-30T12:16:00Z,65.00,37.00
2026-04-30T12:19:00Z,65.00,42.98
2026-04-30T12:20:00Z,65.00,37.00
2026-04-30T12:43:00Z,65.00,42.00
2026-04-30T12:52:00Z,65.00,42.00
2026-04-30T12:55:00Z,63.00,42.00
2026-04-30T15:24:00Z,61.00,42.00
2026-04-30T15:30:00Z,61.00,42.00
2026-04-30T15:32:00Z,60.00,42.00
2026-04-30T15:33:00Z,61.00,40.00
2026-04-30T15:41:00Z,61.00,40.00
2026-04-30T15:50:00Z,60.20,40.00
2026-04-30T16:01:00Z,61.00,40.00
2026-04-30T16:14:00Z,61.00,40.00
2026-04-30T16:23:00Z,61.00,40.00
2026-04-30T16:25:00Z,61.00,40.00
2026-04-30T16:26:00Z,61.00,40.00
2026-04-30T16:28:00Z,61.00,40.00
2026-04-30T16:37:00Z,60.00,40.00
2026-04-30T16:39:00Z,60.00,41.00
2026-04-30T16:40:00Z,60.00,41.00
2026-04-30T16:43:00Z,60.00,41.00
2026-04-30T16:45:00Z,60.00,41.00
2026-04-30T16:46:00Z,60.00,41.00
2026-04-30T16:48:00Z,60.00,41.00
2026-04-30T16:49:00Z,60.00,41.00
2026-04-30T16:50:00Z,60.00,41.00
2026-04-30T16:53:00Z,60.00,41.00
2026-04-30T16:54:00Z,60.00,41.00
2026-04-30T16:59:00Z,60.00,41.00
2026-04-30T17:00:00Z,60.49,41.00
2026-04-30T17:01:00Z,62.00,41.00
2026-04-30T17:02:00Z,62.00,41.00
2026-04-30T17:05:00Z,62.94,40.00
2026-04-30T17:08:00Z,63.45,40.00
2026-04-30T17:09:00Z,64.00,40.00
2026-04-30T17:10:00Z,64.00,39.98
2026-04-30T17:12:00Z,64.00,40.00
2026-04-30T17:14:00Z,64.00,39.00
2026-04-30T17:15:00Z,68.00,34.00
2026-04-30T17:16:00Z,68.00,39.98
2026-04-30T17:18:00Z,64.58,35.61
2026-04-30T17:19:00Z,62.02,35.61
2026-04-30T17:20:00Z,70.62,32.62
2026-04-30T17:21:00Z,75.84,32.62
2026-04-30T17:22:00Z,76.96,32.62
2026-04-30T17:23:00Z,78.14,22.00
2026-04-30T17:24:00Z,78.00,21.97
2026-04-30T17:25:00Z,78.00,23.00
2026-04-30T17:26:00Z,78.00,22.70
2026-04-30T17:27:00Z,76.00,22.37
2026-04-30T17:28:00Z,80.06,20.00
2026-04-30T17:29:00Z,81.00,18.06
2026-04-30T17:30:00Z,83.11,17.74
2026-04-30T17:31:00Z,85.88,15.06
2026-04-30T17:32:00Z,86.19,14.11
2026-04-30T17:33:00Z,88.00,13.00
2026-04-30T17:34:00Z,88.22,11.10
2026-04-30T17:35:00Z,89.00,10.95
2026-04-30T17:36:00Z,90.77,11.00
2026-04-30T17:37:00Z,90.30,10.01
2026-04-30T17:38:00Z,91.00,8.91
2026-04-30T17:39:00Z,92.00,9.00
2026-04-30T17:40:00Z,92.07,8.34
2026-04-30T17:41:00Z,91.00,9.49
2026-04-30T17:42:00Z,90.85,9.32
2026-04-30T17:43:00Z,90.85,9.00
2026-04-30T17:44:00Z,90.79,10.08
2026-04-30T17:45:00Z,92.00,8.46
2026-04-30T17:46:00Z,90.55,9.97
2026-04-30T17:47:00Z,91.02,9.24
2026-04-30T17:48:00Z,92.07,8.00
2026-04-30T17:49:00Z,93.25,7.14
2026-04-30T17:50:00Z,94.00,7.00
2026-04-30T17:51:00Z,94.23,7.25
2026-04-30T17:52:00Z,91.10,8.65
2026-04-30T17:53:00Z,91.06,9.04
2026-04-30T17:54:00Z,92.00,8.77
2026-04-30T17:55:00Z,92.00,8.40
2026-04-30T17:56:00Z,92.92,7.00
2026-04-30T17:57:00Z,93.00,7.13
2026-04-30T17:58:00Z,93.00,8.00
2026-04-30T17:59:00Z,92.12,8.11
2026-04-30T18:00:00Z,93.00,8.90
2026-04-30T18:01:00Z,91.00,9.30
2026-04-30T18:02:00Z,91.36,9.75
2026-04-30T18:03:00Z,92.38,8.94
2026-04-30T18:04:00Z,92.00,9.00
2026-04-30T18:05:00Z,92.77,8.18
2026-04-30T18:06:00Z,93.00,7.32
2026-04-30T18:07:00Z,93.00,8.00
2026-04-30T18:08:00Z,93.85,6.98
2026-04-30T18:09:00Z,95.35,5.74
2026-04-30T18:10:00Z,94.32,5.88
2026-04-30T18:11:00Z,93.61,5.84
2026-04-30T18:12:00Z,97.57,3.54
2026-04-30T18:13:00Z,98.92,1.99
2026-04-30T18:14:00Z,99.00,1.01
2026-04-30T18:15:00Z,99.00,1.00
2026-04-30T18:16:00Z,99.00,1.00
2026-04-30T18:17:00Z,99.00,1.00
2026-04-30T18:18:00Z,99.00,1.00
2026-04-30T18:19:00Z,99.00,1.00
2026-04-30T18:20:00Z,99.00,1.00
2026-04-30T18:21:00Z,99.00,1.00
2026-04-30T18:24:00Z,99.00,1.00
2026-04-30T18:26:00Z,99.00,1.00
2026-04-30T18:29:00Z,99.00,1.00
2026-04-30T18:31:00Z,99.00,1.00
