# event_ticker=KXATPCHALLENGERMATCH-26APR03CALPAU
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Sergio Callejon Hernando
# fav_player=Andrew Paulson
# dog_player=Sergio Callejon Hernando
# kalshi_date=2026-04-03
timestamp,Andrew Paulson,Sergio Callejon Hernando
2026-04-02T21:40:00Z,,47.00
2026-04-02T21:59:00Z,54.48,45.76
2026-04-02T22:02:00Z,53.00,45.76
2026-04-02T22:03:00Z,53.00,45.76
2026-04-02T22:09:00Z,53.98,45.76
2026-04-02T22:10:00Z,54.00,45.76
2026-04-02T22:11:00Z,54.00,45.76
2026-04-02T22:14:00Z,54.00,45.76
2026-04-02T22:15:00Z,54.00,47.00
2026-04-02T22:19:00Z,53.00,46.00
2026-04-02T22:20:00Z,54.00,46.00
2026-04-02T22:29:00Z,54.00,45.00
2026-04-02T23:33:00Z,54.00,45.00
2026-04-03T01:19:00Z,55.00,45.00
2026-04-03T03:03:00Z,55.00,46.00
2026-04-03T03:33:00Z,55.00,46.00
2026-04-03T04:42:00Z,55.00,46.00
2026-04-03T04:43:00Z,55.00,46.00
2026-04-03T04:48:00Z,55.00,46.00
2026-04-03T04:51:00Z,55.00,46.00
2026-04-03T04:54:00Z,55.00,46.00
2026-04-03T05:02:00Z,55.00,46.00
2026-04-03T05:04:00Z,55.00,46.00
2026-04-03T05:12:00Z,55.00,46.00
2026-04-03T05:14:00Z,55.00,45.00
2026-04-03T05:20:00Z,55.00,46.00
2026-04-03T05:23:00Z,55.00,46.00
2026-04-03T05:27:00Z,55.00,46.00
2026-04-03T05:40:00Z,55.00,45.00
2026-04-03T05:41:00Z,55.00,45.00
2026-04-03T05:48:00Z,55.00,45.00
2026-04-03T06:02:00Z,55.00,45.00
2026-04-03T06:04:00Z,55.00,45.00
2026-04-03T06:11:00Z,55.00,45.00
2026-04-03T06:13:00Z,55.00,45.00
2026-04-03T06:18:00Z,55.00,46.00
2026-04-03T06:19:00Z,55.00,46.00
2026-04-03T06:22:00Z,55.00,46.00
2026-04-03T06:26:00Z,55.00,46.00
2026-04-03T06:37:00Z,55.00,46.00
2026-04-03T06:41:00Z,55.00,46.00
2026-04-03T06:49:00Z,55.00,46.00
2026-04-03T06:50:00Z,55.00,46.00
2026-04-03T06:54:00Z,55.00,46.00
2026-04-03T07:00:00Z,55.00,46.00
2026-04-03T07:04:00Z,55.00,46.00
2026-04-03T07:07:00Z,55.00,46.00
2026-04-03T07:11:00Z,55.00,46.00
2026-04-03T07:16:00Z,55.00,46.00
2026-04-03T07:19:00Z,55.00,46.00
2026-04-03T07:22:00Z,55.00,46.00
2026-04-03T07:29:00Z,55.00,46.00
2026-04-03T07:32:00Z,55.00,46.00
2026-04-03T07:33:00Z,54.00,46.00
2026-04-03T07:34:00Z,54.00,46.00
2026-04-03T07:35:00Z,55.00,46.00
2026-04-03T07:57:00Z,55.00,46.00
2026-04-03T08:07:00Z,55.00,46.00
2026-04-03T08:09:00Z,55.00,45.00
2026-04-03T08:18:00Z,54.00,45.00
2026-04-03T08:26:00Z,54.00,45.00
2026-04-03T08:31:00Z,54.00,45.00
2026-04-03T08:32:00Z,54.00,47.00
2026-04-03T08:33:00Z,53.00,47.00
2026-04-03T08:35:00Z,53.00,48.96
2026-04-03T08:37:00Z,53.00,48.96
2026-04-03T08:38:00Z,54.00,46.00
2026-04-03T08:39:00Z,54.78,48.00
2026-04-03T08:40:00Z,54.00,48.00
2026-04-03T08:41:00Z,54.00,48.85
2026-04-03T08:44:00Z,54.00,49.53
2026-04-03T08:45:00Z,52.00,49.53
2026-04-03T08:47:00Z,53.98,48.00
2026-04-03T08:52:00Z,53.98,49.33
2026-04-03T08:56:00Z,50.21,49.33
2026-04-03T08:58:00Z,50.21,50.00
2026-04-03T09:01:00Z,50.21,50.99
2026-04-03T09:02:00Z,50.21,50.00
2026-04-03T09:08:00Z,46.00,54.59
2026-04-03T09:12:00Z,46.00,51.00
2026-04-03T09:14:00Z,47.00,51.00
2026-04-03T09:17:00Z,47.00,54.00
2026-04-03T09:18:00Z,47.99,54.00
2026-04-03T09:19:00Z,43.00,54.00
2026-04-03T09:22:00Z,43.00,49.10
2026-04-03T09:26:00Z,40.17,60.00
2026-04-03T09:27:00Z,40.17,60.87
2026-04-03T09:28:00Z,41.32,54.67
2026-04-03T09:29:00Z,42.79,52.90
2026-04-03T09:30:00Z,48.27,52.90
2026-04-03T09:32:00Z,53.00,52.90
2026-04-03T09:34:00Z,53.00,48.57
2026-04-03T09:35:00Z,53.00,45.99
2026-04-03T09:36:00Z,53.00,48.14
2026-04-03T09:37:00Z,47.04,51.93
2026-04-03T09:38:00Z,44.00,54.68
2026-04-03T09:39:00Z,35.53,57.71
2026-04-03T09:40:00Z,16.00,83.04
2026-04-03T09:41:00Z,12.63,83.49
2026-04-03T09:42:00Z,12.63,89.29
2026-04-03T09:43:00Z,8.00,90.80
2026-04-03T09:44:00Z,8.00,91.86
2026-04-03T09:46:00Z,8.00,91.00
2026-04-03T09:48:00Z,8.00,91.00
2026-04-03T09:50:00Z,8.00,91.00
2026-04-03T09:52:00Z,8.00,94.18
2026-04-03T09:54:00Z,9.00,91.78
2026-04-03T09:55:00Z,9.00,90.04
2026-04-03T09:58:00Z,1.79,98.47
2026-04-03T09:59:00Z,1.79,99.00
