# event_ticker=KXATPCHALLENGERMATCH-26MAR08CADMON
# final_score=3-6 6-3 6-2
# score_resolution=6-3 3-6 2-6
# match_winner=Thiago Monteiro
# fav_player=Gianluca Cadenasso
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-08
timestamp,Gianluca Cadenasso,Thiago Monteiro
2026-03-10T06:15:00Z,,66.00
2026-03-10T06:21:00Z,,66.00
2026-03-10T06:51:00Z,38.00,66.00
2026-03-10T06:52:00Z,38.00,66.00
2026-03-10T07:13:00Z,38.00,66.00
2026-03-10T07:15:00Z,38.00,66.00
2026-03-10T08:53:00Z,38.00,66.00
2026-03-10T09:52:00Z,38.00,66.00
2026-03-10T10:53:00Z,38.00,66.00
2026-03-10T13:11:00Z,38.00,66.00
2026-03-10T13:14:00Z,37.00,66.00
2026-03-10T13:19:00Z,37.00,66.00
2026-03-10T13:43:00Z,37.00,66.00
2026-03-10T13:44:00Z,37.00,66.00
2026-03-10T13:51:00Z,37.00,66.00
2026-03-10T13:53:00Z,37.00,66.00
2026-03-10T14:03:00Z,37.00,66.00
2026-03-10T14:08:00Z,37.00,63.00
2026-03-10T14:12:00Z,37.00,66.00
2026-03-10T14:13:00Z,37.00,66.00
2026-03-10T14:23:00Z,37.00,66.00
2026-03-10T15:08:00Z,37.00,66.00
2026-03-10T15:10:00Z,37.00,66.00
2026-03-10T15:11:00Z,36.00,66.00
2026-03-10T15:13:00Z,36.00,66.00
2026-03-10T15:48:00Z,36.00,67.00
2026-03-10T15:51:00Z,36.00,67.00
2026-03-10T15:57:00Z,36.00,67.00
2026-03-10T15:58:00Z,36.00,67.00
2026-03-10T16:04:00Z,35.00,67.00
2026-03-10T16:16:00Z,36.00,67.00
2026-03-10T16:18:00Z,36.00,67.00
2026-03-10T16:21:00Z,36.00,67.00
2026-03-10T16:26:00Z,36.00,67.00
2026-03-10T16:28:00Z,36.00,67.00
2026-03-10T16:29:00Z,36.00,67.00
2026-03-10T16:41:00Z,36.00,67.00
2026-03-10T16:43:00Z,36.00,64.00
2026-03-10T16:44:00Z,36.00,67.00
2026-03-10T16:47:00Z,36.00,67.00
2026-03-10T16:49:00Z,36.00,67.00
2026-03-10T17:01:00Z,36.00,66.00
2026-03-10T17:05:00Z,36.00,66.00
2026-03-10T17:06:00Z,36.00,66.99
2026-03-10T17:08:00Z,36.00,67.00
2026-03-10T17:17:00Z,36.00,67.00
2026-03-10T17:18:00Z,33.00,67.00
2026-03-10T17:25:00Z,33.00,67.00
2026-03-10T17:35:00Z,33.00,67.00
2026-03-10T17:43:00Z,33.00,67.00
2026-03-10T17:44:00Z,33.00,64.00
2026-03-10T17:48:00Z,33.00,67.00
2026-03-10T17:50:00Z,33.00,67.00
2026-03-10T17:57:00Z,35.00,67.00
2026-03-10T17:58:00Z,35.00,67.00
2026-03-10T18:00:00Z,36.00,67.00
2026-03-10T18:01:00Z,36.00,67.00
2026-03-10T18:03:00Z,36.00,64.00
2026-03-10T18:05:00Z,37.00,67.89
2026-03-10T18:07:00Z,34.32,67.00
2026-03-10T18:08:00Z,34.00,66.00
2026-03-10T18:09:00Z,34.00,68.00
2026-03-10T18:10:00Z,34.00,69.00
2026-03-10T18:11:00Z,34.00,71.00
2026-03-10T18:12:00Z,37.00,65.00
2026-03-10T18:13:00Z,37.00,63.11
2026-03-10T18:14:00Z,39.75,63.44
2026-03-10T18:15:00Z,42.00,63.59
2026-03-10T18:16:00Z,42.00,63.00
2026-03-10T18:19:00Z,42.00,65.00
2026-03-10T18:20:00Z,37.00,63.46
2026-03-10T18:21:00Z,37.00,67.40
2026-03-10T18:22:00Z,37.00,69.00
