# event_ticker=KXATPCHALLENGERMATCH-26APR21OSTPIE
# final_score=6-4 5-7 7-6(6)
# score_resolution=6-4 5-7 7-6
# match_winner=Daniil Ostapenkov
# fav_player=Daniil Ostapenkov
# dog_player=Samuele Pieri
# kalshi_date=2026-04-21
timestamp,Daniil Ostapenkov,Samuele Pieri
2026-04-20T17:29:00Z,,59.00
2026-04-20T18:59:00Z,39.00,59.00
2026-04-20T19:34:00Z,39.00,59.00
2026-04-20T19:35:00Z,39.00,62.00
2026-04-20T21:09:00Z,39.00,61.00
2026-04-20T21:10:00Z,39.00,59.00
2026-04-20T21:36:00Z,39.00,61.00
2026-04-20T21:41:00Z,41.00,61.00
2026-04-20T21:42:00Z,41.00,61.00
2026-04-20T21:59:00Z,41.00,61.00
2026-04-20T23:08:00Z,41.00,61.00
2026-04-20T23:33:00Z,41.00,61.00
2026-04-21T00:44:00Z,41.00,58.00
2026-04-21T01:17:00Z,42.00,58.00
2026-04-21T01:47:00Z,42.00,60.00
2026-04-21T02:12:00Z,42.00,60.09
2026-04-21T03:31:00Z,42.00,61.00
2026-04-21T03:36:00Z,42.00,61.00
2026-04-21T03:39:00Z,42.00,61.00
2026-04-21T03:50:00Z,42.00,61.00
2026-04-21T03:51:00Z,42.00,61.00
2026-04-21T03:59:00Z,42.00,61.00
2026-04-21T04:31:00Z,42.00,61.00
2026-04-21T04:46:00Z,42.00,61.00
2026-04-21T04:56:00Z,42.00,60.20
2026-04-21T05:03:00Z,41.16,60.20
2026-04-21T05:10:00Z,41.16,59.50
2026-04-21T05:12:00Z,42.81,58.00
2026-04-21T05:13:00Z,45.00,55.00
2026-04-21T05:14:00Z,50.37,51.03
2026-04-21T05:15:00Z,50.37,48.86
2026-04-21T05:16:00Z,49.00,52.90
2026-04-21T05:17:00Z,48.00,58.30
2026-04-21T05:18:00Z,42.14,60.00
2026-04-21T05:19:00Z,42.14,62.00
2026-04-21T05:20:00Z,39.00,60.76
2026-04-21T05:21:00Z,39.00,63.00
2026-04-21T05:22:00Z,40.00,60.00
2026-04-21T05:23:00Z,40.00,61.28
2026-04-21T05:24:00Z,39.05,61.77
2026-04-21T05:25:00Z,39.00,63.00
2026-04-21T05:26:00Z,39.00,63.00
2026-04-21T05:27:00Z,39.00,63.45
2026-04-21T05:28:00Z,37.98,62.00
2026-04-21T05:29:00Z,39.00,62.94
2026-04-21T05:30:00Z,36.65,62.19
2026-04-21T05:31:00Z,38.84,62.19
2026-04-21T05:32:00Z,40.15,63.54
2026-04-21T05:33:00Z,42.99,59.16
