# event_ticker=KXATPCHALLENGERMATCH-26APR28NEUTSE
# final_score=6-1 7-5
# score_resolution=1-6 5-7
# match_winner=Lukas Neumayer
# fav_player=Chun Hsin Tseng
# dog_player=Lukas Neumayer
# kalshi_date=2026-04-28
timestamp,Lukas Neumayer,Chun Hsin Tseng
2026-04-28T00:17:00Z,,40.00
2026-04-28T00:36:00Z,61.00,40.00
2026-04-28T00:38:00Z,60.00,40.00
2026-04-28T00:39:00Z,60.00,40.00
2026-04-28T02:29:00Z,60.00,38.00
2026-04-28T05:00:00Z,60.00,40.00
2026-04-28T06:17:00Z,61.00,40.00
2026-04-28T06:32:00Z,61.00,40.00
2026-04-28T07:06:00Z,61.00,40.00
2026-04-28T07:15:00Z,61.00,40.00
2026-04-28T07:18:00Z,61.00,40.00
2026-04-28T07:22:00Z,61.00,40.25
2026-04-28T09:01:00Z,62.10,40.25
2026-04-28T09:45:00Z,62.10,40.00
2026-04-28T10:14:00Z,62.10,40.00
2026-04-28T11:39:00Z,62.10,40.00
2026-04-28T11:42:00Z,62.00,40.00
2026-04-28T11:43:00Z,62.00,40.00
2026-04-28T11:45:00Z,62.00,40.00
2026-04-28T12:03:00Z,62.00,40.00
2026-04-28T12:08:00Z,63.00,38.00
2026-04-28T12:09:00Z,60.00,38.00
2026-04-28T12:10:00Z,60.00,40.00
2026-04-28T12:11:00Z,57.15,41.96
2026-04-28T12:15:00Z,64.00,41.96
2026-04-28T12:16:00Z,67.00,34.93
2026-04-28T12:17:00Z,67.00,37.00
2026-04-28T12:18:00Z,70.64,37.00
2026-04-28T12:19:00Z,73.00,25.00
2026-04-28T12:21:00Z,79.00,21.00
2026-04-28T12:22:00Z,79.00,22.00
2026-04-28T12:23:00Z,78.00,22.00
2026-04-28T12:24:00Z,79.00,22.00
2026-04-28T12:26:00Z,79.94,20.40
2026-04-28T12:27:00Z,80.35,21.00
2026-04-28T12:28:00Z,81.20,18.00
2026-04-28T12:29:00Z,83.52,16.00
2026-04-28T12:30:00Z,85.00,15.00
2026-04-28T12:31:00Z,86.44,14.00
2026-04-28T12:32:00Z,86.90,14.00
2026-04-28T12:33:00Z,87.00,14.00
2026-04-28T12:34:00Z,88.00,14.00
2026-04-28T12:35:00Z,86.03,14.54
2026-04-28T12:36:00Z,84.00,16.23
2026-04-28T12:37:00Z,84.00,16.23
2026-04-28T12:38:00Z,85.14,15.00
2026-04-28T12:39:00Z,86.02,14.00
2026-04-28T12:40:00Z,86.40,14.00
2026-04-28T12:41:00Z,85.04,15.00
2026-04-28T12:42:00Z,84.52,15.21
2026-04-28T12:43:00Z,84.00,17.00
2026-04-28T12:44:00Z,81.26,19.74
2026-04-28T12:45:00Z,74.29,27.36
2026-04-28T12:46:00Z,69.41,30.60
2026-04-28T12:47:00Z,71.91,28.00
2026-04-28T12:48:00Z,69.85,33.96
2026-04-28T12:49:00Z,65.65,35.00
2026-04-28T12:50:00Z,66.00,34.91
2026-04-28T12:51:00Z,64.07,35.99
2026-04-28T12:52:00Z,61.02,37.90
2026-04-28T12:53:00Z,58.62,40.83
2026-04-28T12:54:00Z,55.01,44.77
2026-04-28T12:55:00Z,55.00,45.00
2026-04-28T12:56:00Z,57.00,42.97
2026-04-28T12:57:00Z,57.03,43.00
2026-04-28T12:58:00Z,58.00,42.05
2026-04-28T12:59:00Z,58.12,41.05
2026-04-28T13:00:00Z,60.00,41.00
2026-04-28T13:01:00Z,57.04,43.00
2026-04-28T13:02:00Z,58.99,42.00
2026-04-28T13:03:00Z,61.69,38.32
2026-04-28T13:04:00Z,61.69,38.00
2026-04-28T13:05:00Z,62.44,37.24
2026-04-28T13:06:00Z,63.00,38.99
2026-04-28T13:07:00Z,64.61,37.00
2026-04-28T13:08:00Z,63.66,37.00
2026-04-28T13:09:00Z,63.00,37.61
2026-04-28T13:10:00Z,65.66,35.58
2026-04-28T13:11:00Z,63.17,37.56
2026-04-28T13:12:00Z,66.98,31.22
2026-04-28T13:13:00Z,70.34,30.90
2026-04-28T13:14:00Z,68.03,32.19
2026-04-28T13:15:00Z,74.01,27.81
2026-04-28T13:16:00Z,77.97,21.39
2026-04-28T13:17:00Z,78.53,22.23
2026-04-28T13:18:00Z,82.76,17.37
2026-04-28T13:19:00Z,86.38,13.32
2026-04-28T13:20:00Z,90.36,9.04
2026-04-28T13:21:00Z,92.33,10.07
2026-04-28T13:22:00Z,92.50,7.02
2026-04-28T13:23:00Z,96.32,3.99
2026-04-28T13:24:00Z,95.76,4.72
2026-04-28T13:25:00Z,94.48,6.47
2026-04-28T13:26:00Z,98.55,1.90
2026-04-28T13:27:00Z,99.00,1.00
2026-04-28T13:28:00Z,99.00,1.00
2026-04-28T13:29:00Z,99.00,1.00
2026-04-28T13:30:00Z,99.00,1.00
2026-04-28T13:31:00Z,99.00,1.00
