# event_ticker=KXATPMATCH-26FEB17MIGGAU
# final_score=6-3 2-6 6-2
# score_resolution=3-6 6-2 2-6
# match_winner=Vilius Gaubas
# fav_player=Luis Guto Miguel
# dog_player=Vilius Gaubas
# kalshi_date=2026-02-17
timestamp,Luis Guto Miguel,Vilius Gaubas
2026-02-17T13:36:00Z,,88.00
2026-02-17T14:32:00Z,,88.00
2026-02-17T14:56:00Z,12.00,88.00
2026-02-17T15:01:00Z,12.00,88.32
2026-02-17T15:05:00Z,12.00,89.00
2026-02-17T15:07:00Z,12.00,83.31
2026-02-17T15:34:00Z,12.00,89.00
2026-02-17T15:43:00Z,12.00,89.00
2026-02-17T15:51:00Z,12.00,89.00
2026-02-17T16:03:00Z,11.00,89.00
2026-02-17T16:20:00Z,11.00,88.00
2026-02-17T16:44:00Z,11.00,89.00
2026-02-17T16:47:00Z,11.00,89.94
2026-02-17T17:13:00Z,12.00,89.94
2026-02-17T17:28:00Z,11.00,89.00
2026-02-17T17:37:00Z,11.00,89.00
2026-02-17T18:15:00Z,11.00,90.00
2026-02-17T18:49:00Z,11.00,90.00
2026-02-17T18:56:00Z,11.00,90.00
2026-02-17T19:08:00Z,11.00,90.00
2026-02-17T19:56:00Z,11.00,90.00
2026-02-17T20:04:00Z,11.00,90.00
2026-02-17T20:24:00Z,11.00,90.00
2026-02-17T20:36:00Z,11.00,90.00
2026-02-17T20:42:00Z,11.00,90.00
2026-02-17T20:51:00Z,11.00,90.00
2026-02-17T20:57:00Z,11.00,90.00
2026-02-17T21:02:00Z,11.00,90.00
2026-02-17T21:19:00Z,11.00,90.00
2026-02-17T21:30:00Z,11.00,90.00
2026-02-17T21:51:00Z,11.00,90.00
2026-02-17T22:03:00Z,11.00,90.00
2026-02-17T22:12:00Z,11.00,90.00
2026-02-17T22:13:00Z,11.00,89.00
2026-02-17T22:25:00Z,11.00,89.00
2026-02-17T22:31:00Z,11.00,89.00
2026-02-17T22:34:00Z,12.00,89.00
2026-02-17T22:37:00Z,12.00,89.00
2026-02-17T22:47:00Z,12.00,89.00
2026-02-17T22:50:00Z,12.00,89.00
2026-02-17T22:54:00Z,12.00,89.00
2026-02-17T22:58:00Z,12.00,89.00
2026-02-17T23:01:00Z,12.00,89.00
2026-02-17T23:04:00Z,12.00,89.00
2026-02-17T23:08:00Z,12.00,89.00
2026-02-17T23:14:00Z,12.00,90.00
2026-02-17T23:15:00Z,12.00,90.00
2026-02-17T23:16:00Z,12.00,90.00
2026-02-17T23:17:00Z,12.00,90.00
2026-02-17T23:24:00Z,12.00,90.00
2026-02-17T23:30:00Z,11.00,90.00
2026-02-17T23:35:00Z,11.94,90.00
2026-02-17T23:36:00Z,12.00,90.00
2026-02-17T23:41:00Z,11.98,90.00
2026-02-17T23:44:00Z,11.93,90.00
2026-02-17T23:45:00Z,11.93,90.00
2026-02-17T23:47:00Z,11.97,90.00
2026-02-17T23:49:00Z,11.97,90.00
2026-02-17T23:51:00Z,11.00,90.00
2026-02-17T23:53:00Z,11.00,90.00
2026-02-17T23:55:00Z,11.00,90.00
2026-02-17T23:57:00Z,11.00,90.00
2026-02-18T00:00:00Z,11.00,90.00
2026-02-18T00:04:00Z,11.00,90.00
2026-02-18T00:05:00Z,10.00,90.00
2026-02-18T00:06:00Z,10.00,90.00
2026-02-18T00:07:00Z,11.00,90.00
2026-02-18T00:08:00Z,10.47,90.00
2026-02-18T00:09:00Z,11.00,90.00
2026-02-18T00:12:00Z,11.00,89.60
2026-02-18T00:13:00Z,11.00,89.60
2026-02-18T00:14:00Z,11.00,89.60
2026-02-18T00:15:00Z,11.00,88.42
2026-02-18T00:17:00Z,11.00,88.42
2026-02-18T00:18:00Z,11.00,89.00
2026-02-18T00:19:00Z,11.00,89.00
