# event_ticker=KXATPCHALLENGERMATCH-26MAR17GAKNEG
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Christoph Negritu
# fav_player=Ivan Gakhov
# dog_player=Christoph Negritu
# kalshi_date=2026-03-17
timestamp,Ivan Gakhov,Christoph Negritu
2026-03-17T05:34:00Z,58.00,
2026-03-17T06:00:00Z,58.00,47.00
2026-03-17T06:58:00Z,54.00,47.00
2026-03-17T07:19:00Z,54.00,50.91
2026-03-17T07:35:00Z,54.00,47.28
2026-03-17T08:02:00Z,54.00,47.00
2026-03-17T08:42:00Z,54.00,47.00
2026-03-17T08:43:00Z,54.00,47.00
2026-03-17T09:09:00Z,54.00,48.00
2026-03-17T09:43:00Z,54.00,47.00
2026-03-17T09:47:00Z,54.00,47.00
2026-03-17T10:43:00Z,57.00,47.00
2026-03-17T10:44:00Z,57.00,47.00
2026-03-17T10:50:00Z,57.00,47.00
2026-03-17T10:51:00Z,57.00,47.00
2026-03-17T10:52:00Z,57.00,45.00
2026-03-17T10:54:00Z,58.00,45.00
2026-03-17T10:55:00Z,58.00,45.00
2026-03-17T11:42:00Z,58.00,42.00
2026-03-17T12:10:00Z,59.00,42.00
2026-03-17T12:13:00Z,59.00,42.00
2026-03-17T12:18:00Z,57.00,42.00
2026-03-17T12:47:00Z,57.00,44.00
2026-03-17T12:48:00Z,57.00,45.00
2026-03-17T12:53:00Z,58.00,45.00
2026-03-17T12:57:00Z,58.00,45.00
2026-03-17T13:01:00Z,59.00,45.00
2026-03-17T13:04:00Z,60.00,45.00
2026-03-17T13:23:00Z,59.00,45.00
2026-03-17T13:26:00Z,59.71,42.00
2026-03-17T13:30:00Z,60.69,42.00
2026-03-17T13:31:00Z,61.00,42.00
2026-03-17T13:33:00Z,60.00,42.00
2026-03-17T14:30:00Z,61.00,42.00
2026-03-17T14:46:00Z,61.00,39.00
2026-03-17T14:51:00Z,61.00,43.00
2026-03-17T14:57:00Z,61.00,43.00
2026-03-17T15:00:00Z,60.00,43.00
2026-03-17T15:07:00Z,60.93,43.00
2026-03-17T15:10:00Z,61.00,43.00
2026-03-17T15:27:00Z,61.00,43.00
2026-03-17T15:35:00Z,61.00,43.00
2026-03-17T15:36:00Z,57.02,43.00
2026-03-17T15:41:00Z,57.02,43.67
2026-03-17T15:44:00Z,62.00,43.67
2026-03-17T15:46:00Z,63.50,43.67
2026-03-17T15:48:00Z,62.50,39.00
2026-03-17T15:49:00Z,62.50,39.00
2026-03-17T15:50:00Z,61.89,39.31
2026-03-17T15:52:00Z,62.00,39.31
2026-03-17T15:53:00Z,57.24,43.00
2026-03-17T15:54:00Z,56.39,59.21
2026-03-17T15:55:00Z,42.00,60.99
2026-03-17T15:56:00Z,46.83,60.87
2026-03-17T15:57:00Z,51.59,61.00
