# event_ticker=KXATPCHALLENGERMATCH-26APR19RIEYUN
# final_score=3-6 6-3 6-2
# match_winner=Leandro Riedi
# fav_player=Leandro Riedi
# dog_player=Yunchaokete Bu
# kalshi_date=2026-04-19
timestamp,Leandro Riedi,Yunchaokete Bu
2026-04-18T19:19:00Z,58.00,63.00
2026-04-18T19:22:00Z,58.00,54.00
2026-04-18T20:12:00Z,58.00,54.00
2026-04-18T20:23:00Z,58.00,54.00
2026-04-18T20:39:00Z,48.00,54.00
2026-04-18T20:40:00Z,46.00,54.00
2026-04-18T20:45:00Z,46.00,54.00
2026-04-18T20:54:00Z,46.00,54.00
2026-04-18T21:14:00Z,46.00,54.00
2026-04-18T22:18:00Z,46.00,54.00
2026-04-18T22:23:00Z,46.00,54.00
2026-04-18T22:28:00Z,46.00,54.00
2026-04-18T22:34:00Z,46.00,54.00
2026-04-18T22:50:00Z,46.00,54.00
2026-04-18T23:21:00Z,46.00,54.00
2026-04-18T23:30:00Z,46.00,54.00
2026-04-18T23:31:00Z,46.00,54.00
2026-04-18T23:37:00Z,46.00,54.00
2026-04-18T23:46:00Z,46.00,54.00
2026-04-18T23:54:00Z,48.00,54.00
2026-04-18T23:58:00Z,48.00,54.00
2026-04-18T23:59:00Z,48.00,54.00
2026-04-19T00:01:00Z,48.00,54.12
2026-04-19T00:06:00Z,48.00,55.00
2026-04-19T00:12:00Z,45.00,55.00
2026-04-19T00:27:00Z,45.00,55.00
2026-04-19T00:36:00Z,45.00,55.00
2026-04-19T00:38:00Z,45.00,55.00
2026-04-19T00:44:00Z,45.00,55.00
2026-04-19T00:47:00Z,45.00,55.00
2026-04-19T00:53:00Z,45.00,55.00
2026-04-19T00:55:00Z,45.00,55.00
2026-04-19T01:09:00Z,45.00,55.00
2026-04-19T01:22:00Z,45.00,55.00
2026-04-19T01:31:00Z,45.00,55.00
2026-04-19T01:33:00Z,45.00,55.00
2026-04-19T01:34:00Z,45.00,55.00
2026-04-19T01:35:00Z,45.00,55.00
2026-04-19T01:37:00Z,46.00,55.00
2026-04-19T01:39:00Z,46.00,55.00
2026-04-19T01:41:00Z,46.00,55.00
2026-04-19T01:44:00Z,46.00,55.00
2026-04-19T01:57:00Z,46.00,55.00
2026-04-19T02:11:00Z,46.00,55.00
2026-04-19T02:15:00Z,46.00,55.00
2026-04-19T02:26:00Z,46.00,55.00
2026-04-19T02:47:00Z,46.00,56.00
2026-04-19T02:51:00Z,46.00,56.00
2026-04-19T02:52:00Z,46.00,56.00
2026-04-19T02:58:00Z,46.00,56.00
