# event_ticker=KXATPCHALLENGERMATCH-26MAR12HURBEL
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Mattia Bellucci
# fav_player=Hubert Hurkacz
# dog_player=Mattia Bellucci
# kalshi_date=2026-03-12
timestamp,Hubert Hurkacz,Mattia Bellucci
2026-03-12T11:16:00Z,64.00,
2026-03-12T12:00:00Z,64.00,
2026-03-12T12:09:00Z,64.00,
2026-03-12T13:02:00Z,64.00,
2026-03-12T13:10:00Z,64.00,
2026-03-12T13:11:00Z,64.00,
2026-03-12T13:27:00Z,64.00,
2026-03-12T13:47:00Z,64.00,40.00
2026-03-12T14:05:00Z,63.00,40.00
2026-03-12T14:06:00Z,64.00,40.00
2026-03-12T15:38:00Z,65.00,40.00
2026-03-12T15:49:00Z,64.00,40.00
2026-03-12T16:23:00Z,62.00,40.00
2026-03-12T16:34:00Z,62.00,40.00
2026-03-12T16:42:00Z,62.00,40.00
2026-03-12T16:51:00Z,62.00,36.00
2026-03-12T16:56:00Z,62.00,36.00
2026-03-12T17:26:00Z,62.00,36.00
2026-03-12T18:04:00Z,62.00,36.00
2026-03-12T18:23:00Z,62.00,36.00
2026-03-12T18:32:00Z,62.00,36.00
2026-03-12T18:41:00Z,62.00,39.00
2026-03-12T18:52:00Z,62.00,38.00
2026-03-12T18:53:00Z,62.00,38.00
2026-03-12T19:36:00Z,62.19,38.00
2026-03-12T19:41:00Z,63.06,38.00
2026-03-12T19:54:00Z,64.00,38.00
2026-03-12T20:00:00Z,64.00,38.00
2026-03-12T20:02:00Z,64.00,38.00
2026-03-12T20:08:00Z,64.00,38.00
2026-03-12T20:10:00Z,64.00,38.00
2026-03-12T20:12:00Z,64.00,38.00
2026-03-12T20:13:00Z,63.00,38.00
2026-03-12T20:14:00Z,63.00,38.00
2026-03-12T20:17:00Z,63.00,38.00
2026-03-12T20:23:00Z,64.00,38.00
2026-03-12T20:26:00Z,64.00,38.00
2026-03-12T20:28:00Z,64.00,38.00
2026-03-12T20:30:00Z,64.00,38.00
2026-03-12T20:31:00Z,64.00,38.00
2026-03-12T20:33:00Z,64.03,37.00
