# event_ticker=KXATPCHALLENGERMATCH-26MAR04REIPRA
# final_score=3-6 6-3 6-4
# score_resolution=6-3 3-6 4-6
# match_winner=Juan Carlos Prado Angelo
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Juan Carlos Prado Angelo
# kalshi_date=2026-03-04
timestamp,Joao Lucas Reis Da Silva,Juan Carlos Prado Angelo
2026-03-04T13:49:00Z,,51.00
2026-03-04T13:51:00Z,70.00,51.00
2026-03-04T13:54:00Z,67.56,51.00
2026-03-04T13:58:00Z,61.00,51.00
2026-03-04T14:01:00Z,61.00,51.00
2026-03-04T14:02:00Z,61.00,41.88
2026-03-04T14:05:00Z,60.00,41.88
2026-03-04T14:09:00Z,60.00,42.00
2026-03-04T14:19:00Z,61.00,42.00
2026-03-04T14:20:00Z,61.00,42.00
2026-03-04T14:25:00Z,61.00,42.00
2026-03-04T14:27:00Z,61.00,42.00
2026-03-04T14:31:00Z,61.00,42.00
2026-03-04T14:35:00Z,61.00,42.00
2026-03-04T14:38:00Z,61.00,42.00
2026-03-04T14:41:00Z,61.00,42.00
2026-03-04T14:42:00Z,61.00,42.00
2026-03-04T14:43:00Z,61.00,42.00
2026-03-04T14:44:00Z,61.00,42.00
2026-03-04T14:45:00Z,61.00,42.00
2026-03-04T14:48:00Z,61.00,42.00
2026-03-04T14:53:00Z,61.00,42.00
2026-03-04T15:05:00Z,61.00,42.00
2026-03-04T15:08:00Z,60.00,42.00
2026-03-04T15:12:00Z,60.00,39.00
2026-03-04T15:13:00Z,60.00,39.00
2026-03-04T15:15:00Z,60.69,39.00
2026-03-04T15:16:00Z,60.69,42.00
2026-03-04T15:18:00Z,60.00,42.00
2026-03-04T15:19:00Z,61.00,42.00
2026-03-04T15:21:00Z,60.00,42.00
2026-03-04T15:22:00Z,60.00,41.57
2026-03-04T15:25:00Z,60.00,41.57
2026-03-04T15:26:00Z,60.00,41.57
2026-03-04T15:27:00Z,60.42,41.57
2026-03-04T15:32:00Z,60.00,41.57
2026-03-04T15:33:00Z,60.72,41.00
2026-03-04T15:34:00Z,60.22,41.00
2026-03-04T15:35:00Z,60.60,41.00
2026-03-04T15:36:00Z,60.60,41.00
