# event_ticker=KXATPMATCH-26MAR24ETCPAU
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Tommy Paul
# fav_player=Tomas Martin Etcheverry
# dog_player=Tommy Paul
# kalshi_date=2026-03-24
timestamp,Tomas Martin Etcheverry,Tommy Paul
2026-03-24T08:59:00Z,,70.00
2026-03-24T09:06:00Z,,70.00
2026-03-24T09:11:00Z,31.00,70.00
2026-03-24T09:16:00Z,31.00,70.00
2026-03-24T09:35:00Z,30.88,70.00
2026-03-24T09:38:00Z,30.88,70.92
2026-03-24T09:41:00Z,30.00,70.92
2026-03-24T09:43:00Z,30.00,71.00
2026-03-24T09:47:00Z,30.00,71.00
2026-03-24T09:50:00Z,31.00,71.00
2026-03-24T09:52:00Z,30.00,71.00
2026-03-24T09:53:00Z,30.00,70.00
2026-03-24T09:54:00Z,31.00,70.00
2026-03-24T09:57:00Z,30.00,70.00
2026-03-24T10:01:00Z,30.00,70.00
2026-03-24T10:05:00Z,30.33,70.00
2026-03-24T10:09:00Z,30.00,70.00
2026-03-24T10:11:00Z,31.00,70.00
2026-03-24T10:12:00Z,30.97,70.00
2026-03-24T10:16:00Z,30.00,70.00
2026-03-24T10:20:00Z,30.00,70.00
2026-03-24T10:22:00Z,30.00,70.00
2026-03-24T10:27:00Z,30.00,70.00
2026-03-24T10:38:00Z,30.00,70.00
2026-03-24T10:40:00Z,30.00,71.00
2026-03-24T10:43:00Z,30.00,71.00
2026-03-24T10:44:00Z,30.00,71.00
2026-03-24T10:48:00Z,30.00,71.00
2026-03-24T10:53:00Z,30.00,71.00
2026-03-24T10:56:00Z,31.00,71.00
2026-03-24T10:58:00Z,30.00,71.00
2026-03-24T11:04:00Z,30.00,71.00
2026-03-24T11:09:00Z,30.00,71.00
2026-03-24T11:10:00Z,30.00,70.00
2026-03-24T11:14:00Z,30.00,70.00
2026-03-24T11:20:00Z,30.00,70.00
2026-03-24T11:24:00Z,31.00,70.00
2026-03-24T11:25:00Z,30.00,70.00
2026-03-24T11:26:00Z,31.00,70.00
2026-03-24T11:27:00Z,31.00,70.00
2026-03-24T11:30:00Z,30.00,71.00
2026-03-24T11:33:00Z,30.95,71.00
2026-03-24T11:39:00Z,30.00,71.00
2026-03-24T11:41:00Z,30.00,71.00
2026-03-24T11:42:00Z,30.85,71.00
2026-03-24T11:44:00Z,30.00,71.00
