# event_ticker=KXATPCHALLENGERMATCH-26MAY26ARUBOU
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Justin Boulais
# fav_player=Erik Arutiunian
# dog_player=Justin Boulais
# kalshi_date=2026-05-26
timestamp,Erik Arutiunian,Justin Boulais
2026-05-26T03:51:00Z,58.00,
2026-05-26T04:07:00Z,58.00,50.00
2026-05-26T04:19:00Z,50.00,50.00
2026-05-26T06:52:00Z,51.00,50.00
2026-05-26T07:14:00Z,46.00,50.00
2026-05-26T07:30:00Z,46.00,51.00
2026-05-26T08:23:00Z,46.00,51.00
2026-05-26T08:24:00Z,46.00,51.00
2026-05-26T08:41:00Z,46.00,51.00
2026-05-26T08:55:00Z,46.00,52.00
2026-05-26T09:30:00Z,46.00,52.00
2026-05-26T10:43:00Z,46.00,53.00
2026-05-26T10:51:00Z,46.00,53.00
2026-05-26T10:59:00Z,46.00,53.00
2026-05-26T11:01:00Z,46.00,55.63
2026-05-26T11:02:00Z,44.00,57.54
2026-05-26T12:04:00Z,44.00,59.00
2026-05-26T12:37:00Z,44.00,60.00
2026-05-26T13:10:00Z,39.00,60.00
2026-05-26T13:32:00Z,39.00,60.00
2026-05-26T13:49:00Z,40.00,60.00
2026-05-26T13:58:00Z,40.00,62.48
2026-05-26T14:40:00Z,38.00,62.48
2026-05-26T14:48:00Z,38.00,64.30
2026-05-26T14:49:00Z,38.00,64.00
2026-05-26T14:57:00Z,38.00,65.74
2026-05-26T14:58:00Z,36.00,65.74
2026-05-26T15:04:00Z,38.00,65.74
2026-05-26T15:06:00Z,38.00,66.00
2026-05-26T15:08:00Z,38.00,65.00
2026-05-26T15:11:00Z,34.37,67.65
2026-05-26T15:12:00Z,34.37,68.39
2026-05-26T15:13:00Z,34.37,68.00
2026-05-26T15:14:00Z,31.50,68.00
2026-05-26T15:15:00Z,33.00,68.00
2026-05-26T15:16:00Z,30.84,70.35
2026-05-26T15:17:00Z,32.93,70.35
2026-05-26T15:18:00Z,35.71,70.35
2026-05-26T15:19:00Z,37.36,64.00
2026-05-26T15:20:00Z,39.80,62.04
2026-05-26T15:21:00Z,42.00,60.35
2026-05-26T15:22:00Z,37.99,64.00
2026-05-26T15:23:00Z,38.00,60.00
2026-05-26T15:24:00Z,38.00,62.50
2026-05-26T15:25:00Z,38.00,64.00
2026-05-26T15:26:00Z,38.00,65.62
2026-05-26T15:27:00Z,38.00,69.28
2026-05-26T15:28:00Z,32.76,73.78
2026-05-26T15:29:00Z,32.66,64.88
2026-05-26T15:30:00Z,36.85,61.43
2026-05-26T15:31:00Z,36.85,58.38
2026-05-26T15:32:00Z,36.85,60.67
2026-05-26T15:33:00Z,34.00,60.67
2026-05-26T15:34:00Z,34.00,67.00
2026-05-26T15:35:00Z,33.00,68.96
2026-05-26T15:36:00Z,33.91,67.96
2026-05-26T15:37:00Z,32.00,71.33
2026-05-26T15:38:00Z,20.59,76.41
2026-05-26T15:39:00Z,20.59,81.86
2026-05-26T15:40:00Z,20.59,84.00
2026-05-26T15:41:00Z,20.59,84.00
2026-05-26T15:42:00Z,17.00,84.13
2026-05-26T15:43:00Z,16.00,84.00
2026-05-26T15:44:00Z,16.28,84.00
2026-05-26T15:45:00Z,19.00,80.01
2026-05-26T15:46:00Z,19.00,80.00
2026-05-26T15:47:00Z,19.98,81.99
2026-05-26T15:48:00Z,19.00,80.95
2026-05-26T15:49:00Z,20.94,79.96
2026-05-26T15:50:00Z,27.03,73.60
2026-05-26T15:51:00Z,19.22,78.17
2026-05-26T15:52:00Z,19.22,83.01
2026-05-26T15:53:00Z,18.00,84.00
2026-05-26T15:54:00Z,18.00,83.00
2026-05-26T15:55:00Z,18.00,83.00
2026-05-26T15:57:00Z,11.00,83.00
2026-05-26T15:58:00Z,11.09,88.70
2026-05-26T15:59:00Z,15.19,84.00
2026-05-26T16:00:00Z,9.27,89.20
2026-05-26T16:01:00Z,10.00,93.00
2026-05-26T16:02:00Z,7.08,94.49
2026-05-26T16:03:00Z,7.08,93.00
2026-05-26T16:04:00Z,6.99,94.00
2026-05-26T16:05:00Z,6.00,95.60
2026-05-26T16:06:00Z,4.33,96.52
2026-05-26T16:07:00Z,8.59,91.71
2026-05-26T16:08:00Z,9.00,91.71
2026-05-26T16:09:00Z,9.00,90.96
2026-05-26T16:10:00Z,9.00,92.01
2026-05-26T16:11:00Z,13.53,89.01
2026-05-26T16:12:00Z,14.58,88.95
2026-05-26T16:13:00Z,8.74,90.67
2026-05-26T16:14:00Z,8.74,93.39
2026-05-26T16:15:00Z,8.74,93.00
2026-05-26T16:16:00Z,7.47,93.83
2026-05-26T16:17:00Z,7.75,93.00
2026-05-26T16:18:00Z,6.51,93.97
2026-05-26T16:19:00Z,5.05,94.03
2026-05-26T16:20:00Z,7.95,94.66
2026-05-26T16:21:00Z,7.99,91.17
2026-05-26T16:22:00Z,9.00,91.00
2026-05-26T16:23:00Z,11.79,88.00
2026-05-26T16:24:00Z,9.13,93.45
2026-05-26T16:25:00Z,6.00,94.48
2026-05-26T16:26:00Z,6.00,94.31
2026-05-26T16:27:00Z,6.99,95.03
2026-05-26T16:28:00Z,4.13,96.68
2026-05-26T16:29:00Z,3.01,94.22
2026-05-26T16:30:00Z,3.01,94.90
2026-05-26T16:31:00Z,4.00,96.05
2026-05-26T16:32:00Z,2.96,98.00
2026-05-26T16:33:00Z,2.00,99.00
2026-05-26T16:34:00Z,1.00,99.00
2026-05-26T16:35:00Z,1.00,99.00
