# event_ticker=KXATPMATCH-26FEB01BASNAR
# final_score=6-3 6-3
# match_winner=Luca Nardi
# fav_player=Luca Nardi
# dog_player=Nikoloz Basilashvili
# kalshi_date=2026-02-01
timestamp,Luca Nardi,Nikoloz Basilashvili
2026-02-03T23:33:00Z,54.00,
2026-02-03T23:38:00Z,54.00,
2026-02-03T23:41:00Z,54.00,
2026-02-04T00:01:00Z,54.00,47.00
2026-02-04T01:07:00Z,54.00,43.00
2026-02-04T01:22:00Z,57.00,43.00
2026-02-04T01:25:00Z,58.00,43.00
2026-02-04T01:36:00Z,58.00,43.00
2026-02-04T01:38:00Z,58.00,43.00
2026-02-04T01:54:00Z,58.00,43.00
2026-02-04T01:55:00Z,58.00,43.00
2026-02-04T02:02:00Z,58.00,43.00
2026-02-04T02:15:00Z,58.00,43.00
2026-02-04T02:17:00Z,58.00,43.00
2026-02-04T02:24:00Z,58.00,43.00
2026-02-04T02:37:00Z,58.00,43.00
2026-02-04T02:47:00Z,58.00,43.00
2026-02-04T02:48:00Z,58.00,43.00
2026-02-04T02:49:00Z,57.00,43.00
2026-02-04T02:52:00Z,58.00,43.00
2026-02-04T03:28:00Z,58.00,43.00
2026-02-04T03:30:00Z,58.00,43.00
2026-02-04T03:31:00Z,58.00,43.00
2026-02-04T03:40:00Z,58.00,43.00
2026-02-04T03:43:00Z,58.00,43.00
2026-02-04T03:52:00Z,58.00,43.00
2026-02-04T03:53:00Z,57.00,43.00
2026-02-04T03:56:00Z,58.00,43.00
2026-02-04T03:58:00Z,58.00,43.00
2026-02-04T04:02:00Z,58.00,43.00
2026-02-04T04:03:00Z,58.00,43.00
2026-02-04T04:09:00Z,58.00,43.00
2026-02-04T04:12:00Z,58.00,43.00
2026-02-04T04:17:00Z,58.00,43.00
2026-02-04T04:20:00Z,57.00,43.00
2026-02-04T04:21:00Z,57.00,43.00
2026-02-04T04:23:00Z,57.00,43.00
2026-02-04T04:24:00Z,57.00,43.00
2026-02-04T04:27:00Z,57.99,43.00
2026-02-04T04:29:00Z,58.00,43.00
2026-02-04T04:30:00Z,58.00,43.00
2026-02-04T04:34:00Z,58.00,43.00
2026-02-04T04:38:00Z,58.00,42.00
2026-02-04T04:42:00Z,58.00,43.00
2026-02-04T04:45:00Z,58.00,43.00
2026-02-04T04:47:00Z,58.00,43.00
2026-02-04T04:51:00Z,58.00,43.00
2026-02-04T04:56:00Z,58.00,43.00
2026-02-04T04:57:00Z,58.00,43.00
2026-02-04T04:58:00Z,58.00,43.00
2026-02-04T05:02:00Z,58.00,43.00
2026-02-04T05:05:00Z,58.00,43.00
2026-02-04T05:06:00Z,58.00,43.00
2026-02-04T05:09:00Z,58.00,43.00
2026-02-04T05:10:00Z,58.00,43.00
2026-02-04T05:13:00Z,58.00,43.00
2026-02-04T05:15:00Z,58.00,43.00
2026-02-04T05:17:00Z,58.00,43.00
2026-02-04T05:24:00Z,58.00,43.00
2026-02-04T05:29:00Z,58.00,43.00
2026-02-04T05:30:00Z,58.00,43.00
2026-02-04T05:32:00Z,58.00,43.00
2026-02-04T05:33:00Z,58.00,43.00
2026-02-04T05:35:00Z,58.00,43.00
2026-02-04T05:38:00Z,58.00,43.00
