# event_ticker=KXATPMATCH-25JUL20SCHFUC
# final_score=6-2 2-6 6-3
# score_resolution=2-6 6-2 3-6
# match_winner=Marton Fucsovics
# fav_player=Joel Schwaerzler
# dog_player=Marton Fucsovics
# kalshi_date=2025-07-20
timestamp,Joel Schwaerzler,Marton Fucsovics
2025-07-21T04:19:00Z,,76.00
2025-07-21T04:21:00Z,25.99,76.00
2025-07-21T04:24:00Z,25.00,76.00
2025-07-21T04:26:00Z,25.00,76.00
2025-07-21T04:44:00Z,25.00,76.00
2025-07-21T04:47:00Z,25.00,76.00
2025-07-21T04:48:00Z,25.00,77.00
2025-07-21T05:48:00Z,25.00,77.00
2025-07-21T06:00:00Z,25.00,77.00
2025-07-21T06:01:00Z,25.00,77.00
2025-07-21T12:06:00Z,25.00,79.00
2025-07-21T13:42:00Z,25.00,75.00
2025-07-21T14:19:00Z,25.00,73.39
2025-07-21T14:20:00Z,25.00,74.00
2025-07-21T14:24:00Z,25.00,74.00
2025-07-21T14:59:00Z,25.00,80.00
2025-07-21T16:02:00Z,25.00,79.00
2025-07-21T16:04:00Z,23.00,79.00
2025-07-21T16:06:00Z,23.00,81.00
2025-07-21T16:09:00Z,23.00,81.00
2025-07-21T16:11:00Z,23.00,79.00
2025-07-21T16:13:00Z,23.00,79.00
2025-07-21T16:14:00Z,20.00,79.00
2025-07-21T16:15:00Z,20.00,81.73
2025-07-21T16:22:00Z,20.00,71.00
2025-07-21T16:23:00Z,25.00,71.00
2025-07-21T16:26:00Z,25.00,79.00
2025-07-21T16:30:00Z,25.00,78.00
2025-07-21T16:32:00Z,25.00,80.00
2025-07-21T16:34:00Z,25.00,86.00
2025-07-21T16:36:00Z,13.00,88.00
2025-07-21T16:41:00Z,10.27,88.00
2025-07-21T16:44:00Z,10.27,93.72
2025-07-21T16:46:00Z,11.22,88.50
2025-07-21T16:49:00Z,7.00,93.01
2025-07-21T16:50:00Z,7.98,93.00
2025-07-21T16:51:00Z,7.98,92.98
2025-07-21T16:52:00Z,9.00,92.98
2025-07-21T16:53:00Z,8.00,93.00
2025-07-21T16:55:00Z,7.00,93.00
2025-07-21T16:57:00Z,7.00,91.00
2025-07-21T16:58:00Z,10.00,91.00
2025-07-21T16:59:00Z,10.00,94.00
2025-07-21T17:00:00Z,10.00,90.00
2025-07-21T17:01:00Z,11.38,89.00
2025-07-21T17:02:00Z,12.00,86.00
2025-07-21T17:03:00Z,14.00,86.00
2025-07-21T17:04:00Z,22.00,93.00
2025-07-21T17:05:00Z,22.00,93.00
2025-07-21T17:06:00Z,23.96,93.00
2025-07-21T17:07:00Z,23.96,74.00
2025-07-21T17:08:00Z,28.00,74.00
2025-07-21T17:11:00Z,38.74,74.00
2025-07-21T17:12:00Z,32.28,74.00
2025-07-21T17:13:00Z,33.00,74.00
2025-07-21T17:14:00Z,33.87,74.00
2025-07-21T17:15:00Z,30.00,72.08
2025-07-21T17:16:00Z,30.00,72.00
2025-07-21T17:17:00Z,33.92,72.00
2025-07-21T17:18:00Z,32.14,69.00
2025-07-21T17:19:00Z,32.14,70.21
2025-07-21T17:20:00Z,42.57,73.00
2025-07-21T17:21:00Z,40.00,61.77
2025-07-21T17:22:00Z,39.27,61.77
2025-07-21T17:23:00Z,40.00,62.98
2025-07-21T17:24:00Z,43.00,57.00
2025-07-21T17:25:00Z,43.56,57.00
2025-07-21T17:26:00Z,42.78,60.97
2025-07-21T17:27:00Z,37.00,61.78
2025-07-21T17:28:00Z,33.92,64.51
2025-07-21T17:29:00Z,26.00,72.63
2025-07-21T17:30:00Z,19.32,78.00
2025-07-21T17:31:00Z,30.29,70.39
2025-07-21T17:32:00Z,30.29,63.00
2025-07-21T17:33:00Z,44.00,57.00
2025-07-21T17:34:00Z,44.00,65.33
2025-07-21T17:35:00Z,42.00,64.00
2025-07-21T17:36:00Z,42.00,67.00
2025-07-21T17:37:00Z,41.00,60.00
2025-07-21T17:38:00Z,42.98,59.05
2025-07-21T17:39:00Z,43.00,59.00
2025-07-21T17:40:00Z,44.24,55.57
2025-07-21T17:41:00Z,56.51,46.09
2025-07-21T17:42:00Z,65.62,46.03
2025-07-21T17:43:00Z,59.17,43.79
2025-07-21T17:44:00Z,54.71,59.59
2025-07-21T17:45:00Z,51.29,59.59
2025-07-21T17:46:00Z,44.96,60.21
2025-07-21T17:47:00Z,41.99,63.00
2025-07-21T17:48:00Z,27.00,67.89
2025-07-21T17:49:00Z,18.80,89.09
2025-07-21T17:50:00Z,11.00,91.00
2025-07-21T17:51:00Z,10.95,90.94
2025-07-21T17:52:00Z,15.03,83.31
2025-07-21T17:53:00Z,21.14,79.84
2025-07-21T17:54:00Z,3.74,93.16
2025-07-21T17:55:00Z,4.11,96.00
2025-07-21T17:56:00Z,2.43,98.15
2025-07-21T17:57:00Z,1.00,99.00
2025-07-21T17:58:00Z,1.00,99.00
2025-07-21T18:01:00Z,1.00,99.00
