# event_ticker=KXATPMATCH-25JUL29NAVATM
# final_score=6-2 7-5
# match_winner=Emilio Nava
# fav_player=Emilio Nava
# dog_player=Terence Atmane
# kalshi_date=2025-07-29
timestamp,Emilio Nava,Terence Atmane
2025-07-29T15:20:00Z,79.24,30.00
2025-07-29T15:21:00Z,79.63,30.00
2025-07-29T15:22:00Z,79.63,30.00
2025-07-29T15:23:00Z,89.10,30.00
2025-07-29T15:27:00Z,89.10,29.00
2025-07-29T15:31:00Z,88.00,29.00
2025-07-29T15:32:00Z,88.00,10.00
2025-07-29T15:33:00Z,88.83,10.00
2025-07-29T15:35:00Z,96.00,13.00
2025-07-29T15:37:00Z,92.00,17.41
2025-07-29T15:38:00Z,81.00,17.41
2025-07-29T15:40:00Z,90.17,17.41
2025-07-29T15:41:00Z,90.17,13.00
2025-07-29T15:42:00Z,90.97,13.00
2025-07-29T15:43:00Z,91.00,13.00
2025-07-29T15:44:00Z,93.00,13.00
2025-07-29T15:45:00Z,85.00,14.00
2025-07-29T15:46:00Z,91.00,14.00
2025-07-29T15:47:00Z,92.08,14.00
2025-07-29T15:48:00Z,93.00,15.67
2025-07-29T15:49:00Z,93.00,17.00
2025-07-29T15:52:00Z,93.33,17.00
2025-07-29T15:54:00Z,93.00,17.00
2025-07-29T15:55:00Z,92.72,17.00
2025-07-29T15:56:00Z,92.00,14.00
2025-07-29T15:57:00Z,89.00,14.00
2025-07-29T15:58:00Z,89.00,14.00
2025-07-29T16:00:00Z,89.00,14.00
2025-07-29T16:01:00Z,88.06,15.91
2025-07-29T16:02:00Z,90.00,19.00
2025-07-29T16:03:00Z,88.80,16.00
2025-07-29T16:04:00Z,87.00,16.00
2025-07-29T16:05:00Z,85.00,25.00
2025-07-29T16:06:00Z,89.67,25.00
2025-07-29T16:07:00Z,94.00,25.00
2025-07-29T16:10:00Z,85.00,15.00
2025-07-29T16:11:00Z,88.00,16.00
2025-07-29T16:14:00Z,88.00,16.00
2025-07-29T16:15:00Z,88.00,15.00
2025-07-29T16:16:00Z,88.00,15.00
2025-07-29T16:17:00Z,85.00,17.33
2025-07-29T16:18:00Z,85.00,19.00
2025-07-29T16:19:00Z,85.00,20.00
2025-07-29T16:20:00Z,85.00,25.00
2025-07-29T16:21:00Z,83.00,21.76
2025-07-29T16:22:00Z,82.64,23.21
2025-07-29T16:23:00Z,81.00,39.08
2025-07-29T16:24:00Z,83.00,39.00
2025-07-29T16:25:00Z,80.00,38.00
2025-07-29T16:26:00Z,80.62,38.00
2025-07-29T16:27:00Z,89.00,38.00
2025-07-29T16:28:00Z,89.00,37.00
2025-07-29T16:29:00Z,89.00,24.00
2025-07-29T16:30:00Z,86.44,27.24
2025-07-29T16:32:00Z,86.00,16.46
2025-07-29T16:34:00Z,90.79,5.44
2025-07-29T16:35:00Z,98.00,9.00
2025-07-29T16:36:00Z,99.00,9.00
2025-07-29T16:37:00Z,99.00,9.00
2025-07-29T16:38:00Z,99.00,9.00
2025-07-29T16:39:00Z,99.00,9.00
2025-07-29T16:42:00Z,99.00,9.00
