# event_ticker=KXATPMATCH-25JUL15KOPDEJ
# final_score=7-6(3) 7-5
# score_resolution=7-6 7-5
# match_winner=Jesper de Jong
# fav_player=Jesper De Jong
# dog_player=Vit Kopriva
# kalshi_date=2025-07-15
timestamp,Jesper De Jong,Vit Kopriva
2025-07-15T22:28:00Z,,52.00
2025-07-15T22:36:00Z,,52.00
2025-07-16T01:17:00Z,,53.00
2025-07-16T01:50:00Z,,53.00
2025-07-16T02:57:00Z,,53.00
2025-07-16T03:08:00Z,51.00,53.00
2025-07-16T03:12:00Z,52.00,53.00
2025-07-16T03:21:00Z,51.00,53.00
2025-07-16T04:03:00Z,51.00,53.00
2025-07-16T04:31:00Z,51.00,53.00
2025-07-16T04:34:00Z,51.00,53.00
2025-07-16T04:37:00Z,51.00,53.00
2025-07-16T04:38:00Z,51.00,54.39
2025-07-16T05:12:00Z,51.00,54.00
2025-07-16T05:34:00Z,51.00,54.00
2025-07-16T05:35:00Z,51.00,54.00
2025-07-16T05:55:00Z,51.00,54.00
2025-07-16T06:05:00Z,51.00,54.00
2025-07-16T06:09:00Z,51.00,50.52
2025-07-16T06:34:00Z,51.00,54.00
2025-07-16T06:35:00Z,51.00,54.00
2025-07-16T06:47:00Z,51.00,54.00
2025-07-16T12:01:00Z,83.00,54.00
