# event_ticker=KXATPCHALLENGERMATCH-26MAY06ALVCAS
# final_score=6-7(5) 6-1 6-2
# score_resolution=6-7 6-1 6-2
# match_winner=Hernan Casanova
# fav_player=Hernan Casanova
# dog_player=Mateus Alves
# kalshi_date=2026-05-06
timestamp,Mateus Alves,Hernan Casanova
2026-05-06T03:17:00Z,32.00,75.00
2026-05-06T03:21:00Z,32.00,71.00
2026-05-06T04:22:00Z,32.00,68.00
2026-05-06T06:29:00Z,33.00,68.00
2026-05-06T12:17:00Z,37.92,65.00
2026-05-06T12:33:00Z,38.00,65.00
2026-05-06T13:29:00Z,38.00,62.00
2026-05-06T13:31:00Z,38.74,62.00
2026-05-06T13:33:00Z,38.74,62.00
2026-05-06T13:41:00Z,39.00,63.00
2026-05-06T13:43:00Z,42.00,61.56
2026-05-06T13:44:00Z,43.00,61.56
2026-05-06T13:46:00Z,43.00,60.00
2026-05-06T13:48:00Z,40.00,60.00
2026-05-06T13:50:00Z,40.00,60.00
2026-05-06T13:51:00Z,40.00,59.02
2026-05-06T13:52:00Z,40.00,57.00
2026-05-06T13:53:00Z,43.98,56.00
2026-05-06T13:54:00Z,46.60,53.00
2026-05-06T13:55:00Z,48.49,50.77
2026-05-06T13:56:00Z,51.00,52.51
2026-05-06T13:57:00Z,45.00,55.28
2026-05-06T13:58:00Z,48.13,55.28
2026-05-06T13:59:00Z,48.00,54.02
2026-05-06T14:00:00Z,42.00,54.02
2026-05-06T14:01:00Z,42.00,57.00
2026-05-06T14:02:00Z,44.00,56.00
2026-05-06T14:03:00Z,44.39,56.00
2026-05-06T14:04:00Z,44.35,55.00
2026-05-06T14:05:00Z,44.35,55.00
2026-05-06T14:06:00Z,47.12,51.09
2026-05-06T14:07:00Z,51.24,48.00
2026-05-06T14:08:00Z,51.24,52.00
2026-05-06T14:09:00Z,51.24,57.16
2026-05-06T14:10:00Z,42.03,57.16
2026-05-06T14:11:00Z,45.00,57.16
2026-05-06T14:13:00Z,48.00,53.00
2026-05-06T14:17:00Z,42.67,59.00
2026-05-06T14:18:00Z,45.09,59.00
2026-05-06T14:19:00Z,50.00,52.97
2026-05-06T14:20:00Z,49.00,52.97
2026-05-06T14:21:00Z,49.00,51.00
2026-05-06T14:22:00Z,47.00,53.46
2026-05-06T14:23:00Z,53.40,47.00
2026-05-06T14:24:00Z,60.12,39.93
2026-05-06T14:25:00Z,59.00,39.36
2026-05-06T14:26:00Z,52.00,48.76
2026-05-06T14:27:00Z,46.50,55.92
2026-05-06T14:28:00Z,41.40,57.07
2026-05-06T14:29:00Z,42.58,58.12
2026-05-06T14:30:00Z,41.45,60.64
2026-05-06T14:31:00Z,46.46,56.89
2026-05-06T14:32:00Z,44.77,55.09
2026-05-06T14:33:00Z,44.33,54.00
2026-05-06T14:34:00Z,42.96,56.72
2026-05-06T14:35:00Z,36.82,62.22
2026-05-06T14:36:00Z,39.98,62.50
2026-05-06T14:37:00Z,39.91,62.50
2026-05-06T14:38:00Z,40.14,62.43
2026-05-06T14:39:00Z,36.56,61.92
2026-05-06T14:40:00Z,40.87,60.97
2026-05-06T14:41:00Z,24.69,69.43
2026-05-06T14:42:00Z,23.06,77.00
2026-05-06T14:43:00Z,24.00,77.00
2026-05-06T14:44:00Z,24.00,74.00
2026-05-06T14:45:00Z,28.44,73.94
2026-05-06T14:46:00Z,27.25,77.00
2026-05-06T14:47:00Z,42.05,58.00
2026-05-06T14:48:00Z,42.66,65.73
2026-05-06T14:49:00Z,37.73,70.00
2026-05-06T14:50:00Z,34.61,68.99
2026-05-06T14:51:00Z,40.83,59.16
2026-05-06T14:52:00Z,39.14,61.85
2026-05-06T14:53:00Z,36.67,65.00
2026-05-06T14:54:00Z,38.99,66.94
2026-05-06T14:55:00Z,36.59,66.77
2026-05-06T14:56:00Z,55.15,45.00
2026-05-06T14:57:00Z,65.84,33.01
2026-05-06T14:58:00Z,66.45,33.12
2026-05-06T14:59:00Z,66.80,34.28
2026-05-06T15:00:00Z,66.18,34.00
2026-05-06T15:01:00Z,66.71,34.46
2026-05-06T15:02:00Z,65.74,35.00
2026-05-06T15:03:00Z,65.14,34.98
2026-05-06T15:04:00Z,65.22,35.00
2026-05-06T15:05:00Z,65.49,35.00
2026-05-06T15:06:00Z,65.13,35.00
2026-05-06T15:07:00Z,67.00,35.00
2026-05-06T15:08:00Z,71.24,29.42
2026-05-06T15:09:00Z,70.33,31.17
2026-05-06T15:10:00Z,64.78,36.37
2026-05-06T15:11:00Z,63.47,37.00
2026-05-06T15:12:00Z,60.00,38.61
