# event_ticker=KXATPCHALLENGERMATCH-26APR11BROCAS
# final_score=6-0 6-1
# match_winner=Liam Broady
# fav_player=Liam Broady
# dog_player=Murphy Cassone
# kalshi_date=2026-04-11
timestamp,Liam Broady,Murphy Cassone
2026-04-13T22:33:00Z,60.00,
2026-04-13T23:15:00Z,60.00,
2026-04-13T23:35:00Z,61.00,
2026-04-13T23:37:00Z,61.00,
2026-04-14T00:36:00Z,62.00,
2026-04-14T00:59:00Z,62.00,
2026-04-14T01:05:00Z,62.00,
2026-04-14T01:17:00Z,62.00,
2026-04-14T01:25:00Z,62.00,
2026-04-14T01:36:00Z,62.00,40.00
2026-04-14T01:39:00Z,62.00,40.00
2026-04-14T01:41:00Z,62.00,40.00
2026-04-14T02:21:00Z,62.00,40.00
2026-04-14T02:46:00Z,62.00,40.00
2026-04-14T03:00:00Z,62.00,40.00
2026-04-14T03:02:00Z,60.00,40.00
2026-04-14T03:05:00Z,62.00,40.00
2026-04-14T03:08:00Z,62.00,40.00
2026-04-14T03:10:00Z,62.00,40.00
2026-04-14T03:23:00Z,62.00,40.00
2026-04-14T03:44:00Z,62.00,41.00
2026-04-14T03:50:00Z,62.00,41.00
2026-04-14T03:57:00Z,62.00,41.00
2026-04-14T04:15:00Z,62.00,41.00
2026-04-14T04:33:00Z,62.00,41.00
2026-04-14T04:37:00Z,62.00,40.80
2026-04-14T04:38:00Z,62.00,40.80
2026-04-14T04:39:00Z,62.00,40.86
2026-04-14T04:40:00Z,62.00,40.86
2026-04-14T04:43:00Z,62.00,40.86
2026-04-14T04:45:00Z,62.00,40.86
2026-04-14T04:46:00Z,62.00,40.86
2026-04-14T04:47:00Z,62.00,40.86
2026-04-14T04:48:00Z,62.00,40.86
2026-04-14T05:12:00Z,62.00,40.86
2026-04-14T05:16:00Z,62.00,40.86
2026-04-14T05:17:00Z,62.00,40.86
2026-04-14T05:25:00Z,62.00,40.86
2026-04-14T05:26:00Z,62.00,40.86
2026-04-14T05:35:00Z,62.00,40.86
2026-04-14T05:38:00Z,62.00,40.00
2026-04-14T05:39:00Z,62.00,40.00
2026-04-14T05:45:00Z,62.00,40.00
2026-04-14T05:46:00Z,62.00,40.00
2026-04-14T05:50:00Z,62.11,37.85
2026-04-14T05:53:00Z,63.00,37.85
2026-04-14T05:55:00Z,63.00,39.00
2026-04-14T06:03:00Z,63.00,39.00
2026-04-14T06:07:00Z,63.00,39.00
2026-04-14T06:08:00Z,63.00,39.00
2026-04-14T06:09:00Z,63.00,39.00
2026-04-14T06:10:00Z,63.00,39.00
2026-04-14T06:11:00Z,63.00,39.00
2026-04-14T06:14:00Z,63.00,39.00
2026-04-14T06:18:00Z,63.00,39.00
2026-04-14T06:22:00Z,63.00,39.00
2026-04-14T06:27:00Z,63.00,39.00
