# event_ticker=KXATPCHALLENGERMATCH-26MAY13GRASUR
# final_score=6-4 3-2 RET
# match_winner=Manish Sureshkumar
# fav_player=Alastair Gray
# dog_player=Manish Sureshkumar
# kalshi_date=2026-05-13
timestamp,Alastair Gray,Manish Sureshkumar
2026-05-13T03:44:00Z,89.00,
2026-05-13T04:16:00Z,89.00,
2026-05-13T04:22:00Z,89.00,
2026-05-13T05:09:00Z,89.00,
2026-05-13T05:28:00Z,89.00,
2026-05-13T05:56:00Z,89.00,12.00
2026-05-13T06:37:00Z,89.00,12.00
2026-05-13T06:38:00Z,89.00,12.00
2026-05-13T06:57:00Z,89.00,12.00
2026-05-13T07:05:00Z,89.00,12.00
2026-05-13T07:47:00Z,89.00,12.00
2026-05-13T07:52:00Z,89.00,13.00
2026-05-13T07:53:00Z,89.00,13.00
2026-05-13T07:55:00Z,89.00,11.00
2026-05-13T07:57:00Z,89.00,13.00
2026-05-13T08:07:00Z,87.00,13.00
2026-05-13T08:08:00Z,87.00,13.00
2026-05-13T08:14:00Z,87.00,14.00
2026-05-13T08:15:00Z,87.00,14.00
2026-05-13T08:16:00Z,87.00,14.00
2026-05-13T08:24:00Z,88.00,14.00
2026-05-13T08:26:00Z,88.00,14.00
2026-05-13T08:30:00Z,88.00,14.00
2026-05-13T08:32:00Z,88.00,14.00
2026-05-13T08:33:00Z,86.00,14.00
2026-05-13T08:42:00Z,88.00,14.00
2026-05-13T08:43:00Z,88.00,14.00
2026-05-13T08:44:00Z,88.00,14.00
2026-05-13T08:45:00Z,89.00,13.70
2026-05-13T08:46:00Z,89.00,14.00
2026-05-13T08:47:00Z,89.00,13.70
2026-05-13T08:48:00Z,89.00,12.00
2026-05-13T08:49:00Z,90.00,11.00
2026-05-13T08:50:00Z,90.00,11.73
2026-05-13T08:51:00Z,90.00,12.80
2026-05-13T08:53:00Z,88.00,12.00
2026-05-13T08:54:00Z,90.46,10.72
2026-05-13T08:55:00Z,90.46,8.00
2026-05-13T08:56:00Z,91.00,8.00
2026-05-13T08:57:00Z,91.25,7.00
2026-05-13T08:58:00Z,93.57,7.00
2026-05-13T08:59:00Z,93.00,7.92
2026-05-13T09:00:00Z,92.00,9.38
2026-05-13T09:01:00Z,90.64,12.00
2026-05-13T09:03:00Z,88.09,12.00
2026-05-13T09:04:00Z,88.00,13.00
2026-05-13T09:05:00Z,88.00,14.00
2026-05-13T09:06:00Z,88.00,14.03
2026-05-13T09:07:00Z,88.00,14.25
2026-05-13T09:08:00Z,88.00,13.00
2026-05-13T09:09:00Z,87.00,14.70
2026-05-13T09:10:00Z,88.79,13.00
2026-05-13T09:11:00Z,89.00,12.23
2026-05-13T09:12:00Z,89.00,10.00
2026-05-13T09:13:00Z,89.00,7.65
2026-05-13T09:14:00Z,93.00,6.00
2026-05-13T09:15:00Z,93.00,7.99
2026-05-13T09:16:00Z,91.00,8.76
2026-05-13T09:17:00Z,89.35,10.98
2026-05-13T09:18:00Z,92.00,10.98
2026-05-13T09:19:00Z,92.00,11.66
2026-05-13T09:20:00Z,88.00,13.00
2026-05-13T09:21:00Z,88.13,13.00
2026-05-13T09:22:00Z,88.13,13.50
2026-05-13T09:23:00Z,86.02,15.00
2026-05-13T09:24:00Z,89.00,10.01
2026-05-13T09:25:00Z,86.00,13.45
2026-05-13T09:26:00Z,84.00,18.62
2026-05-13T09:27:00Z,83.00,18.62
2026-05-13T09:28:00Z,81.90,20.37
2026-05-13T09:29:00Z,69.36,30.92
2026-05-13T09:30:00Z,65.83,33.83
2026-05-13T09:31:00Z,64.80,34.26
2026-05-13T09:32:00Z,46.50,42.14
2026-05-13T09:33:00Z,42.03,55.35
2026-05-13T09:34:00Z,40.53,60.99
2026-05-13T09:35:00Z,40.81,57.79
2026-05-13T09:36:00Z,41.33,57.14
2026-05-13T09:37:00Z,28.87,70.82
2026-05-13T09:38:00Z,26.34,73.94
2026-05-13T09:39:00Z,31.81,69.32
2026-05-13T09:40:00Z,30.21,68.84
2026-05-13T09:41:00Z,30.25,69.46
2026-05-13T09:42:00Z,33.00,68.00
2026-05-13T09:43:00Z,30.03,71.21
2026-05-13T09:44:00Z,32.51,71.21
2026-05-13T09:45:00Z,34.11,67.77
2026-05-13T09:46:00Z,36.69,65.71
2026-05-13T09:47:00Z,37.64,63.59
2026-05-13T09:48:00Z,38.17,62.05
2026-05-13T09:49:00Z,31.09,71.58
2026-05-13T09:50:00Z,25.81,73.79
2026-05-13T09:51:00Z,21.64,78.50
2026-05-13T09:52:00Z,23.92,76.09
2026-05-13T09:53:00Z,33.67,68.37
2026-05-13T09:54:00Z,26.71,75.71
2026-05-13T09:55:00Z,29.49,70.36
2026-05-13T09:56:00Z,32.49,68.20
2026-05-13T09:57:00Z,36.52,65.70
2026-05-13T09:58:00Z,36.20,65.29
2026-05-13T09:59:00Z,30.11,70.05
2026-05-13T10:00:00Z,25.17,73.71
2026-05-13T10:01:00Z,25.81,74.26
2026-05-13T10:02:00Z,26.05,75.65
2026-05-13T10:03:00Z,23.56,79.72
2026-05-13T10:04:00Z,20.72,82.65
2026-05-13T10:05:00Z,13.13,87.00
2026-05-13T10:06:00Z,3.91,96.49
2026-05-13T10:07:00Z,1.33,98.97
2026-05-13T10:08:00Z,1.00,98.60
2026-05-13T10:09:00Z,1.00,99.00
2026-05-13T10:10:00Z,1.00,99.00
2026-05-13T10:11:00Z,1.00,99.00
2026-05-13T10:12:00Z,1.00,99.00
