# event_ticker=KXATPCHALLENGERMATCH-26FEB17MISLAN
# final_score=6-1 1-1 RET
# match_winner=Martin Landaluce
# fav_player=Filip Misolic
# dog_player=Martin Landaluce
# kalshi_date=2026-02-17
timestamp,Filip Misolic,Martin Landaluce
2026-02-17T03:32:00Z,,67.00
2026-02-17T04:21:00Z,,67.00
2026-02-17T04:23:00Z,,67.00
2026-02-17T04:39:00Z,36.00,67.00
2026-02-17T04:41:00Z,36.00,67.00
2026-02-17T04:45:00Z,36.00,67.00
2026-02-17T04:48:00Z,36.00,67.00
2026-02-17T05:35:00Z,36.00,67.00
2026-02-17T05:54:00Z,36.00,67.00
2026-02-17T06:07:00Z,33.00,67.00
2026-02-17T06:11:00Z,33.00,64.00
2026-02-17T06:37:00Z,33.00,64.00
2026-02-17T06:38:00Z,36.00,64.00
2026-02-17T06:40:00Z,36.00,64.00
2026-02-17T06:41:00Z,36.00,64.00
2026-02-17T06:42:00Z,37.00,64.00
2026-02-17T06:43:00Z,34.00,66.00
2026-02-17T06:44:00Z,34.00,66.00
2026-02-17T06:45:00Z,37.00,63.00
2026-02-17T06:47:00Z,37.00,63.00
2026-02-17T06:48:00Z,37.00,63.00
2026-02-17T06:52:00Z,34.00,66.00
2026-02-17T09:19:00Z,34.00,66.00
2026-02-17T10:16:00Z,34.00,66.00
2026-02-17T10:31:00Z,34.00,66.00
2026-02-17T11:42:00Z,37.00,66.00
2026-02-17T11:56:00Z,37.00,66.00
2026-02-17T12:08:00Z,37.00,66.00
2026-02-17T12:18:00Z,37.00,66.00
2026-02-17T12:23:00Z,37.00,65.00
2026-02-17T12:45:00Z,37.00,65.00
2026-02-17T12:49:00Z,37.00,65.00
2026-02-17T12:50:00Z,37.00,65.00
2026-02-17T12:55:00Z,37.00,65.00
2026-02-17T12:56:00Z,37.00,65.00
2026-02-17T13:19:00Z,37.00,65.00
2026-02-17T13:25:00Z,37.00,65.00
2026-02-17T13:31:00Z,37.00,65.00
