# event_ticker=KXATPMATCH-26FEB23CARSHA
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Pablo Carreno Busta
# fav_player=Denis Shapovalov
# dog_player=Pablo Carreno Busta
# kalshi_date=2026-02-23
timestamp,Denis Shapovalov,Pablo Carreno Busta
2026-02-23T22:20:00Z,66.00,
2026-02-23T22:28:00Z,66.00,35.00
2026-02-23T22:36:00Z,66.00,35.00
2026-02-23T22:47:00Z,66.00,35.00
2026-02-23T23:02:00Z,66.00,35.00
2026-02-23T23:57:00Z,66.00,35.00
2026-02-24T00:09:00Z,66.00,35.00
2026-02-24T00:15:00Z,66.00,35.00
2026-02-24T00:22:00Z,66.00,35.00
2026-02-24T00:42:00Z,66.00,35.00
2026-02-24T00:47:00Z,66.00,35.00
2026-02-24T01:00:00Z,66.00,35.00
2026-02-24T01:16:00Z,66.00,35.00
2026-02-24T01:33:00Z,66.00,35.00
2026-02-24T01:50:00Z,66.00,35.00
2026-02-24T01:51:00Z,66.00,35.00
2026-02-24T02:18:00Z,66.00,35.00
2026-02-24T02:35:00Z,66.00,35.00
2026-02-24T03:05:00Z,66.00,35.00
2026-02-24T03:37:00Z,66.00,35.00
2026-02-24T03:46:00Z,66.00,35.00
2026-02-24T03:53:00Z,66.00,35.00
2026-02-24T03:55:00Z,66.00,35.00
2026-02-24T03:57:00Z,66.00,35.00
2026-02-24T04:05:00Z,66.00,35.00
2026-02-24T04:08:00Z,66.00,35.00
2026-02-24T04:10:00Z,66.00,35.00
2026-02-24T04:29:00Z,66.00,35.00
2026-02-24T04:38:00Z,66.00,35.00
2026-02-24T04:44:00Z,66.00,35.00
2026-02-24T04:46:00Z,66.00,35.00
2026-02-24T04:49:00Z,66.00,35.00
2026-02-24T04:50:00Z,66.00,35.00
2026-02-24T04:51:00Z,66.00,35.00
2026-02-24T04:55:00Z,66.00,35.00
2026-02-24T04:56:00Z,66.00,35.60
2026-02-24T04:57:00Z,66.00,35.60
2026-02-24T04:58:00Z,66.00,35.60
2026-02-24T05:00:00Z,66.00,35.60
2026-02-24T05:01:00Z,66.00,36.00
2026-02-24T05:05:00Z,66.00,34.00
2026-02-24T05:06:00Z,66.00,34.00
2026-02-24T05:07:00Z,66.00,34.00
2026-02-24T05:08:00Z,66.00,34.00
2026-02-24T05:09:00Z,66.00,34.00
2026-02-24T05:10:00Z,67.00,34.00
2026-02-24T05:13:00Z,67.00,34.00
2026-02-24T05:14:00Z,67.00,34.00
2026-02-24T05:18:00Z,68.00,34.00
2026-02-24T05:19:00Z,68.00,34.00
2026-02-24T05:20:00Z,68.29,34.00
2026-02-24T05:24:00Z,68.00,34.00
2026-02-24T05:28:00Z,68.00,33.00
2026-02-24T05:29:00Z,68.00,33.00
2026-02-24T05:32:00Z,69.84,31.00
