# event_ticker=KXATPMATCH-25SEP18BASHAR
# final_score=7-6(5) 6-3
# score_resolution=7-6 6-3
# match_winner=Nikoloz Basilashvili
# fav_player=Nikoloz Basilashvili
# dog_player=Billy Harris
# kalshi_date=2025-09-18
timestamp,Nikoloz Basilashvili,Billy Harris
2025-09-18T09:15:00Z,55.00,
2025-09-18T09:17:00Z,49.00,50.00
2025-09-18T09:19:00Z,49.00,66.00
2025-09-18T09:20:00Z,36.00,66.00
2025-09-18T09:21:00Z,36.00,67.00
2025-09-18T09:23:00Z,31.00,67.00
2025-09-18T09:25:00Z,31.00,66.00
2025-09-18T09:30:00Z,31.00,68.00
2025-09-18T09:31:00Z,31.00,68.00
2025-09-18T09:32:00Z,31.00,68.00
2025-09-18T09:33:00Z,37.25,68.00
2025-09-18T09:35:00Z,43.00,68.00
2025-09-18T09:37:00Z,43.00,57.61
2025-09-18T09:39:00Z,49.00,55.00
2025-09-18T09:40:00Z,49.00,69.00
2025-09-18T09:41:00Z,49.00,65.00
2025-09-18T09:42:00Z,39.00,65.00
2025-09-18T09:46:00Z,55.28,55.00
2025-09-18T09:49:00Z,55.28,47.00
2025-09-18T09:50:00Z,55.28,49.00
2025-09-18T09:51:00Z,55.28,77.00
2025-09-18T09:53:00Z,53.00,77.00
2025-09-18T09:55:00Z,52.00,77.00
2025-09-18T09:56:00Z,59.00,46.00
2025-09-18T09:57:00Z,55.00,46.00
2025-09-18T10:00:00Z,58.00,46.00
2025-09-18T10:03:00Z,51.20,52.00
2025-09-18T10:05:00Z,81.00,52.00
2025-09-18T10:07:00Z,81.00,22.55
2025-09-18T10:08:00Z,81.00,22.00
2025-09-18T10:14:00Z,81.00,22.00
2025-09-18T10:16:00Z,81.00,22.00
2025-09-18T10:18:00Z,81.00,24.00
2025-09-18T10:20:00Z,81.00,15.81
2025-09-18T10:22:00Z,89.43,9.57
2025-09-18T10:23:00Z,89.43,10.00
2025-09-18T10:24:00Z,86.91,16.00
2025-09-18T10:25:00Z,86.91,18.00
2025-09-18T10:26:00Z,88.00,15.00
2025-09-18T10:27:00Z,88.00,25.22
2025-09-18T10:29:00Z,80.00,20.96
2025-09-18T10:30:00Z,80.00,23.00
2025-09-18T10:31:00Z,86.00,23.17
2025-09-18T10:32:00Z,86.00,9.24
2025-09-18T10:33:00Z,86.00,9.12
2025-09-18T10:34:00Z,95.00,8.08
2025-09-18T10:35:00Z,95.90,7.00
2025-09-18T10:36:00Z,95.90,5.00
2025-09-18T10:37:00Z,98.13,5.00
2025-09-18T10:38:00Z,98.13,6.00
2025-09-18T10:39:00Z,98.13,6.40
2025-09-18T10:40:00Z,94.91,1.15
2025-09-18T10:41:00Z,95.85,6.65
2025-09-18T10:42:00Z,92.00,6.65
2025-09-18T10:43:00Z,95.00,5.57
