# event_ticker=KXATPMATCH-26FEB09DIMMIC
# final_score=5-7 6-4 6-4
# match_winner=Alex Michelsen
# fav_player=Alex Michelsen
# dog_player=Grigor Dimitrov
# kalshi_date=2026-02-09
timestamp,Alex Michelsen,Grigor Dimitrov
2026-02-10T08:29:00Z,52.00,
2026-02-10T09:00:00Z,52.00,
2026-02-10T09:49:00Z,52.00,49.00
2026-02-10T10:22:00Z,52.00,49.00
2026-02-10T10:34:00Z,52.00,49.00
2026-02-10T10:41:00Z,52.00,49.00
2026-02-10T11:05:00Z,52.00,49.00
2026-02-10T11:27:00Z,52.00,49.00
2026-02-10T11:31:00Z,52.00,49.00
2026-02-10T11:49:00Z,51.00,49.00
2026-02-10T12:09:00Z,51.99,49.00
2026-02-10T12:21:00Z,51.99,50.00
2026-02-10T12:34:00Z,51.99,50.00
2026-02-10T12:43:00Z,51.00,50.00
2026-02-10T13:05:00Z,51.00,50.00
2026-02-10T13:14:00Z,51.00,50.00
2026-02-10T13:22:00Z,51.00,50.00
2026-02-10T13:23:00Z,51.00,50.00
2026-02-10T13:31:00Z,51.00,50.00
2026-02-10T14:03:00Z,51.00,50.00
2026-02-10T14:24:00Z,51.00,50.00
2026-02-10T14:26:00Z,51.00,50.00
2026-02-10T14:27:00Z,51.00,50.00
2026-02-10T14:42:00Z,51.00,50.00
2026-02-10T14:43:00Z,51.00,50.00
2026-02-10T14:44:00Z,51.00,50.00
2026-02-10T14:46:00Z,51.00,50.00
2026-02-10T14:54:00Z,51.00,50.56
2026-02-10T14:56:00Z,51.00,50.56
2026-02-10T15:05:00Z,51.00,50.00
2026-02-10T15:10:00Z,51.00,50.00
2026-02-10T15:23:00Z,51.00,50.68
2026-02-10T15:27:00Z,51.00,51.00
2026-02-10T15:36:00Z,51.00,51.00
2026-02-10T15:40:00Z,51.00,51.00
2026-02-10T15:41:00Z,51.00,51.00
2026-02-10T15:45:00Z,51.00,51.00
2026-02-10T15:47:00Z,51.00,51.00
2026-02-10T15:52:00Z,51.00,51.00
2026-02-10T16:07:00Z,51.00,51.00
2026-02-10T16:08:00Z,51.00,51.00
2026-02-10T16:09:00Z,51.00,51.00
2026-02-10T16:11:00Z,51.00,51.00
2026-02-10T16:12:00Z,51.00,51.00
2026-02-10T16:23:00Z,51.00,50.00
2026-02-10T16:27:00Z,51.00,50.00
2026-02-10T16:31:00Z,51.00,50.00
2026-02-10T16:35:00Z,51.00,50.00
2026-02-10T16:40:00Z,51.00,50.00
2026-02-10T16:41:00Z,51.00,50.00
2026-02-10T16:42:00Z,51.00,50.00
2026-02-10T16:51:00Z,51.00,50.68
2026-02-10T16:52:00Z,51.00,51.00
2026-02-10T16:53:00Z,51.00,51.00
2026-02-10T16:55:00Z,50.00,51.00
2026-02-10T17:00:00Z,50.26,51.00
2026-02-10T17:01:00Z,51.00,51.00
2026-02-10T17:05:00Z,51.00,51.00
2026-02-10T17:11:00Z,51.00,51.00
2026-02-10T17:12:00Z,51.00,51.00
2026-02-10T17:15:00Z,51.00,51.00
2026-02-10T17:17:00Z,51.00,51.00
2026-02-10T17:21:00Z,51.00,51.00
2026-02-10T17:25:00Z,51.00,51.00
2026-02-10T17:26:00Z,51.00,51.00
2026-02-10T17:27:00Z,52.00,51.00
2026-02-10T17:28:00Z,52.00,50.00
2026-02-10T17:29:00Z,52.00,50.00
2026-02-10T17:31:00Z,52.00,50.00
2026-02-10T17:33:00Z,51.00,50.00
2026-02-10T17:40:00Z,51.00,50.00
2026-02-10T17:45:00Z,51.00,50.00
2026-02-10T17:50:00Z,51.00,50.97
2026-02-10T17:58:00Z,51.00,50.77
2026-02-10T17:59:00Z,51.00,50.77
2026-02-10T18:03:00Z,51.00,50.00
2026-02-10T18:06:00Z,51.00,50.00
2026-02-10T18:14:00Z,51.00,50.00
2026-02-10T18:16:00Z,51.00,50.00
2026-02-10T18:17:00Z,51.00,50.00
2026-02-10T18:19:00Z,51.00,50.00
2026-02-10T18:20:00Z,51.00,50.00
2026-02-10T18:21:00Z,51.00,50.00
2026-02-10T18:22:00Z,51.00,50.00
2026-02-10T18:24:00Z,51.00,50.00
2026-02-10T18:25:00Z,51.00,50.00
2026-02-10T18:26:00Z,51.00,50.00
2026-02-10T18:27:00Z,51.00,50.00
2026-02-10T18:30:00Z,51.00,50.00
2026-02-10T18:31:00Z,51.00,50.00
2026-02-10T18:34:00Z,51.00,50.00
2026-02-10T18:39:00Z,51.00,50.00
2026-02-10T18:42:00Z,50.00,50.00
2026-02-10T18:43:00Z,51.00,50.00
2026-02-10T18:45:00Z,51.00,50.00
2026-02-10T18:46:00Z,51.00,50.00
2026-02-10T18:47:00Z,51.00,50.00
2026-02-10T18:49:00Z,51.00,50.00
2026-02-10T18:51:00Z,51.00,50.00
2026-02-10T18:55:00Z,50.00,50.00
2026-02-10T18:58:00Z,50.00,50.00
2026-02-10T18:59:00Z,51.00,50.00
2026-02-10T19:00:00Z,51.00,50.00
2026-02-10T19:01:00Z,51.00,50.00
2026-02-10T19:02:00Z,51.00,50.00
2026-02-10T19:07:00Z,51.00,50.00
2026-02-10T19:09:00Z,51.00,50.34
2026-02-10T19:11:00Z,51.00,51.00
2026-02-10T19:12:00Z,52.00,51.00
2026-02-10T19:17:00Z,52.00,51.00
2026-02-10T19:18:00Z,51.00,51.00
2026-02-10T19:19:00Z,51.00,51.00
2026-02-10T19:20:00Z,51.00,51.00
2026-02-10T19:21:00Z,51.98,51.00
2026-02-10T19:22:00Z,51.94,51.00
2026-02-10T19:26:00Z,51.94,51.00
2026-02-10T19:28:00Z,51.94,48.91
2026-02-10T19:29:00Z,51.00,51.00
2026-02-10T19:30:00Z,51.00,51.00
2026-02-10T19:31:00Z,51.00,51.00
2026-02-10T19:32:00Z,51.00,51.00
2026-02-10T19:33:00Z,51.00,51.00
2026-02-10T19:34:00Z,51.00,51.00
2026-02-10T19:35:00Z,51.00,51.00
2026-02-10T19:36:00Z,51.00,51.00
2026-02-10T19:37:00Z,51.00,51.00
2026-02-10T19:38:00Z,51.00,51.00
2026-02-10T19:39:00Z,51.04,51.00
2026-02-10T19:43:00Z,51.99,51.00
