# event_ticker=KXATPCHALLENGERMATCH-26MAR24MEDBAR
# final_score=6-3 4-6 7-6(2)
# score_resolution=6-3 4-6 7-6
# match_winner=Hamad Medjedovic
# fav_player=Hamad Medjedovic
# dog_player=Hynek Barton
# kalshi_date=2026-03-24
timestamp,Hamad Medjedovic,Hynek Barton
2026-03-24T06:06:00Z,,34.00
2026-03-24T07:59:00Z,66.00,34.00
2026-03-24T08:23:00Z,66.00,34.00
2026-03-24T08:44:00Z,66.00,34.00
2026-03-24T09:08:00Z,66.00,34.00
2026-03-24T09:09:00Z,66.00,34.00
2026-03-24T09:54:00Z,66.00,34.00
2026-03-24T11:39:00Z,66.00,34.00
2026-03-24T11:40:00Z,67.00,33.00
2026-03-24T11:44:00Z,68.00,33.00
2026-03-24T11:52:00Z,68.00,33.00
2026-03-24T11:59:00Z,67.00,33.00
2026-03-24T12:09:00Z,67.00,34.00
2026-03-24T12:16:00Z,67.00,34.00
2026-03-24T12:26:00Z,67.74,34.00
2026-03-24T13:17:00Z,68.00,34.00
2026-03-24T13:47:00Z,68.00,34.00
2026-03-24T13:58:00Z,68.00,34.00
2026-03-24T14:00:00Z,68.00,34.00
2026-03-24T14:50:00Z,68.00,33.00
2026-03-24T14:59:00Z,68.00,34.00
2026-03-24T15:11:00Z,67.00,34.00
2026-03-24T15:23:00Z,67.00,34.00
2026-03-24T15:30:00Z,67.00,34.00
2026-03-24T15:52:00Z,67.00,34.00
2026-03-24T16:09:00Z,67.00,34.00
2026-03-24T16:40:00Z,68.00,34.00
2026-03-24T16:47:00Z,68.00,34.00
2026-03-24T16:49:00Z,66.95,34.00
2026-03-24T16:50:00Z,68.00,34.00
2026-03-24T16:51:00Z,68.00,34.00
2026-03-24T16:54:00Z,68.00,34.00
2026-03-24T17:07:00Z,68.00,34.00
2026-03-24T17:12:00Z,68.00,34.00
2026-03-24T17:17:00Z,68.00,32.00
2026-03-24T17:20:00Z,68.00,34.97
2026-03-24T17:27:00Z,67.00,34.97
2026-03-24T17:28:00Z,67.00,35.00
2026-03-24T17:29:00Z,68.00,35.00
2026-03-24T17:30:00Z,68.00,35.00
2026-03-24T17:31:00Z,68.00,35.00
2026-03-24T17:32:00Z,68.00,31.00
2026-03-24T17:33:00Z,68.00,31.00
2026-03-24T17:34:00Z,66.00,34.13
2026-03-24T17:35:00Z,73.78,26.60
2026-03-24T17:36:00Z,79.61,22.73
2026-03-24T17:37:00Z,81.00,21.00
2026-03-24T17:38:00Z,80.00,18.00
2026-03-24T17:39:00Z,81.78,17.20
2026-03-24T17:40:00Z,80.68,21.37
2026-03-24T17:41:00Z,80.00,22.00
2026-03-24T17:42:00Z,79.97,23.23
2026-03-24T17:43:00Z,75.35,23.23
2026-03-24T17:44:00Z,72.79,31.04
2026-03-24T17:45:00Z,72.56,29.71
2026-03-24T17:46:00Z,76.97,23.00
2026-03-24T17:47:00Z,76.00,25.27
2026-03-24T17:48:00Z,77.00,25.27
2026-03-24T17:49:00Z,70.76,24.82
2026-03-24T17:50:00Z,75.11,27.09
2026-03-24T17:51:00Z,80.21,21.36
2026-03-24T17:52:00Z,80.78,21.00
2026-03-24T17:53:00Z,78.75,20.53
2026-03-24T17:54:00Z,76.00,20.53
2026-03-24T17:55:00Z,76.85,24.00
2026-03-24T17:56:00Z,77.00,22.38
2026-03-24T17:57:00Z,81.86,22.91
2026-03-24T17:58:00Z,74.19,22.91
2026-03-24T17:59:00Z,75.00,27.00
2026-03-24T18:00:00Z,75.79,26.67
2026-03-24T18:01:00Z,73.64,26.01
2026-03-24T18:02:00Z,73.02,26.71
2026-03-24T18:03:00Z,73.00,28.00
2026-03-24T18:04:00Z,70.97,28.16
2026-03-24T18:05:00Z,74.33,28.16
2026-03-24T18:06:00Z,77.69,22.57
2026-03-24T18:07:00Z,77.69,21.00
2026-03-24T18:08:00Z,83.00,18.08
2026-03-24T18:09:00Z,79.99,18.08
2026-03-24T18:10:00Z,79.99,18.13
2026-03-24T18:11:00Z,84.00,16.00
2026-03-24T18:12:00Z,84.88,16.00
2026-03-24T18:13:00Z,85.00,16.00
2026-03-24T18:14:00Z,86.00,14.00
2026-03-24T18:15:00Z,82.00,14.88
2026-03-24T18:16:00Z,81.84,22.00
2026-03-24T18:17:00Z,72.00,28.00
2026-03-24T18:18:00Z,67.01,31.94
2026-03-24T18:19:00Z,71.00,31.00
2026-03-24T18:20:00Z,79.00,26.00
2026-03-24T18:21:00Z,76.60,23.19
2026-03-24T18:22:00Z,74.63,29.85
2026-03-24T18:23:00Z,72.83,32.31
2026-03-24T18:24:00Z,71.03,32.31
2026-03-24T18:25:00Z,68.00,30.93
2026-03-24T18:26:00Z,68.00,34.00
2026-03-24T18:27:00Z,67.98,32.00
2026-03-24T18:28:00Z,64.24,36.50
2026-03-24T18:29:00Z,57.41,42.58
2026-03-24T18:30:00Z,55.45,44.66
2026-03-24T18:31:00Z,57.68,39.65
2026-03-24T18:32:00Z,61.21,41.34
2026-03-24T18:33:00Z,60.83,34.64
2026-03-24T18:34:00Z,68.14,31.15
2026-03-24T18:35:00Z,72.00,28.00
2026-03-24T18:36:00Z,69.81,29.37
2026-03-24T18:37:00Z,68.00,33.95
2026-03-24T18:38:00Z,65.06,35.56
2026-03-24T18:39:00Z,62.22,35.25
2026-03-24T18:40:00Z,67.79,33.79
2026-03-24T18:41:00Z,66.53,33.00
2026-03-24T18:42:00Z,67.22,33.93
2026-03-24T18:43:00Z,66.84,32.28
2026-03-24T18:44:00Z,62.00,38.00
2026-03-24T18:45:00Z,64.12,36.02
2026-03-24T18:46:00Z,63.00,38.14
2026-03-24T18:47:00Z,64.00,37.00
2026-03-24T18:48:00Z,64.78,38.00
2026-03-24T18:49:00Z,70.58,35.99
2026-03-24T18:50:00Z,66.66,35.65
2026-03-24T18:51:00Z,56.62,41.46
2026-03-24T18:52:00Z,57.16,43.52
2026-03-24T18:53:00Z,58.00,42.98
2026-03-24T18:54:00Z,58.00,42.98
2026-03-24T18:55:00Z,59.00,43.00
2026-03-24T18:56:00Z,61.67,40.40
2026-03-24T18:57:00Z,65.33,35.00
2026-03-24T18:58:00Z,66.16,35.00
2026-03-24T18:59:00Z,65.54,37.14
2026-03-24T19:00:00Z,67.29,38.89
2026-03-24T19:01:00Z,67.44,38.74
2026-03-24T19:02:00Z,59.90,40.21
