# event_ticker=KXATPCHALLENGERMATCH-26MAR12IANMRV
# final_score=6-4 6-7(3) 6-0
# score_resolution=4-6 7-6 0-6
# match_winner=Maxim Mrva
# fav_player=Federico Iannaccone
# dog_player=Maxim Mrva
# kalshi_date=2026-03-12
timestamp,Federico Iannaccone,Maxim Mrva
2026-03-12T02:24:00Z,33.00,
2026-03-12T03:43:00Z,33.00,69.00
2026-03-12T03:55:00Z,33.00,69.00
2026-03-12T04:22:00Z,33.00,70.32
2026-03-12T04:25:00Z,33.00,70.00
2026-03-12T04:28:00Z,33.00,70.00
2026-03-12T04:30:00Z,33.00,70.00
2026-03-12T04:35:00Z,33.00,71.00
2026-03-12T04:47:00Z,33.00,71.00
2026-03-12T04:49:00Z,32.00,71.00
2026-03-12T04:55:00Z,32.00,71.00
2026-03-12T04:59:00Z,29.00,71.00
2026-03-12T05:14:00Z,32.00,71.00
2026-03-12T05:20:00Z,32.00,71.00
2026-03-12T05:34:00Z,32.00,71.00
2026-03-12T05:36:00Z,32.00,71.00
2026-03-12T05:48:00Z,32.00,71.00
2026-03-12T05:58:00Z,32.00,70.00
2026-03-12T05:59:00Z,32.00,70.00
2026-03-12T06:01:00Z,32.00,70.00
2026-03-12T06:07:00Z,32.00,70.00
2026-03-12T06:08:00Z,32.00,69.00
2026-03-12T06:11:00Z,32.00,69.00
2026-03-12T06:25:00Z,32.00,70.00
2026-03-12T06:26:00Z,32.00,70.00
2026-03-12T06:27:00Z,32.00,70.00
2026-03-12T06:30:00Z,32.51,70.00
2026-03-12T06:40:00Z,33.00,70.00
2026-03-12T06:41:00Z,33.00,70.00
2026-03-12T06:47:00Z,33.00,70.00
2026-03-12T06:53:00Z,33.00,70.00
2026-03-12T07:00:00Z,32.00,70.00
2026-03-12T09:01:00Z,21.82,77.98
2026-03-12T09:02:00Z,20.00,77.98
2026-03-12T09:03:00Z,18.42,84.00
2026-03-12T09:04:00Z,14.02,86.00
2026-03-12T09:05:00Z,14.01,86.00
2026-03-12T09:06:00Z,11.26,90.03
2026-03-12T09:07:00Z,9.00,91.00
2026-03-12T09:08:00Z,12.00,89.47
2026-03-12T09:09:00Z,12.00,91.00
2026-03-12T09:10:00Z,12.00,92.00
2026-03-12T09:11:00Z,10.00,89.49
2026-03-12T09:12:00Z,8.00,93.86
2026-03-12T09:13:00Z,9.77,93.86
2026-03-12T09:14:00Z,9.00,93.86
2026-03-12T09:15:00Z,9.00,91.00
2026-03-12T09:16:00Z,10.00,90.98
2026-03-12T09:17:00Z,10.00,90.50
2026-03-12T09:18:00Z,11.04,91.00
2026-03-12T09:19:00Z,10.00,91.00
2026-03-12T09:20:00Z,12.00,91.00
2026-03-12T09:21:00Z,15.02,91.00
2026-03-12T09:22:00Z,15.00,86.00
2026-03-12T09:23:00Z,18.49,86.00
2026-03-12T09:24:00Z,19.00,86.00
2026-03-12T09:25:00Z,21.95,86.00
2026-03-12T09:26:00Z,15.00,86.00
