# event_ticker=KXATPCHALLENGERMATCH-26APR15LEOSHI
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Sanhui Shin
# fav_player=Mitsuki Wei Kang Leong
# dog_player=Sanhui Shin
# kalshi_date=2026-04-15
timestamp,Mitsuki Wei Kang Leong,Sanhui Shin
2026-04-14T21:22:00Z,71.00,
2026-04-14T22:59:00Z,73.00,
2026-04-15T01:38:00Z,71.00,
2026-04-15T04:12:00Z,71.00,
2026-04-15T04:26:00Z,70.00,
2026-04-15T04:29:00Z,71.00,
2026-04-15T04:40:00Z,71.00,30.00
2026-04-15T04:47:00Z,71.00,30.00
2026-04-15T04:55:00Z,73.00,30.00
2026-04-15T05:03:00Z,73.00,30.00
2026-04-15T05:14:00Z,73.00,30.00
2026-04-15T05:27:00Z,73.00,30.00
2026-04-15T05:33:00Z,73.00,30.00
2026-04-15T05:38:00Z,73.00,30.00
2026-04-15T06:06:00Z,72.96,30.00
2026-04-15T07:25:00Z,73.00,30.00
2026-04-15T07:41:00Z,73.00,30.00
2026-04-15T07:48:00Z,73.00,30.00
2026-04-15T08:00:00Z,73.00,29.00
2026-04-15T08:01:00Z,73.00,30.00
2026-04-15T08:04:00Z,73.00,30.00
2026-04-15T08:19:00Z,72.62,30.00
2026-04-15T08:23:00Z,73.92,30.00
2026-04-15T08:33:00Z,73.92,29.84
2026-04-15T08:34:00Z,74.00,29.84
2026-04-15T08:36:00Z,74.00,28.00
2026-04-15T08:37:00Z,74.00,28.00
2026-04-15T08:38:00Z,74.00,28.13
2026-04-15T08:39:00Z,74.00,29.00
2026-04-15T08:41:00Z,74.00,29.00
2026-04-15T08:42:00Z,73.00,29.00
2026-04-15T08:43:00Z,72.00,29.83
2026-04-15T08:44:00Z,70.00,29.83
2026-04-15T08:45:00Z,71.00,29.83
2026-04-15T08:46:00Z,71.00,31.00
2026-04-15T08:51:00Z,71.00,31.00
2026-04-15T09:03:00Z,71.00,31.00
2026-04-15T09:06:00Z,71.99,31.00
2026-04-15T09:08:00Z,71.99,31.95
2026-04-15T09:09:00Z,71.99,25.49
2026-04-15T09:10:00Z,71.00,25.49
2026-04-15T09:11:00Z,72.00,30.00
2026-04-15T09:12:00Z,71.81,30.00
2026-04-15T09:13:00Z,71.81,28.00
2026-04-15T09:14:00Z,72.00,29.00
2026-04-15T09:15:00Z,71.00,31.76
2026-04-15T09:16:00Z,71.00,31.76
2026-04-15T09:17:00Z,71.74,31.90
2026-04-15T09:18:00Z,74.29,29.13
2026-04-15T09:19:00Z,77.00,29.13
2026-04-15T09:20:00Z,76.42,27.41
2026-04-15T09:21:00Z,74.00,27.09
2026-04-15T09:22:00Z,75.57,27.18
2026-04-15T09:24:00Z,79.49,21.35
2026-04-15T09:25:00Z,79.49,22.35
2026-04-15T09:26:00Z,80.11,20.00
2026-04-15T09:27:00Z,80.32,25.14
2026-04-15T09:28:00Z,80.32,33.76
2026-04-15T09:29:00Z,64.50,47.40
2026-04-15T09:30:00Z,71.87,35.55
2026-04-15T09:31:00Z,73.36,33.54
2026-04-15T09:32:00Z,69.18,33.06
2026-04-15T09:33:00Z,69.48,33.06
2026-04-15T09:34:00Z,72.64,28.82
2026-04-15T09:35:00Z,73.00,28.00
2026-04-15T09:37:00Z,73.00,31.72
2026-04-15T09:38:00Z,65.93,34.00
2026-04-15T09:39:00Z,65.01,35.95
2026-04-15T09:40:00Z,62.98,42.48
2026-04-15T09:41:00Z,51.80,48.77
2026-04-15T09:42:00Z,54.71,41.00
2026-04-15T09:43:00Z,52.61,48.00
2026-04-15T09:44:00Z,52.00,47.00
2026-04-15T09:45:00Z,50.19,56.10
