# event_ticker=KXATPCHALLENGERMATCH-26MAY25TOPGIU
# final_score=6-4 5-7 6-2
# score_resolution=4-6 7-5 2-6
# match_winner=Lorenzo Giustino
# fav_player=Marko ToPo
# dog_player=Lorenzo Giustino
# kalshi_date=2026-05-25
timestamp,Marko ToPo,Lorenzo Giustino
2026-05-25T03:17:00Z,,48.00
2026-05-25T06:34:00Z,53.00,48.00
2026-05-25T07:12:00Z,52.00,48.00
2026-05-25T10:38:00Z,52.78,48.00
2026-05-25T11:02:00Z,53.00,48.00
2026-05-25T11:04:00Z,44.04,53.34
2026-05-25T11:05:00Z,44.04,56.00
2026-05-25T11:06:00Z,50.00,56.00
2026-05-25T11:07:00Z,50.00,58.25
2026-05-25T11:08:00Z,49.07,58.25
2026-05-25T11:09:00Z,39.44,60.12
2026-05-25T11:10:00Z,37.00,63.99
2026-05-25T11:11:00Z,34.00,62.71
2026-05-25T11:12:00Z,33.00,68.39
2026-05-25T11:13:00Z,33.00,72.00
2026-05-25T11:14:00Z,33.00,72.00
2026-05-25T11:15:00Z,28.00,73.82
2026-05-25T11:16:00Z,32.79,67.05
2026-05-25T11:17:00Z,32.79,67.00
2026-05-25T11:18:00Z,34.00,67.00
2026-05-25T11:19:00Z,36.63,65.00
2026-05-25T11:20:00Z,38.00,64.00
2026-05-25T11:21:00Z,39.26,64.00
2026-05-25T11:22:00Z,39.26,63.39
2026-05-25T11:23:00Z,36.00,66.00
2026-05-25T11:24:00Z,40.45,57.50
2026-05-25T11:25:00Z,40.46,59.09
2026-05-25T11:26:00Z,33.00,65.02
2026-05-25T11:28:00Z,35.00,65.02
2026-05-25T11:29:00Z,35.00,62.00
2026-05-25T11:30:00Z,35.00,62.00
2026-05-25T11:31:00Z,43.27,62.00
2026-05-25T11:32:00Z,39.47,61.39
2026-05-25T11:33:00Z,39.73,63.17
2026-05-25T11:34:00Z,50.73,46.77
2026-05-25T11:35:00Z,55.78,42.37
2026-05-25T11:36:00Z,60.04,38.39
