# event_ticker=KXATPMATCH-25SEP24MACSHI
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Sho Shimabukuro
# fav_player=Tomas Machac
# dog_player=Sho Shimabukuro
# kalshi_date=2025-09-24
timestamp,Tomas Machac,Sho Shimabukuro
2025-09-24T18:17:00Z,72.00,
2025-09-24T18:57:00Z,73.00,
2025-09-24T19:02:00Z,73.00,27.00
2025-09-24T19:15:00Z,74.00,27.00
2025-09-24T19:45:00Z,74.00,27.00
2025-09-24T20:12:00Z,74.58,27.00
2025-09-24T21:38:00Z,75.00,27.00
2025-09-24T21:39:00Z,75.00,27.00
2025-09-24T21:50:00Z,75.00,27.00
2025-09-24T22:01:00Z,75.00,27.00
2025-09-24T22:35:00Z,75.00,27.00
2025-09-24T23:48:00Z,75.00,27.00
2025-09-25T00:02:00Z,75.00,27.00
2025-09-25T00:13:00Z,75.00,27.00
2025-09-25T00:28:00Z,75.00,26.00
2025-09-25T00:36:00Z,75.00,26.00
2025-09-25T00:40:00Z,75.00,26.00
2025-09-25T00:51:00Z,75.00,26.00
2025-09-25T00:55:00Z,75.00,26.00
2025-09-25T01:27:00Z,75.00,26.00
2025-09-25T01:43:00Z,75.00,25.00
2025-09-25T02:00:00Z,75.00,25.00
2025-09-25T02:16:00Z,76.00,25.00
2025-09-25T02:20:00Z,76.00,25.91
2025-09-25T02:40:00Z,75.76,25.91
2025-09-25T02:45:00Z,76.00,25.91
2025-09-25T03:06:00Z,76.00,24.00
2025-09-25T03:12:00Z,76.00,26.00
2025-09-25T03:13:00Z,76.00,26.00
2025-09-25T03:16:00Z,76.00,26.00
2025-09-25T03:36:00Z,76.00,26.00
2025-09-25T03:43:00Z,76.00,27.00
2025-09-25T03:54:00Z,76.00,27.00
2025-09-25T03:56:00Z,76.00,27.00
2025-09-25T03:59:00Z,74.00,27.82
2025-09-25T04:00:00Z,74.00,30.66
2025-09-25T04:06:00Z,76.53,30.66
2025-09-25T04:08:00Z,75.00,30.66
2025-09-25T04:10:00Z,75.00,30.66
2025-09-25T04:11:00Z,73.45,30.66
2025-09-25T04:13:00Z,72.00,30.66
2025-09-25T04:14:00Z,72.00,25.00
2025-09-25T04:15:00Z,72.00,29.00
2025-09-25T04:16:00Z,72.00,29.00
2025-09-25T04:17:00Z,76.92,22.00
2025-09-25T04:18:00Z,76.00,25.24
2025-09-25T04:19:00Z,76.00,29.75
2025-09-25T04:20:00Z,71.00,30.00
2025-09-25T04:21:00Z,72.00,30.00
2025-09-25T04:22:00Z,72.00,27.79
2025-09-25T04:23:00Z,73.65,27.79
2025-09-25T04:24:00Z,75.00,26.00
2025-09-25T04:25:00Z,75.00,23.17
2025-09-25T04:27:00Z,75.00,27.00
2025-09-25T04:28:00Z,75.00,30.00
2025-09-25T04:29:00Z,71.00,30.00
2025-09-25T04:30:00Z,75.00,30.00
2025-09-25T04:32:00Z,68.00,32.00
2025-09-25T04:33:00Z,68.00,35.66
2025-09-25T04:34:00Z,63.70,38.59
2025-09-25T04:35:00Z,65.00,37.04
2025-09-25T04:36:00Z,61.00,39.00
2025-09-25T04:37:00Z,71.00,39.00
2025-09-25T04:38:00Z,76.00,27.34
2025-09-25T04:39:00Z,71.00,31.54
2025-09-25T04:41:00Z,68.00,34.00
2025-09-25T04:42:00Z,68.56,36.93
2025-09-25T04:43:00Z,54.00,42.28
2025-09-25T04:44:00Z,47.76,56.34
2025-09-25T04:45:00Z,47.76,56.90
2025-09-25T04:46:00Z,41.76,57.32
2025-09-25T04:47:00Z,39.62,61.66
2025-09-25T04:48:00Z,41.03,60.47
2025-09-25T04:49:00Z,41.74,59.39
2025-09-25T04:50:00Z,44.59,59.97
2025-09-25T04:51:00Z,49.21,55.87
2025-09-25T04:52:00Z,49.21,50.72
2025-09-25T04:53:00Z,50.15,50.48
2025-09-25T04:54:00Z,62.12,36.39
2025-09-25T04:55:00Z,68.06,36.33
2025-09-25T04:56:00Z,65.25,38.64
2025-09-25T04:57:00Z,51.48,47.62
2025-09-25T04:58:00Z,53.86,46.70
2025-09-25T04:59:00Z,67.00,35.82
2025-09-25T05:00:00Z,50.71,52.47
2025-09-25T05:01:00Z,46.14,56.68
2025-09-25T05:02:00Z,50.09,58.19
2025-09-25T05:03:00Z,43.00,59.00
2025-09-25T05:04:00Z,41.61,62.03
2025-09-25T05:05:00Z,40.38,61.54
2025-09-25T05:06:00Z,28.50,70.89
2025-09-25T05:07:00Z,33.08,67.56
2025-09-25T05:08:00Z,33.36,73.98
2025-09-25T05:09:00Z,40.81,60.42
2025-09-25T05:10:00Z,40.04,60.00
2025-09-25T05:11:00Z,40.75,61.02
2025-09-25T05:12:00Z,41.97,61.02
2025-09-25T05:13:00Z,35.22,61.77
2025-09-25T05:14:00Z,29.95,69.23
2025-09-25T05:15:00Z,34.80,64.63
2025-09-25T05:16:00Z,27.12,73.65
2025-09-25T05:17:00Z,27.62,73.45
2025-09-25T05:18:00Z,33.01,73.45
2025-09-25T05:19:00Z,37.00,64.00
2025-09-25T05:20:00Z,36.38,64.00
2025-09-25T05:21:00Z,34.63,69.37
2025-09-25T05:22:00Z,34.60,69.00
2025-09-25T05:23:00Z,31.85,68.29
2025-09-25T05:24:00Z,36.78,75.82
2025-09-25T05:25:00Z,36.07,63.00
2025-09-25T05:26:00Z,39.00,63.26
2025-09-25T05:27:00Z,39.94,63.26
2025-09-25T05:28:00Z,37.24,64.61
2025-09-25T05:29:00Z,37.40,59.00
2025-09-25T05:30:00Z,37.09,65.42
2025-09-25T05:31:00Z,42.00,70.60
2025-09-25T05:32:00Z,38.13,62.00
2025-09-25T05:33:00Z,41.00,61.00
2025-09-25T05:34:00Z,41.00,61.31
2025-09-25T05:35:00Z,48.26,61.31
2025-09-25T05:36:00Z,48.26,68.05
2025-09-25T05:37:00Z,37.97,66.34
2025-09-25T05:38:00Z,28.05,72.49
2025-09-25T05:39:00Z,16.08,83.84
2025-09-25T05:40:00Z,15.44,88.61
2025-09-25T05:41:00Z,14.44,85.49
2025-09-25T05:42:00Z,10.75,96.75
2025-09-25T05:43:00Z,10.75,99.00
2025-09-25T05:44:00Z,10.75,99.00
2025-09-25T05:45:00Z,10.75,99.00
2025-09-25T05:47:00Z,10.75,99.00
2025-09-25T05:50:00Z,10.75,99.00
2025-09-25T05:51:00Z,10.75,99.00
