# event_ticker=KXATPCHALLENGERMATCH-26FEB10HUEOFN
# final_score=6-3 6-7(6) 6-3
# score_resolution=6-3 6-7 6-3
# match_winner=Marc-Andrea Huesler
# fav_player=Marc-Andrea Huesler
# dog_player=Sebastian Ofner
# kalshi_date=2026-02-10
timestamp,Marc-Andrea Huesler,Sebastian Ofner
2026-02-10T05:19:00Z,68.27,
2026-02-10T05:51:00Z,69.00,
2026-02-10T06:28:00Z,57.00,
2026-02-10T07:34:00Z,57.00,45.00
2026-02-10T08:22:00Z,57.00,45.00
2026-02-10T08:39:00Z,68.00,44.00
2026-02-10T08:48:00Z,57.00,44.00
2026-02-10T08:51:00Z,69.00,44.00
2026-02-10T09:01:00Z,61.00,44.00
2026-02-10T09:02:00Z,58.00,44.00
2026-02-10T09:19:00Z,58.00,44.00
2026-02-10T09:35:00Z,58.00,44.00
2026-02-10T09:52:00Z,58.00,45.00
2026-02-10T10:54:00Z,58.00,45.00
2026-02-10T11:56:00Z,58.00,45.00
2026-02-10T11:59:00Z,58.00,45.00
2026-02-10T12:15:00Z,58.00,45.00
2026-02-10T12:17:00Z,58.00,45.00
2026-02-10T12:51:00Z,58.00,45.00
2026-02-10T12:57:00Z,58.00,45.00
2026-02-10T12:59:00Z,58.00,45.00
2026-02-10T13:34:00Z,58.00,45.00
2026-02-10T13:41:00Z,58.00,45.00
2026-02-10T14:01:00Z,58.00,41.97
2026-02-10T14:02:00Z,58.00,43.87
2026-02-10T14:14:00Z,58.00,44.00
2026-02-10T14:25:00Z,58.00,42.00
2026-02-10T14:34:00Z,58.00,42.00
2026-02-10T14:43:00Z,58.00,42.00
2026-02-10T14:44:00Z,58.00,42.00
2026-02-10T14:51:00Z,58.00,42.00
2026-02-10T14:53:00Z,58.00,43.00
2026-02-10T14:56:00Z,58.00,44.00
2026-02-10T14:57:00Z,58.00,44.00
2026-02-10T14:58:00Z,57.00,44.00
2026-02-10T15:01:00Z,58.00,44.00
2026-02-10T15:03:00Z,58.00,43.00
2026-02-10T15:05:00Z,58.25,43.00
2026-02-10T15:08:00Z,59.00,43.00
2026-02-10T15:12:00Z,58.00,43.00
2026-02-10T15:13:00Z,58.00,43.00
2026-02-10T15:24:00Z,58.00,43.00
2026-02-10T15:35:00Z,58.00,41.00
2026-02-10T15:41:00Z,58.00,41.00
2026-02-10T15:44:00Z,58.96,41.00
2026-02-10T15:45:00Z,59.00,41.00
2026-02-10T15:48:00Z,58.00,41.00
2026-02-10T15:49:00Z,59.00,41.00
2026-02-10T15:55:00Z,59.00,41.00
2026-02-10T15:56:00Z,59.00,41.00
2026-02-10T16:02:00Z,60.97,42.00
2026-02-10T16:03:00Z,60.18,42.00
2026-02-10T16:05:00Z,61.00,42.00
2026-02-10T16:06:00Z,61.00,40.00
2026-02-10T16:07:00Z,62.50,40.00
2026-02-10T16:08:00Z,62.00,40.00
2026-02-10T16:09:00Z,61.00,40.00
2026-02-10T16:10:00Z,61.00,41.00
2026-02-10T16:15:00Z,61.00,41.00
2026-02-10T16:16:00Z,61.00,41.00
2026-02-10T16:17:00Z,61.00,41.00
2026-02-10T16:18:00Z,61.00,41.00
2026-02-10T16:20:00Z,61.00,41.00
2026-02-10T16:21:00Z,61.00,41.00
2026-02-10T16:23:00Z,61.65,40.20
2026-02-10T16:24:00Z,61.87,39.11
2026-02-10T16:25:00Z,62.19,39.44
2026-02-10T16:26:00Z,64.19,36.51
2026-02-10T16:27:00Z,69.68,35.21
2026-02-10T16:28:00Z,76.18,21.09
2026-02-10T16:29:00Z,78.34,21.53
2026-02-10T16:30:00Z,81.27,20.00
2026-02-10T16:31:00Z,83.00,20.00
2026-02-10T16:32:00Z,83.00,18.08
2026-02-10T16:33:00Z,83.00,17.00
2026-02-10T16:34:00Z,83.99,15.12
2026-02-10T16:35:00Z,82.00,20.00
2026-02-10T16:36:00Z,82.00,18.17
2026-02-10T16:37:00Z,79.78,19.45
2026-02-10T16:38:00Z,79.78,17.15
2026-02-10T16:39:00Z,84.00,17.00
2026-02-10T16:40:00Z,84.00,14.17
2026-02-10T16:41:00Z,86.34,14.17
2026-02-10T16:42:00Z,89.00,13.05
2026-02-10T16:43:00Z,89.00,13.05
2026-02-10T16:44:00Z,88.00,13.51
2026-02-10T16:45:00Z,86.61,14.00
