# event_ticker=KXATPCHALLENGERMATCH-26FEB24ESTSAN
# final_score=6-4 7-6(0)
# score_resolution=6-4 7-6
# match_winner=Carlos Sanchez Jover
# fav_player=Carlos Sanchez Jover
# dog_player=Juan Estevez
# kalshi_date=2026-02-24
timestamp,Carlos Sanchez Jover,Juan Estevez
2026-02-24T01:32:00Z,,45.00
2026-02-24T04:49:00Z,,41.00
2026-02-24T06:38:00Z,64.00,41.00
2026-02-24T06:52:00Z,59.00,41.00
2026-02-24T08:22:00Z,59.00,41.00
2026-02-24T09:26:00Z,60.00,44.00
2026-02-24T10:02:00Z,60.00,44.00
2026-02-24T11:11:00Z,60.00,44.00
2026-02-24T11:30:00Z,60.00,44.00
2026-02-24T11:36:00Z,60.00,44.00
2026-02-24T11:44:00Z,60.00,44.00
2026-02-24T12:49:00Z,60.00,43.00
2026-02-24T12:56:00Z,57.00,44.00
2026-02-24T13:05:00Z,56.93,44.00
2026-02-24T13:06:00Z,56.00,44.00
2026-02-24T13:10:00Z,56.00,40.00
2026-02-24T13:11:00Z,59.00,40.00
2026-02-24T13:12:00Z,61.50,40.00
2026-02-24T13:13:00Z,62.00,40.00
2026-02-24T13:15:00Z,61.10,40.00
2026-02-24T13:17:00Z,55.00,40.00
2026-02-24T13:18:00Z,50.00,48.00
2026-02-24T13:20:00Z,59.04,48.00
2026-02-24T13:21:00Z,62.31,37.00
2026-02-24T13:24:00Z,62.31,46.00
2026-02-24T13:25:00Z,62.31,50.67
2026-02-24T13:26:00Z,52.99,47.47
2026-02-24T13:27:00Z,60.00,52.00
2026-02-24T13:30:00Z,55.15,46.00
2026-02-24T13:31:00Z,52.00,46.00
2026-02-24T13:33:00Z,64.00,43.96
2026-02-24T13:34:00Z,62.00,43.96
2026-02-24T13:35:00Z,62.00,37.00
2026-02-24T13:36:00Z,62.00,40.00
2026-02-24T13:37:00Z,69.18,36.00
2026-02-24T13:38:00Z,65.06,38.10
2026-02-24T13:39:00Z,64.58,38.41
2026-02-24T13:40:00Z,69.29,38.41
2026-02-24T13:41:00Z,65.11,35.94
2026-02-24T13:42:00Z,58.75,35.94
2026-02-24T13:43:00Z,52.46,51.00
2026-02-24T13:44:00Z,52.37,56.08
2026-02-24T13:45:00Z,64.40,56.08
2026-02-24T13:46:00Z,59.00,56.08
