# event_ticker=KXATPCHALLENGERMATCH-26FEB19JUSDIA
# final_score=7-5 6-0
# score_resolution=5-7 0-6
# match_winner=Guido Ivan Justo
# fav_player=Facundo Diaz Acosta
# dog_player=Guido Ivan Justo
# kalshi_date=2026-02-19
timestamp,Facundo Diaz Acosta,Guido Ivan Justo
2026-02-19T06:12:00Z,61.41,44.04
2026-02-19T06:36:00Z,72.00,44.04
2026-02-19T07:07:00Z,67.00,44.04
2026-02-19T07:13:00Z,67.00,44.00
2026-02-19T07:46:00Z,73.00,44.00
2026-02-19T07:58:00Z,73.00,44.00
2026-02-19T10:25:00Z,74.00,44.00
2026-02-19T12:03:00Z,74.00,29.00
2026-02-19T12:10:00Z,74.00,29.00
2026-02-19T12:19:00Z,74.00,26.00
2026-02-19T12:32:00Z,74.00,26.00
2026-02-19T12:33:00Z,74.00,26.00
2026-02-19T13:14:00Z,74.00,26.00
2026-02-19T13:22:00Z,74.00,29.00
2026-02-19T13:33:00Z,74.00,29.00
2026-02-19T13:34:00Z,74.00,29.00
2026-02-19T13:44:00Z,74.00,29.00
2026-02-19T13:58:00Z,74.00,29.00
2026-02-19T14:03:00Z,74.00,29.00
2026-02-19T14:18:00Z,74.00,30.00
2026-02-19T14:35:00Z,74.00,30.00
2026-02-19T14:36:00Z,74.00,30.00
2026-02-19T14:42:00Z,74.00,30.00
2026-02-19T15:07:00Z,74.00,30.00
2026-02-19T15:31:00Z,70.00,30.00
2026-02-19T15:32:00Z,70.00,30.00
2026-02-19T15:33:00Z,73.00,30.00
2026-02-19T15:39:00Z,73.00,30.00
2026-02-19T15:40:00Z,73.00,30.00
2026-02-19T15:46:00Z,73.00,29.00
2026-02-19T15:53:00Z,73.00,29.00
2026-02-19T15:54:00Z,73.00,29.00
2026-02-19T15:59:00Z,73.00,30.65
2026-02-19T16:02:00Z,75.00,30.65
2026-02-19T16:03:00Z,75.00,30.65
2026-02-19T16:08:00Z,73.00,30.65
2026-02-19T16:12:00Z,73.00,30.65
2026-02-19T16:14:00Z,73.00,30.65
2026-02-19T16:16:00Z,73.00,30.65
2026-02-19T16:19:00Z,73.00,27.00
2026-02-19T16:20:00Z,73.00,27.00
2026-02-19T16:25:00Z,73.00,27.00
2026-02-19T16:31:00Z,73.00,29.00
2026-02-19T16:32:00Z,73.00,29.00
2026-02-19T16:34:00Z,73.00,29.00
2026-02-19T16:38:00Z,73.00,29.00
2026-02-19T16:42:00Z,73.00,29.00
2026-02-19T16:44:00Z,73.00,29.00
2026-02-19T16:45:00Z,73.00,29.00
2026-02-19T16:46:00Z,73.45,27.33
2026-02-19T16:49:00Z,73.64,27.33
2026-02-19T16:50:00Z,73.98,27.33
2026-02-19T16:51:00Z,73.88,27.33
2026-02-19T16:52:00Z,73.00,27.33
2026-02-19T16:53:00Z,73.00,27.33
2026-02-19T16:55:00Z,73.00,29.00
2026-02-19T16:56:00Z,73.00,29.00
2026-02-19T16:57:00Z,73.00,29.00
2026-02-19T16:58:00Z,73.00,29.00
2026-02-19T17:00:00Z,73.00,27.00
2026-02-19T17:01:00Z,73.00,27.00
2026-02-19T17:02:00Z,71.00,27.00
2026-02-19T17:05:00Z,73.00,27.00
2026-02-19T17:06:00Z,70.83,27.00
2026-02-19T17:08:00Z,70.27,29.00
2026-02-19T17:10:00Z,73.98,29.00
