# event_ticker=KXATPCHALLENGERMATCH-26APR06TORAMB
# final_score=6-1 5-7 6-4
# score_resolution=1-6 7-5 4-6
# match_winner=Luciano Emanuel Ambrogi
# fav_player=Juan Bautista Torres
# dog_player=Luciano Emanuel Ambrogi
# kalshi_date=2026-04-06
timestamp,Juan Bautista Torres,Luciano Emanuel Ambrogi
2026-04-06T07:04:00Z,67.00,92.00
2026-04-06T07:31:00Z,67.00,93.00
2026-04-06T08:35:00Z,67.00,93.00
2026-04-06T09:51:00Z,67.00,93.00
2026-04-06T09:56:00Z,65.00,93.00
2026-04-06T13:36:00Z,65.00,37.00
2026-04-06T14:40:00Z,65.00,37.00
2026-04-06T14:44:00Z,66.00,37.00
2026-04-06T14:59:00Z,66.00,37.00
2026-04-06T15:06:00Z,66.00,37.00
2026-04-06T15:20:00Z,66.00,37.00
2026-04-06T15:24:00Z,65.00,37.00
2026-04-06T16:05:00Z,65.00,36.00
2026-04-06T16:06:00Z,66.00,36.00
2026-04-06T16:16:00Z,66.00,36.00
2026-04-06T16:20:00Z,66.00,36.00
2026-04-06T16:29:00Z,66.00,36.00
2026-04-06T16:40:00Z,66.00,36.00
2026-04-06T17:00:00Z,66.00,36.00
2026-04-06T17:05:00Z,66.00,36.00
2026-04-06T17:18:00Z,67.39,36.00
2026-04-06T17:21:00Z,67.39,35.00
2026-04-06T17:51:00Z,68.00,35.00
2026-04-06T17:53:00Z,68.00,35.00
2026-04-06T17:55:00Z,68.00,35.00
2026-04-06T17:58:00Z,68.00,35.00
2026-04-06T17:59:00Z,69.00,35.00
2026-04-06T18:02:00Z,69.00,34.00
2026-04-06T18:05:00Z,68.91,31.34
2026-04-06T18:07:00Z,69.00,31.34
2026-04-06T18:08:00Z,69.00,31.34
2026-04-06T18:10:00Z,69.00,33.00
2026-04-06T18:11:00Z,64.00,40.00
2026-04-06T18:13:00Z,54.56,45.54
2026-04-06T18:14:00Z,54.66,46.43
2026-04-06T18:15:00Z,50.91,50.00
2026-04-06T18:16:00Z,47.00,54.00
2026-04-06T18:17:00Z,41.43,61.06
2026-04-06T18:18:00Z,41.00,62.97
2026-04-06T18:19:00Z,36.89,62.74
2026-04-06T18:20:00Z,36.89,63.27
2026-04-06T18:21:00Z,39.00,62.21
2026-04-06T18:22:00Z,34.18,62.13
2026-04-06T18:23:00Z,34.48,67.06
2026-04-06T18:24:00Z,33.21,67.70
2026-04-06T18:25:00Z,34.39,66.00
2026-04-06T18:26:00Z,35.52,66.00
2026-04-06T18:27:00Z,35.80,64.39
2026-04-06T18:28:00Z,35.80,65.41
2026-04-06T18:29:00Z,30.00,70.95
2026-04-06T18:30:00Z,28.23,71.42
2026-04-06T18:31:00Z,29.00,71.94
2026-04-06T18:32:00Z,26.68,74.69
2026-04-06T18:33:00Z,27.32,73.25
2026-04-06T18:34:00Z,26.74,72.53
2026-04-06T18:35:00Z,26.93,76.00
2026-04-06T18:36:00Z,24.98,76.00
2026-04-06T18:37:00Z,25.00,74.00
2026-04-06T18:38:00Z,27.46,73.56
2026-04-06T18:39:00Z,33.00,69.04
2026-04-06T18:40:00Z,33.44,65.03
2026-04-06T18:41:00Z,39.00,61.49
2026-04-06T18:42:00Z,31.68,66.16
2026-04-06T18:43:00Z,24.00,73.99
2026-04-06T18:44:00Z,27.41,74.58
2026-04-06T18:45:00Z,29.30,69.05
2026-04-06T18:46:00Z,32.68,67.30
2026-04-06T18:47:00Z,37.15,66.50
2026-04-06T18:48:00Z,37.56,63.56
2026-04-06T18:49:00Z,33.02,71.58
2026-04-06T18:50:00Z,24.52,73.54
2026-04-06T18:51:00Z,26.63,79.61
2026-04-06T18:52:00Z,20.23,81.55
2026-04-06T18:53:00Z,20.00,81.94
2026-04-06T18:54:00Z,20.81,81.01
2026-04-06T18:55:00Z,19.00,82.94
2026-04-06T18:56:00Z,17.71,84.87
2026-04-06T18:57:00Z,17.89,85.71
2026-04-06T18:58:00Z,17.79,83.37
2026-04-06T18:59:00Z,24.33,77.09
2026-04-06T19:00:00Z,25.88,75.99
2026-04-06T19:01:00Z,27.62,76.59
2026-04-06T19:02:00Z,27.26,75.39
2026-04-06T19:03:00Z,28.89,73.43
2026-04-06T19:04:00Z,24.69,77.00
2026-04-06T19:05:00Z,28.36,74.49
2026-04-06T19:06:00Z,29.22,72.17
2026-04-06T19:07:00Z,22.22,79.11
2026-04-06T19:08:00Z,20.21,81.01
2026-04-06T19:09:00Z,25.31,79.77
2026-04-06T19:10:00Z,15.87,84.20
2026-04-06T19:11:00Z,5.33,94.32
2026-04-06T19:12:00Z,6.11,93.99
2026-04-06T19:13:00Z,10.01,89.95
2026-04-06T19:14:00Z,5.79,94.01
2026-04-06T19:15:00Z,2.51,96.72
2026-04-06T19:16:00Z,6.31,95.24
2026-04-06T19:17:00Z,11.72,88.24
2026-04-06T19:18:00Z,13.65,86.46
2026-04-06T19:19:00Z,17.58,83.91
2026-04-06T19:20:00Z,16.44,83.64
2026-04-06T19:21:00Z,15.92,85.09
2026-04-06T19:22:00Z,17.09,84.63
2026-04-06T19:23:00Z,19.99,77.74
2026-04-06T19:24:00Z,25.21,69.76
2026-04-06T19:25:00Z,27.15,71.54
2026-04-06T19:26:00Z,29.50,68.67
2026-04-06T19:27:00Z,31.45,69.56
2026-04-06T19:28:00Z,33.75,66.03
2026-04-06T19:29:00Z,44.12,55.44
2026-04-06T19:30:00Z,53.59,50.54
2026-04-06T19:31:00Z,58.26,42.42
2026-04-06T19:32:00Z,44.71,51.19
2026-04-06T19:33:00Z,44.61,57.79
2026-04-06T19:34:00Z,47.84,52.96
2026-04-06T19:35:00Z,56.23,44.18
2026-04-06T19:36:00Z,56.99,41.53
2026-04-06T19:37:00Z,56.58,42.45
2026-04-06T19:38:00Z,57.53,42.94
2026-04-06T19:39:00Z,57.62,43.19
2026-04-06T19:40:00Z,56.79,43.79
2026-04-06T19:41:00Z,58.01,41.85
2026-04-06T19:42:00Z,57.62,42.41
2026-04-06T19:43:00Z,56.27,45.33
2026-04-06T19:44:00Z,67.80,30.46
2026-04-06T19:45:00Z,65.38,37.22
2026-04-06T19:46:00Z,75.30,26.93
2026-04-06T19:47:00Z,75.28,25.34
2026-04-06T19:48:00Z,73.54,30.09
2026-04-06T19:49:00Z,59.23,38.32
2026-04-06T19:50:00Z,62.46,35.56
2026-04-06T19:51:00Z,62.39,38.27
2026-04-06T19:52:00Z,60.96,42.74
2026-04-06T19:53:00Z,58.48,44.57
2026-04-06T19:54:00Z,64.40,34.33
2026-04-06T19:55:00Z,59.78,43.53
2026-04-06T19:56:00Z,65.48,36.25
2026-04-06T19:57:00Z,50.86,47.50
2026-04-06T19:58:00Z,52.25,48.91
2026-04-06T19:59:00Z,51.64,49.39
2026-04-06T20:00:00Z,51.44,48.54
2026-04-06T20:01:00Z,53.54,47.06
2026-04-06T20:02:00Z,53.11,46.75
2026-04-06T20:03:00Z,56.10,45.44
2026-04-06T20:04:00Z,58.60,41.96
2026-04-06T20:05:00Z,58.93,39.82
2026-04-06T20:06:00Z,57.47,43.07
2026-04-06T20:07:00Z,63.15,37.75
2026-04-06T20:08:00Z,75.51,23.03
2026-04-06T20:09:00Z,82.14,17.22
2026-04-06T20:10:00Z,83.96,19.11
2026-04-06T20:11:00Z,79.00,27.66
2026-04-06T20:12:00Z,64.99,39.56
2026-04-06T20:13:00Z,60.26,41.10
2026-04-06T20:14:00Z,58.86,44.36
2026-04-06T20:15:00Z,62.30,35.63
2026-04-06T20:16:00Z,58.04,43.02
2026-04-06T20:17:00Z,45.33,56.64
2026-04-06T20:18:00Z,48.87,52.20
2026-04-06T20:19:00Z,47.11,55.47
2026-04-06T20:20:00Z,51.45,51.11
2026-04-06T20:21:00Z,57.62,43.69
2026-04-06T20:22:00Z,54.05,46.27
2026-04-06T20:23:00Z,57.61,45.62
2026-04-06T20:24:00Z,44.67,56.59
2026-04-06T20:25:00Z,46.00,55.42
2026-04-06T20:26:00Z,56.13,48.82
2026-04-06T20:27:00Z,53.36,48.13
2026-04-06T20:28:00Z,39.84,60.16
2026-04-06T20:29:00Z,40.07,62.60
2026-04-06T20:30:00Z,44.14,60.33
2026-04-06T20:31:00Z,39.80,65.02
2026-04-06T20:32:00Z,17.06,88.32
2026-04-06T20:33:00Z,10.87,92.60
2026-04-06T20:34:00Z,1.00,99.00
2026-04-06T20:35:00Z,1.00,99.00
2026-04-06T20:36:00Z,1.00,99.00
2026-04-06T20:37:00Z,1.00,99.00
