# event_ticker=KXATPCHALLENGERMATCH-26APR14MATTUL
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Li Tu
# fav_player=Hayato Matsuoka
# dog_player=Li Tu
# kalshi_date=2026-04-14
timestamp,Hayato Matsuoka,Li Tu
2026-04-14T14:34:00Z,37.00,
2026-04-14T17:07:00Z,36.00,
2026-04-14T17:08:00Z,37.00,
2026-04-14T18:19:00Z,38.00,
2026-04-14T19:14:00Z,37.86,
2026-04-14T19:15:00Z,38.00,
2026-04-14T19:34:00Z,35.00,
2026-04-14T19:39:00Z,35.00,65.00
2026-04-14T19:47:00Z,35.00,65.00
2026-04-14T19:56:00Z,35.00,65.00
2026-04-14T20:52:00Z,35.00,62.00
2026-04-14T21:01:00Z,35.00,62.00
2026-04-14T21:33:00Z,35.00,62.00
2026-04-14T21:45:00Z,35.00,62.00
2026-04-14T21:58:00Z,35.00,62.00
2026-04-14T22:41:00Z,35.00,63.88
2026-04-14T22:57:00Z,35.00,64.00
2026-04-14T23:08:00Z,35.00,64.00
2026-04-14T23:18:00Z,35.00,61.00
2026-04-14T23:49:00Z,35.00,64.00
2026-04-14T23:52:00Z,35.00,64.00
2026-04-15T00:17:00Z,35.00,62.00
2026-04-15T00:41:00Z,35.00,62.00
2026-04-15T01:00:00Z,35.00,62.13
2026-04-15T01:08:00Z,39.00,62.13
2026-04-15T01:34:00Z,40.28,62.13
2026-04-15T01:54:00Z,41.00,62.13
2026-04-15T02:01:00Z,41.00,64.99
2026-04-15T02:02:00Z,39.00,64.00
2026-04-15T02:06:00Z,38.00,64.00
2026-04-15T02:07:00Z,38.00,64.00
2026-04-15T02:08:00Z,38.00,65.00
2026-04-15T02:09:00Z,38.00,69.20
2026-04-15T02:10:00Z,38.00,69.96
2026-04-15T02:11:00Z,38.00,67.00
2026-04-15T02:12:00Z,37.92,62.86
2026-04-15T02:13:00Z,42.00,62.86
2026-04-15T02:14:00Z,41.00,65.80
2026-04-15T02:15:00Z,40.79,65.80
2026-04-15T02:16:00Z,40.00,65.80
2026-04-15T02:17:00Z,46.26,60.00
2026-04-15T02:18:00Z,43.63,60.00
2026-04-15T02:19:00Z,34.51,65.61
2026-04-15T02:20:00Z,38.85,64.74
2026-04-15T02:21:00Z,39.00,65.29
2026-04-15T02:22:00Z,39.00,61.78
2026-04-15T02:23:00Z,40.57,63.87
2026-04-15T02:24:00Z,40.57,62.47
2026-04-15T02:25:00Z,43.00,59.95
2026-04-15T02:26:00Z,46.69,57.28
2026-04-15T02:27:00Z,42.83,61.80
2026-04-15T02:28:00Z,41.31,61.79
2026-04-15T02:29:00Z,37.04,62.67
2026-04-15T02:30:00Z,30.42,70.60
2026-04-15T02:31:00Z,31.35,71.69
2026-04-15T02:32:00Z,31.63,67.07
2026-04-15T02:33:00Z,25.65,74.83
2026-04-15T02:34:00Z,20.45,82.00
2026-04-15T02:35:00Z,20.45,82.00
2026-04-15T02:36:00Z,17.14,80.50
2026-04-15T02:37:00Z,18.00,85.65
2026-04-15T02:38:00Z,17.00,85.65
2026-04-15T02:39:00Z,14.00,86.00
2026-04-15T02:40:00Z,12.00,87.50
2026-04-15T02:41:00Z,13.50,85.73
2026-04-15T02:42:00Z,11.13,89.00
2026-04-15T02:43:00Z,10.06,90.00
2026-04-15T02:44:00Z,11.99,91.00
2026-04-15T02:45:00Z,16.79,89.05
2026-04-15T02:46:00Z,16.00,86.33
2026-04-15T02:47:00Z,12.06,89.94
2026-04-15T02:48:00Z,12.00,89.94
2026-04-15T02:49:00Z,10.63,92.94
2026-04-15T02:50:00Z,4.31,95.51
2026-04-15T02:51:00Z,5.67,97.51
2026-04-15T02:52:00Z,3.95,97.19
2026-04-15T02:53:00Z,3.65,97.19
2026-04-15T02:54:00Z,2.99,97.13
2026-04-15T02:55:00Z,4.90,98.00
2026-04-15T02:56:00Z,2.00,95.00
2026-04-15T02:57:00Z,5.00,97.62
2026-04-15T02:58:00Z,7.83,97.00
2026-04-15T02:59:00Z,2.00,97.02
2026-04-15T03:00:00Z,4.00,98.00
2026-04-15T03:01:00Z,4.00,97.88
2026-04-15T03:02:00Z,4.00,98.00
2026-04-15T03:03:00Z,5.00,97.91
2026-04-15T03:04:00Z,2.02,96.02
2026-04-15T03:05:00Z,6.94,94.35
2026-04-15T03:06:00Z,5.65,93.00
2026-04-15T03:07:00Z,3.17,97.38
2026-04-15T03:08:00Z,5.00,97.48
2026-04-15T03:09:00Z,3.88,98.00
2026-04-15T03:10:00Z,3.88,98.00
2026-04-15T03:11:00Z,4.72,98.00
2026-04-15T03:12:00Z,4.04,96.08
2026-04-15T03:13:00Z,7.06,96.82
2026-04-15T03:14:00Z,9.76,91.63
2026-04-15T03:15:00Z,10.38,90.59
2026-04-15T03:16:00Z,13.24,88.00
2026-04-15T03:17:00Z,15.31,86.05
2026-04-15T03:18:00Z,14.81,86.37
2026-04-15T03:19:00Z,17.98,84.00
2026-04-15T03:20:00Z,18.03,83.85
2026-04-15T03:21:00Z,15.86,85.09
2026-04-15T03:22:00Z,11.82,88.35
2026-04-15T03:23:00Z,12.13,89.20
2026-04-15T03:24:00Z,12.19,87.11
2026-04-15T03:25:00Z,13.48,88.59
2026-04-15T03:26:00Z,15.36,86.62
2026-04-15T03:27:00Z,16.03,85.66
2026-04-15T03:28:00Z,15.94,85.62
2026-04-15T03:29:00Z,10.42,87.81
2026-04-15T03:30:00Z,13.44,88.51
2026-04-15T03:31:00Z,12.87,89.29
2026-04-15T03:32:00Z,14.00,87.76
2026-04-15T03:33:00Z,8.20,91.31
2026-04-15T03:34:00Z,9.21,90.94
2026-04-15T03:35:00Z,14.67,88.50
2026-04-15T03:36:00Z,13.40,85.23
2026-04-15T03:37:00Z,15.03,86.92
2026-04-15T03:38:00Z,10.16,90.11
2026-04-15T03:39:00Z,19.26,83.75
2026-04-15T03:40:00Z,20.98,82.32
2026-04-15T03:41:00Z,12.85,86.54
