# event_ticker=KXATPCHALLENGERMATCH-26MAR12MOUHAL
# final_score=6-4 6-4
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Quentin Halys
# kalshi_date=2026-03-12
timestamp,Corentin Moutet,Quentin Halys
2026-03-12T16:18:00Z,50.00,
2026-03-12T17:22:00Z,50.00,47.00
2026-03-12T18:31:00Z,55.00,47.00
2026-03-12T18:47:00Z,55.00,47.00
2026-03-12T19:15:00Z,47.00,47.00
2026-03-12T20:43:00Z,60.00,47.00
2026-03-12T21:28:00Z,60.00,46.00
2026-03-12T21:32:00Z,59.00,46.00
2026-03-12T21:43:00Z,59.00,46.00
2026-03-12T21:55:00Z,57.00,46.00
2026-03-12T22:03:00Z,57.00,46.00
2026-03-12T22:05:00Z,57.00,46.00
2026-03-12T22:10:00Z,57.00,46.00
2026-03-12T22:36:00Z,56.00,46.00
2026-03-12T22:46:00Z,59.27,46.00
2026-03-12T22:50:00Z,60.00,46.00
2026-03-12T23:46:00Z,61.00,46.00
2026-03-12T23:53:00Z,61.00,40.00
2026-03-12T23:54:00Z,61.00,40.00
2026-03-12T23:58:00Z,61.00,40.00
2026-03-13T00:00:00Z,61.00,40.00
2026-03-13T00:07:00Z,61.00,40.00
2026-03-13T00:24:00Z,61.00,40.00
2026-03-13T00:29:00Z,61.00,40.00
2026-03-13T00:31:00Z,61.00,40.00
2026-03-13T00:34:00Z,61.00,40.00
2026-03-13T00:40:00Z,61.00,40.00
2026-03-13T00:42:00Z,61.00,40.00
2026-03-13T01:01:00Z,61.00,40.00
2026-03-13T01:03:00Z,61.00,40.00
2026-03-13T01:04:00Z,61.00,39.00
2026-03-13T01:05:00Z,61.00,39.00
2026-03-13T01:08:00Z,62.00,39.00
2026-03-13T01:11:00Z,62.00,39.00
2026-03-13T01:20:00Z,62.00,39.00
2026-03-13T01:21:00Z,62.00,39.00
2026-03-13T01:25:00Z,62.00,38.00
2026-03-13T01:28:00Z,62.00,38.00
2026-03-13T01:29:00Z,62.00,39.00
2026-03-13T01:34:00Z,63.00,39.00
2026-03-13T01:39:00Z,63.00,39.00
2026-03-13T01:41:00Z,63.00,39.00
2026-03-13T01:42:00Z,63.00,39.00
2026-03-13T01:43:00Z,63.00,39.00
2026-03-13T01:44:00Z,63.00,39.00
2026-03-13T01:45:00Z,62.00,39.00
2026-03-13T01:46:00Z,62.00,40.00
2026-03-13T01:47:00Z,62.00,40.22
2026-03-13T01:48:00Z,61.00,40.22
2026-03-13T01:49:00Z,61.60,40.22
2026-03-13T01:51:00Z,62.00,40.22
2026-03-13T01:52:00Z,62.00,40.22
2026-03-13T01:54:00Z,62.00,40.22
2026-03-13T01:55:00Z,62.00,40.00
2026-03-13T01:56:00Z,62.00,40.00
2026-03-13T01:57:00Z,62.00,40.00
2026-03-13T01:59:00Z,62.00,40.00
2026-03-13T02:00:00Z,62.00,40.00
2026-03-13T02:01:00Z,62.79,40.00
2026-03-13T02:03:00Z,59.35,48.85
2026-03-13T02:04:00Z,54.83,48.85
2026-03-13T02:05:00Z,55.85,45.00
2026-03-13T02:06:00Z,58.46,45.00
2026-03-13T02:07:00Z,60.16,41.53
2026-03-13T02:08:00Z,65.25,34.00
2026-03-13T02:09:00Z,73.27,31.76
2026-03-13T02:10:00Z,74.00,27.00
2026-03-13T02:11:00Z,76.27,27.00
2026-03-13T02:12:00Z,77.71,23.13
2026-03-13T02:13:00Z,77.82,22.63
2026-03-13T02:14:00Z,77.87,23.64
2026-03-13T02:15:00Z,79.00,21.59
2026-03-13T02:16:00Z,78.00,22.00
2026-03-13T02:18:00Z,79.00,22.00
2026-03-13T02:19:00Z,80.74,22.00
2026-03-13T02:20:00Z,80.45,22.00
2026-03-13T02:21:00Z,78.08,22.00
2026-03-13T02:22:00Z,78.53,22.00
2026-03-13T02:23:00Z,77.00,23.00
2026-03-13T02:24:00Z,77.53,24.66
2026-03-13T02:25:00Z,77.00,25.00
2026-03-13T02:26:00Z,74.88,27.18
2026-03-13T02:27:00Z,76.57,27.18
2026-03-13T02:28:00Z,79.42,25.67
2026-03-13T02:29:00Z,80.95,19.69
2026-03-13T02:30:00Z,77.43,21.00
2026-03-13T02:31:00Z,78.87,23.00
2026-03-13T02:32:00Z,79.00,22.28
2026-03-13T02:33:00Z,79.09,25.14
2026-03-13T02:34:00Z,79.73,25.14
2026-03-13T02:35:00Z,76.35,26.66
2026-03-13T02:36:00Z,74.70,28.00
2026-03-13T02:37:00Z,79.57,20.15
2026-03-13T02:38:00Z,80.50,20.00
2026-03-13T02:39:00Z,80.99,20.00
2026-03-13T02:40:00Z,80.91,20.00
2026-03-13T02:41:00Z,81.95,19.06
2026-03-13T02:42:00Z,82.23,19.06
2026-03-13T02:43:00Z,80.39,21.09
2026-03-13T02:44:00Z,79.84,21.79
2026-03-13T02:45:00Z,77.73,23.55
2026-03-13T02:46:00Z,80.56,24.00
2026-03-13T02:47:00Z,80.00,24.68
2026-03-13T02:48:00Z,71.03,34.45
2026-03-13T02:49:00Z,75.28,30.70
2026-03-13T02:50:00Z,79.86,22.16
2026-03-13T02:51:00Z,80.72,21.73
2026-03-13T02:52:00Z,79.49,22.01
2026-03-13T02:53:00Z,78.00,24.74
2026-03-13T02:54:00Z,77.09,25.00
2026-03-13T02:55:00Z,75.99,25.00
2026-03-13T02:56:00Z,75.27,27.55
2026-03-13T02:57:00Z,76.61,32.15
2026-03-13T02:58:00Z,77.19,25.00
2026-03-13T02:59:00Z,81.17,19.45
2026-03-13T03:00:00Z,88.30,14.13
2026-03-13T03:01:00Z,81.82,20.50
2026-03-13T03:02:00Z,92.92,6.10
2026-03-13T03:03:00Z,92.12,7.39
2026-03-13T03:04:00Z,91.73,8.76
2026-03-13T03:05:00Z,85.57,11.00
2026-03-13T03:06:00Z,89.42,16.85
2026-03-13T03:07:00Z,79.00,19.59
2026-03-13T03:08:00Z,79.78,22.98
2026-03-13T03:09:00Z,78.47,20.54
2026-03-13T03:10:00Z,76.30,25.05
2026-03-13T03:11:00Z,73.07,28.97
2026-03-13T03:12:00Z,73.00,28.00
2026-03-13T03:13:00Z,75.66,24.00
2026-03-13T03:14:00Z,77.62,21.03
2026-03-13T03:15:00Z,78.14,22.36
2026-03-13T03:16:00Z,79.40,19.17
2026-03-13T03:17:00Z,86.15,19.67
2026-03-13T03:18:00Z,95.27,7.04
2026-03-13T03:19:00Z,96.65,3.26
2026-03-13T03:20:00Z,96.72,4.00
2026-03-13T03:21:00Z,98.02,2.71
2026-03-13T03:22:00Z,96.86,5.75
2026-03-13T03:23:00Z,97.35,2.76
2026-03-13T03:24:00Z,90.86,10.29
2026-03-13T03:25:00Z,94.29,5.85
2026-03-13T03:26:00Z,98.70,1.00
2026-03-13T03:27:00Z,99.00,1.00
2026-03-13T03:28:00Z,99.00,1.00
2026-03-13T03:29:00Z,99.00,1.00
2026-03-13T03:30:00Z,99.00,1.00
2026-03-13T03:31:00Z,99.00,1.00
