# event_ticker=KXATPCHALLENGERMATCH-26APR06BRAVAR
# final_score=6-1 6-1
# match_winner=Juan Pablo Varillas
# fav_player=Juan Pablo Varillas
# dog_player=Victor Braga
# kalshi_date=2026-04-06
timestamp,Juan Pablo Varillas,Victor Braga
2026-04-06T08:26:00Z,95.87,6.00
2026-04-06T08:50:00Z,95.87,7.00
2026-04-06T10:36:00Z,95.87,8.00
2026-04-06T10:42:00Z,95.87,9.00
2026-04-06T10:55:00Z,95.87,5.00
2026-04-06T13:36:00Z,95.87,7.00
2026-04-06T13:42:00Z,95.87,7.00
2026-04-06T13:55:00Z,95.87,6.00
2026-04-06T14:18:00Z,95.87,7.00
2026-04-06T14:23:00Z,95.87,6.00
2026-04-06T14:25:00Z,95.87,7.00
2026-04-06T14:29:00Z,95.00,7.00
2026-04-06T14:56:00Z,95.00,7.00
2026-04-06T14:58:00Z,95.00,6.00
2026-04-06T15:48:00Z,95.00,8.86
2026-04-06T15:52:00Z,95.00,6.00
2026-04-06T15:54:00Z,95.00,9.00
2026-04-06T16:00:00Z,95.00,7.00
2026-04-06T16:02:00Z,95.00,6.99
2026-04-06T16:06:00Z,95.00,7.00
2026-04-06T16:20:00Z,95.00,7.00
2026-04-06T16:21:00Z,94.00,7.00
2026-04-06T16:24:00Z,94.00,6.57
2026-04-06T16:28:00Z,94.00,6.57
2026-04-06T16:30:00Z,94.00,7.00
2026-04-06T16:31:00Z,94.00,7.00
2026-04-06T16:36:00Z,94.00,7.00
2026-04-06T16:39:00Z,94.00,7.00
2026-04-06T16:43:00Z,94.00,7.00
2026-04-06T16:44:00Z,94.00,7.00
2026-04-06T16:48:00Z,94.00,7.00
2026-04-06T16:51:00Z,94.00,7.00
2026-04-06T16:58:00Z,94.00,7.00
2026-04-06T17:02:00Z,94.00,7.00
2026-04-06T17:13:00Z,94.00,7.00
2026-04-06T17:15:00Z,94.00,7.00
2026-04-06T17:22:00Z,94.00,7.00
2026-04-06T17:34:00Z,94.00,7.00
2026-04-06T17:35:00Z,94.00,7.00
2026-04-06T17:44:00Z,94.00,7.00
2026-04-06T17:46:00Z,94.00,7.00
2026-04-06T17:52:00Z,94.00,7.00
2026-04-06T17:55:00Z,94.00,6.00
2026-04-06T17:58:00Z,94.00,6.00
2026-04-06T17:59:00Z,94.00,6.00
2026-04-06T18:00:00Z,94.00,7.00
2026-04-06T18:01:00Z,94.00,7.00
2026-04-06T18:04:00Z,94.00,7.00
2026-04-06T18:05:00Z,94.00,6.96
2026-04-06T18:06:00Z,94.00,7.00
2026-04-06T18:14:00Z,94.00,7.00
2026-04-06T18:15:00Z,94.00,4.54
2026-04-06T18:20:00Z,94.00,8.75
2026-04-06T18:21:00Z,94.00,7.00
2026-04-06T18:23:00Z,95.00,6.00
