# event_ticker=KXATPCHALLENGERMATCH-26APR06DOSPUR
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Stefan Dostanic
# fav_player=Saba Purtseladze
# dog_player=Stefan Dostanic
# kalshi_date=2026-04-06
timestamp,Saba Purtseladze,Stefan Dostanic
2026-04-06T08:14:00Z,25.00,76.00
2026-04-06T11:10:00Z,25.00,79.00
2026-04-06T13:32:00Z,24.00,79.00
2026-04-06T14:41:00Z,24.00,79.00
2026-04-06T14:43:00Z,23.00,79.00
2026-04-06T14:58:00Z,23.00,80.00
2026-04-06T15:13:00Z,20.18,80.00
2026-04-06T15:28:00Z,20.18,81.00
2026-04-06T15:45:00Z,20.18,81.00
2026-04-06T15:47:00Z,20.18,81.00
2026-04-06T16:14:00Z,20.18,80.00
2026-04-06T16:15:00Z,20.18,80.00
2026-04-06T16:45:00Z,23.00,79.00
2026-04-06T16:52:00Z,23.00,80.00
2026-04-06T16:57:00Z,23.00,79.00
2026-04-06T16:58:00Z,23.00,80.00
2026-04-06T17:06:00Z,22.71,79.00
2026-04-06T17:11:00Z,22.71,80.00
2026-04-06T17:16:00Z,22.71,81.52
2026-04-06T17:18:00Z,22.71,81.00
2026-04-06T17:21:00Z,21.96,81.00
2026-04-06T17:36:00Z,21.96,81.00
2026-04-06T17:40:00Z,21.96,80.74
2026-04-06T17:44:00Z,21.96,81.00
2026-04-06T17:48:00Z,22.00,81.00
2026-04-06T17:49:00Z,22.00,85.18
2026-04-06T17:50:00Z,22.00,85.18
2026-04-06T17:52:00Z,23.29,79.51
2026-04-06T17:53:00Z,23.29,80.00
2026-04-06T17:54:00Z,22.26,80.00
2026-04-06T17:55:00Z,22.26,80.40
2026-04-06T17:56:00Z,21.49,80.40
2026-04-06T17:57:00Z,22.39,80.93
2026-04-06T17:58:00Z,22.69,78.64
2026-04-06T17:59:00Z,24.51,74.05
2026-04-06T18:00:00Z,21.73,78.37
2026-04-06T18:01:00Z,21.76,77.27
2026-04-06T18:02:00Z,18.63,81.13
2026-04-06T18:03:00Z,19.30,82.31
2026-04-06T18:04:00Z,21.05,79.02
2026-04-06T18:05:00Z,18.30,82.00
2026-04-06T18:06:00Z,19.15,82.80
2026-04-06T18:07:00Z,13.85,84.84
2026-04-06T18:08:00Z,13.00,84.84
2026-04-06T18:09:00Z,13.00,84.84
2026-04-06T18:10:00Z,15.57,86.00
2026-04-06T18:11:00Z,13.58,86.65
2026-04-06T18:12:00Z,12.03,88.50
2026-04-06T18:13:00Z,10.16,90.00
2026-04-06T18:14:00Z,9.49,90.00
2026-04-06T18:15:00Z,9.53,90.45
2026-04-06T18:16:00Z,8.71,93.97
2026-04-06T18:17:00Z,8.00,93.55
2026-04-06T18:18:00Z,8.00,93.82
2026-04-06T18:19:00Z,6.79,93.99
2026-04-06T18:20:00Z,6.87,90.42
2026-04-06T18:21:00Z,7.48,93.00
2026-04-06T18:22:00Z,7.25,94.00
2026-04-06T18:23:00Z,6.89,93.00
2026-04-06T18:24:00Z,5.93,93.00
2026-04-06T18:25:00Z,5.56,95.00
2026-04-06T18:26:00Z,6.00,94.07
2026-04-06T18:27:00Z,6.00,95.00
2026-04-06T18:28:00Z,5.84,94.98
2026-04-06T18:29:00Z,4.30,96.00
2026-04-06T18:30:00Z,3.06,96.98
2026-04-06T18:31:00Z,4.00,96.98
2026-04-06T18:32:00Z,3.28,97.00
2026-04-06T18:33:00Z,3.04,97.08
2026-04-06T18:34:00Z,2.97,98.00
2026-04-06T18:35:00Z,2.00,98.00
2026-04-06T18:36:00Z,2.07,98.00
2026-04-06T18:37:00Z,1.00,99.00
2026-04-06T18:38:00Z,2.00,99.00
2026-04-06T18:39:00Z,1.00,99.00
2026-04-06T18:40:00Z,1.20,99.00
2026-04-06T18:41:00Z,1.27,99.00
2026-04-06T18:42:00Z,2.00,99.00
2026-04-06T18:43:00Z,1.39,99.00
2026-04-06T18:45:00Z,1.39,99.00
2026-04-06T18:46:00Z,1.00,99.00
2026-04-06T18:47:00Z,1.00,99.00
2026-04-06T18:48:00Z,1.00,99.00
2026-04-06T18:49:00Z,1.00,99.00
2026-04-06T18:50:00Z,1.00,99.00
2026-04-06T18:51:00Z,1.00,99.00
2026-04-06T18:52:00Z,1.91,98.11
2026-04-06T18:53:00Z,4.47,97.33
2026-04-06T18:54:00Z,4.80,95.10
2026-04-06T18:55:00Z,6.16,94.98
2026-04-06T18:56:00Z,6.20,95.31
2026-04-06T18:57:00Z,4.67,96.54
2026-04-06T18:58:00Z,6.66,94.69
2026-04-06T18:59:00Z,4.28,96.07
2026-04-06T19:00:00Z,3.19,96.83
2026-04-06T19:01:00Z,2.76,97.45
2026-04-06T19:02:00Z,1.94,97.92
2026-04-06T19:03:00Z,1.05,97.92
2026-04-06T19:08:00Z,1.00,97.92
