# event_ticker=KXATPCHALLENGERMATCH-26APR03MARBRA
# final_score=6-0 5-7 6-1
# score_resolution=0-6 7-5 1-6
# match_winner=Raul Brancaccio
# fav_player=Matteo Martineau
# dog_player=Raul Brancaccio
# kalshi_date=2026-04-03
timestamp,Matteo Martineau,Raul Brancaccio
2026-04-03T00:06:00Z,,45.00
2026-04-03T00:36:00Z,,45.00
2026-04-03T00:46:00Z,,45.00
2026-04-03T00:49:00Z,,46.00
2026-04-03T03:04:00Z,56.00,46.00
2026-04-03T04:45:00Z,56.00,46.00
2026-04-03T04:49:00Z,56.00,46.00
2026-04-03T05:28:00Z,56.00,45.00
2026-04-03T05:49:00Z,56.00,45.00
2026-04-03T05:53:00Z,56.00,44.00
2026-04-03T06:09:00Z,56.00,44.00
2026-04-03T06:15:00Z,56.00,44.00
2026-04-03T06:18:00Z,56.00,44.00
2026-04-03T06:29:00Z,56.00,44.00
2026-04-03T06:45:00Z,56.00,44.00
2026-04-03T06:55:00Z,55.00,44.00
2026-04-03T07:01:00Z,55.00,44.00
2026-04-03T07:38:00Z,55.00,44.00
2026-04-03T07:43:00Z,55.00,44.00
2026-04-03T07:52:00Z,55.00,44.00
2026-04-03T08:21:00Z,55.00,44.00
2026-04-03T09:03:00Z,55.00,44.00
2026-04-03T09:36:00Z,55.00,44.00
2026-04-03T10:04:00Z,55.00,47.00
2026-04-03T10:10:00Z,56.00,47.00
2026-04-03T10:12:00Z,54.00,47.00
2026-04-03T10:33:00Z,66.41,40.00
2026-04-03T10:36:00Z,58.00,40.00
2026-04-03T10:43:00Z,62.34,40.00
2026-04-03T10:45:00Z,54.00,40.00
2026-04-03T11:00:00Z,61.00,40.00
2026-04-03T11:03:00Z,61.71,40.00
2026-04-03T11:14:00Z,62.00,40.00
2026-04-03T11:27:00Z,62.00,47.04
2026-04-03T11:28:00Z,58.00,47.04
2026-04-03T11:29:00Z,54.00,49.83
2026-04-03T11:30:00Z,51.00,49.62
2026-04-03T11:31:00Z,51.00,50.44
2026-04-03T11:32:00Z,56.66,51.84
2026-04-03T11:33:00Z,51.08,51.00
2026-04-03T11:34:00Z,53.06,46.95
2026-04-03T11:35:00Z,52.56,51.00
2026-04-03T11:36:00Z,44.67,56.27
2026-04-03T11:38:00Z,44.67,63.00
2026-04-03T11:40:00Z,40.99,64.50
2026-04-03T11:41:00Z,41.00,60.00
2026-04-03T11:42:00Z,39.04,61.91
2026-04-03T11:43:00Z,33.55,66.00
2026-04-03T11:45:00Z,34.49,67.11
2026-04-03T11:46:00Z,33.47,63.67
2026-04-03T11:47:00Z,30.35,63.67
2026-04-03T11:48:00Z,30.35,70.00
2026-04-03T11:49:00Z,31.00,69.64
2026-04-03T11:51:00Z,29.05,69.64
2026-04-03T11:52:00Z,27.00,76.00
2026-04-03T11:53:00Z,27.00,76.96
2026-04-03T11:54:00Z,24.00,78.88
2026-04-03T11:55:00Z,26.36,76.05
2026-04-03T11:56:00Z,26.36,77.46
2026-04-03T11:57:00Z,26.36,79.57
2026-04-03T11:58:00Z,22.63,78.00
2026-04-03T11:59:00Z,23.00,78.00
2026-04-03T12:00:00Z,23.03,77.98
2026-04-03T12:01:00Z,25.00,83.54
2026-04-03T12:02:00Z,17.49,85.00
2026-04-03T12:03:00Z,13.55,86.43
2026-04-03T12:04:00Z,17.82,85.39
2026-04-03T12:05:00Z,13.02,90.34
2026-04-03T12:06:00Z,6.57,94.42
2026-04-03T12:07:00Z,13.39,93.27
2026-04-03T12:08:00Z,6.14,95.98
2026-04-03T12:09:00Z,12.71,89.12
2026-04-03T12:10:00Z,4.57,94.39
2026-04-03T12:11:00Z,6.47,93.66
2026-04-03T12:12:00Z,4.69,96.41
2026-04-03T12:13:00Z,6.00,95.10
2026-04-03T12:14:00Z,6.05,94.91
2026-04-03T12:15:00Z,7.36,92.30
2026-04-03T12:16:00Z,17.80,85.34
2026-04-03T12:17:00Z,17.99,83.54
2026-04-03T12:18:00Z,18.47,81.75
2026-04-03T12:19:00Z,25.19,81.47
2026-04-03T12:20:00Z,28.50,87.62
2026-04-03T12:21:00Z,15.75,84.66
2026-04-03T12:22:00Z,9.68,91.46
2026-04-03T12:23:00Z,6.50,93.36
2026-04-03T12:24:00Z,5.96,95.05
2026-04-03T12:25:00Z,11.88,87.53
2026-04-03T12:26:00Z,16.21,84.01
2026-04-03T12:27:00Z,16.70,85.29
2026-04-03T12:28:00Z,23.77,84.82
2026-04-03T12:29:00Z,16.28,84.48
2026-04-03T12:30:00Z,20.14,82.00
2026-04-03T12:31:00Z,13.22,87.48
2026-04-03T12:32:00Z,4.49,95.94
2026-04-03T12:33:00Z,12.00,91.31
2026-04-03T12:34:00Z,13.77,86.76
2026-04-03T12:35:00Z,14.48,87.54
2026-04-03T12:36:00Z,27.81,82.87
2026-04-03T12:37:00Z,21.51,82.71
2026-04-03T12:38:00Z,23.66,78.12
2026-04-03T12:39:00Z,21.73,79.35
2026-04-03T12:40:00Z,30.51,73.76
2026-04-03T12:41:00Z,30.21,68.22
2026-04-03T12:42:00Z,41.49,61.92
2026-04-03T12:43:00Z,39.49,57.88
2026-04-03T12:44:00Z,45.24,55.46
2026-04-03T12:45:00Z,56.46,46.63
2026-04-03T12:46:00Z,51.35,50.25
2026-04-03T12:47:00Z,50.32,49.23
2026-04-03T12:48:00Z,51.97,49.45
2026-04-03T12:49:00Z,50.74,49.83
2026-04-03T12:50:00Z,53.20,48.47
2026-04-03T12:51:00Z,49.71,52.13
2026-04-03T12:52:00Z,51.85,50.92
2026-04-03T12:53:00Z,54.77,47.14
2026-04-03T12:54:00Z,49.31,49.19
2026-04-03T12:55:00Z,55.01,45.85
2026-04-03T12:56:00Z,44.24,52.40
2026-04-03T12:57:00Z,45.51,59.49
2026-04-03T12:58:00Z,33.62,64.94
2026-04-03T12:59:00Z,29.99,67.14
2026-04-03T13:00:00Z,22.96,77.08
2026-04-03T13:01:00Z,19.53,80.74
2026-04-03T13:02:00Z,21.39,83.57
2026-04-03T13:03:00Z,27.56,73.17
2026-04-03T13:04:00Z,31.67,73.79
2026-04-03T13:05:00Z,27.60,73.98
2026-04-03T13:06:00Z,26.08,73.63
2026-04-03T13:07:00Z,13.10,85.94
2026-04-03T13:08:00Z,10.83,86.12
2026-04-03T13:09:00Z,9.54,87.21
2026-04-03T13:10:00Z,13.54,87.96
2026-04-03T13:11:00Z,12.00,88.96
2026-04-03T13:12:00Z,16.04,85.38
2026-04-03T13:13:00Z,14.46,87.86
2026-04-03T13:14:00Z,22.52,84.51
2026-04-03T13:15:00Z,20.58,85.78
2026-04-03T13:16:00Z,24.68,84.02
2026-04-03T13:17:00Z,12.46,89.27
2026-04-03T13:18:00Z,7.86,90.90
2026-04-03T13:19:00Z,5.57,91.83
2026-04-03T13:20:00Z,10.11,93.88
2026-04-03T13:21:00Z,10.22,93.14
2026-04-03T13:22:00Z,6.93,93.56
2026-04-03T13:23:00Z,2.72,93.28
2026-04-03T13:24:00Z,10.33,91.96
2026-04-03T13:25:00Z,2.19,97.99
2026-04-03T13:26:00Z,4.56,98.95
2026-04-03T13:27:00Z,2.17,99.00
2026-04-03T13:28:00Z,2.17,99.00
2026-04-03T13:29:00Z,1.00,99.00
2026-04-03T13:31:00Z,1.00,99.00
2026-04-03T13:32:00Z,1.00,99.00
