# event_ticker=KXATPMATCH-26JAN14DAVHIJ
# final_score=6-3 6-2
# match_winner=Alejandro Davidovich Fokina
# fav_player=Alejandro Davidovich Fokina
# dog_player=Rinky Hijikata
# kalshi_date=2026-01-14
timestamp,Alejandro Davidovich Fokina,Rinky Hijikata
2026-01-13T21:30:00Z,68.00,
2026-01-13T21:50:00Z,71.00,
2026-01-13T22:11:00Z,71.00,
2026-01-13T22:17:00Z,71.00,30.50
2026-01-13T22:21:00Z,71.00,32.00
2026-01-13T22:23:00Z,71.00,29.00
2026-01-13T23:31:00Z,70.00,29.00
2026-01-13T23:53:00Z,70.00,29.00
2026-01-14T01:18:00Z,70.00,29.00
2026-01-14T03:25:00Z,71.07,29.00
2026-01-14T03:31:00Z,71.07,31.00
2026-01-14T04:04:00Z,71.07,31.00
2026-01-14T04:14:00Z,71.07,31.00
2026-01-14T04:31:00Z,72.00,31.00
2026-01-14T04:32:00Z,69.00,31.00
2026-01-14T04:35:00Z,72.00,31.00
2026-01-14T04:41:00Z,72.00,31.00
2026-01-14T04:42:00Z,72.00,31.00
2026-01-14T04:46:00Z,72.00,31.00
2026-01-14T04:50:00Z,72.00,31.00
2026-01-14T04:56:00Z,72.00,31.00
2026-01-14T04:57:00Z,72.00,31.00
2026-01-14T05:00:00Z,72.00,31.00
2026-01-14T05:12:00Z,72.00,31.00
2026-01-14T05:30:00Z,72.00,31.00
2026-01-14T05:37:00Z,72.00,31.00
2026-01-14T05:40:00Z,71.83,31.00
2026-01-14T05:53:00Z,72.00,31.00
2026-01-14T05:54:00Z,72.00,31.00
2026-01-14T06:06:00Z,71.00,31.00
2026-01-14T06:13:00Z,71.35,31.00
2026-01-14T06:26:00Z,71.00,31.00
2026-01-14T06:28:00Z,71.00,30.00
2026-01-14T06:34:00Z,71.00,30.00
2026-01-14T06:35:00Z,71.00,30.00
2026-01-14T06:36:00Z,68.22,31.03
2026-01-14T06:37:00Z,71.00,31.03
2026-01-14T06:41:00Z,71.00,31.03
2026-01-14T06:42:00Z,71.00,32.69
2026-01-14T06:48:00Z,71.00,32.69
2026-01-14T06:49:00Z,71.00,32.69
2026-01-14T06:54:00Z,70.00,32.69
2026-01-14T07:05:00Z,70.00,32.69
2026-01-14T07:06:00Z,70.00,32.69
2026-01-14T07:09:00Z,70.00,32.00
2026-01-14T07:13:00Z,70.00,32.81
2026-01-14T07:16:00Z,70.00,32.94
2026-01-14T07:18:00Z,70.00,32.86
2026-01-14T07:20:00Z,70.00,32.71
2026-01-14T07:22:00Z,71.00,32.00
2026-01-14T07:31:00Z,71.00,32.43
2026-01-14T07:32:00Z,71.00,32.00
2026-01-14T07:35:00Z,71.00,32.00
2026-01-14T07:37:00Z,69.00,32.00
2026-01-14T07:42:00Z,69.00,32.00
2026-01-14T07:45:00Z,69.00,32.00
2026-01-14T07:46:00Z,69.46,32.00
2026-01-14T07:47:00Z,69.41,32.00
2026-01-14T07:48:00Z,69.41,32.92
2026-01-14T07:49:00Z,69.00,32.92
2026-01-14T07:50:00Z,69.00,32.92
2026-01-14T07:51:00Z,69.00,32.11
2026-01-14T07:53:00Z,69.00,32.11
2026-01-14T07:54:00Z,69.00,32.95
2026-01-14T07:55:00Z,69.00,32.98
2026-01-14T07:56:00Z,68.00,32.98
2026-01-14T07:58:00Z,68.00,32.98
2026-01-14T07:59:00Z,68.00,32.98
2026-01-14T08:00:00Z,69.29,34.33
2026-01-14T08:01:00Z,71.95,34.00
2026-01-14T08:02:00Z,71.95,34.42
2026-01-14T08:03:00Z,70.66,34.42
2026-01-14T08:04:00Z,70.66,34.00
2026-01-14T08:05:00Z,71.51,34.00
2026-01-14T08:06:00Z,72.00,34.00
2026-01-14T08:07:00Z,70.10,32.56
2026-01-14T08:08:00Z,70.10,32.91
2026-01-14T08:09:00Z,69.44,32.91
2026-01-14T08:10:00Z,71.35,34.54
2026-01-14T08:11:00Z,68.00,33.71
2026-01-14T08:12:00Z,66.53,35.00
2026-01-14T08:13:00Z,66.53,35.00
2026-01-14T08:14:00Z,67.38,35.00
2026-01-14T08:15:00Z,64.24,36.08
2026-01-14T08:16:00Z,70.39,35.00
2026-01-14T08:17:00Z,66.23,34.80
2026-01-14T08:18:00Z,69.00,30.00
2026-01-14T08:19:00Z,73.56,26.31
2026-01-14T08:20:00Z,77.00,26.31
2026-01-14T08:21:00Z,80.00,21.00
2026-01-14T08:22:00Z,82.85,19.12
2026-01-14T08:23:00Z,82.85,15.08
2026-01-14T08:24:00Z,84.79,15.08
2026-01-14T08:25:00Z,83.49,17.00
2026-01-14T08:26:00Z,83.00,17.00
2026-01-14T08:27:00Z,83.00,18.00
2026-01-14T08:28:00Z,88.62,15.17
2026-01-14T08:29:00Z,85.94,15.15
2026-01-14T08:30:00Z,86.00,14.33
2026-01-14T08:31:00Z,86.02,15.71
2026-01-14T08:32:00Z,85.33,13.05
2026-01-14T08:33:00Z,87.44,13.15
2026-01-14T08:34:00Z,86.83,12.76
2026-01-14T08:35:00Z,85.27,16.04
2026-01-14T08:36:00Z,85.00,18.00
2026-01-14T08:37:00Z,77.75,22.73
2026-01-14T08:38:00Z,84.15,18.07
2026-01-14T08:39:00Z,86.56,16.00
2026-01-14T08:40:00Z,86.38,15.74
2026-01-14T08:41:00Z,88.00,18.03
2026-01-14T08:42:00Z,85.00,16.08
2026-01-14T08:43:00Z,89.50,13.08
2026-01-14T08:44:00Z,90.41,8.27
2026-01-14T08:45:00Z,90.41,9.45
2026-01-14T08:46:00Z,91.79,9.00
2026-01-14T08:47:00Z,92.95,7.56
