# event_ticker=KXATPCHALLENGERMATCH-26MAR24SANMON
# final_score=6-3 6-0
# match_winner=Alejo Sanchez Quilez
# fav_player=Alejo Sanchez Quilez
# dog_player=Inaki Montes-de la Torre
# kalshi_date=2026-03-24
timestamp,Alejo Sanchez Quilez,Inaki Montes-de la Torre
2026-03-24T05:01:00Z,33.00,
2026-03-24T06:01:00Z,33.00,66.80
2026-03-24T06:05:00Z,34.00,66.80
2026-03-24T06:16:00Z,34.00,65.00
2026-03-24T07:54:00Z,34.00,71.00
2026-03-24T08:01:00Z,35.00,71.00
2026-03-24T09:04:00Z,30.00,69.00
2026-03-24T10:34:00Z,30.00,69.00
2026-03-24T10:53:00Z,30.00,69.00
2026-03-24T11:14:00Z,31.00,69.00
2026-03-24T11:45:00Z,31.00,69.00
2026-03-24T11:50:00Z,31.00,68.00
2026-03-24T11:51:00Z,31.00,69.00
2026-03-24T12:18:00Z,30.00,69.00
2026-03-24T12:26:00Z,30.00,69.00
2026-03-24T12:39:00Z,30.00,69.00
2026-03-24T12:42:00Z,31.00,69.00
2026-03-24T12:43:00Z,32.00,69.00
2026-03-24T13:06:00Z,30.00,70.00
2026-03-24T13:48:00Z,30.00,71.00
2026-03-24T13:53:00Z,32.00,71.00
2026-03-24T14:19:00Z,32.00,71.73
2026-03-24T14:21:00Z,32.00,72.00
2026-03-24T14:44:00Z,31.00,72.00
2026-03-24T15:00:00Z,31.00,72.00
2026-03-24T15:14:00Z,31.00,72.00
2026-03-24T15:24:00Z,31.00,72.00
2026-03-24T15:51:00Z,29.99,73.00
2026-03-24T15:52:00Z,30.59,73.00
2026-03-24T15:53:00Z,31.00,72.00
2026-03-24T15:55:00Z,31.00,72.00
2026-03-24T15:56:00Z,33.00,72.77
2026-03-24T15:57:00Z,26.00,75.12
2026-03-24T15:58:00Z,24.49,80.00
2026-03-24T15:59:00Z,22.97,79.99
2026-03-24T16:00:00Z,30.00,74.00
2026-03-24T16:01:00Z,28.64,68.00
2026-03-24T16:02:00Z,22.41,76.77
2026-03-24T16:03:00Z,21.00,76.77
2026-03-24T16:04:00Z,23.00,80.00
2026-03-24T16:05:00Z,20.64,87.76
2026-03-24T16:06:00Z,21.00,79.00
2026-03-24T16:07:00Z,22.00,79.00
2026-03-24T16:09:00Z,15.00,88.00
2026-03-24T16:10:00Z,16.99,83.00
2026-03-24T16:11:00Z,16.00,83.00
2026-03-24T16:13:00Z,17.81,82.97
2026-03-24T16:14:00Z,18.17,80.80
2026-03-24T16:15:00Z,18.17,79.00
2026-03-24T16:16:00Z,24.50,79.00
2026-03-24T16:17:00Z,28.29,72.00
2026-03-24T16:18:00Z,33.78,66.02
2026-03-24T16:19:00Z,31.00,67.23
2026-03-24T16:20:00Z,28.34,73.00
2026-03-24T16:21:00Z,28.21,76.00
2026-03-24T16:22:00Z,22.98,75.00
2026-03-24T16:23:00Z,21.00,75.00
2026-03-24T16:24:00Z,19.00,81.00
2026-03-24T16:25:00Z,18.90,80.00
2026-03-24T16:26:00Z,19.59,81.80
2026-03-24T16:27:00Z,22.00,77.99
2026-03-24T16:28:00Z,22.00,76.00
2026-03-24T16:29:00Z,31.77,74.91
2026-03-24T16:30:00Z,33.00,67.00
2026-03-24T16:31:00Z,33.00,69.50
2026-03-24T16:32:00Z,29.17,69.74
2026-03-24T16:33:00Z,37.30,64.51
2026-03-24T16:34:00Z,42.05,57.07
2026-03-24T16:35:00Z,44.04,56.98
2026-03-24T16:36:00Z,52.00,56.98
2026-03-24T16:37:00Z,55.41,46.99
2026-03-24T16:38:00Z,59.95,42.00
2026-03-24T16:39:00Z,56.87,44.38
2026-03-24T16:40:00Z,60.95,40.76
2026-03-24T16:41:00Z,56.32,48.00
2026-03-24T16:42:00Z,56.44,44.29
2026-03-24T16:43:00Z,65.00,35.13
2026-03-24T16:44:00Z,65.64,35.00
2026-03-24T16:45:00Z,65.00,35.00
2026-03-24T16:46:00Z,65.96,34.52
2026-03-24T16:47:00Z,64.49,34.52
2026-03-24T16:48:00Z,64.82,37.80
2026-03-24T16:49:00Z,66.00,39.00
2026-03-24T16:50:00Z,66.74,40.00
2026-03-24T16:51:00Z,62.70,45.19
2026-03-24T16:52:00Z,67.03,35.00
2026-03-24T16:53:00Z,68.48,34.84
2026-03-24T16:54:00Z,70.66,26.34
2026-03-24T16:55:00Z,77.00,24.20
2026-03-24T16:56:00Z,79.54,24.08
2026-03-24T16:57:00Z,80.03,23.00
2026-03-24T16:58:00Z,78.61,19.26
2026-03-24T16:59:00Z,83.34,16.58
2026-03-24T17:00:00Z,79.75,23.97
2026-03-24T17:01:00Z,83.74,17.29
2026-03-24T17:02:00Z,82.69,19.00
2026-03-24T17:03:00Z,87.06,12.48
2026-03-24T17:04:00Z,92.53,6.12
2026-03-24T17:05:00Z,92.45,7.50
2026-03-24T17:06:00Z,94.35,5.00
2026-03-24T17:07:00Z,95.12,4.62
2026-03-24T17:08:00Z,96.86,3.02
2026-03-24T17:09:00Z,96.00,4.18
2026-03-24T17:10:00Z,97.28,3.03
2026-03-24T17:11:00Z,98.74,3.00
2026-03-24T17:12:00Z,98.90,3.00
2026-03-24T17:13:00Z,98.83,1.02
2026-03-24T17:14:00Z,99.00,1.00
2026-03-24T17:15:00Z,99.00,1.00
2026-03-24T17:16:00Z,99.00,1.00
2026-03-24T17:17:00Z,99.00,1.00
2026-03-24T17:19:00Z,99.00,1.00
2026-03-24T17:22:00Z,99.00,1.00
