# event_ticker=KXATPCHALLENGERMATCH-26FEB14BONSQU
# final_score=7-6(6) 6-4
# score_resolution=7-6 6-4
# match_winner=Benjamin Bonzi
# fav_player=Benjamin Bonzi
# dog_player=Henri Squire
# kalshi_date=2026-02-14
timestamp,Benjamin Bonzi,Henri Squire
2026-02-14T04:30:00Z,67.00,
2026-02-14T05:52:00Z,67.00,33.00
2026-02-14T06:26:00Z,67.00,36.00
2026-02-14T07:00:00Z,66.00,36.00
2026-02-14T07:10:00Z,63.00,36.00
2026-02-14T07:25:00Z,63.00,36.00
2026-02-14T07:55:00Z,63.00,36.00
2026-02-14T08:00:00Z,63.00,36.00
2026-02-14T08:17:00Z,63.00,36.00
2026-02-14T08:50:00Z,63.00,36.00
2026-02-14T09:37:00Z,63.00,36.00
2026-02-14T09:39:00Z,63.00,36.00
2026-02-14T09:57:00Z,63.00,36.00
2026-02-14T10:01:00Z,63.00,36.00
2026-02-14T10:07:00Z,63.00,36.00
2026-02-14T10:09:00Z,63.00,38.00
2026-02-14T11:27:00Z,63.00,38.00
2026-02-14T12:02:00Z,63.00,36.28
2026-02-14T12:08:00Z,63.00,36.28
2026-02-14T12:12:00Z,67.00,36.28
2026-02-14T12:13:00Z,66.81,36.28
2026-02-14T12:17:00Z,67.00,36.28
2026-02-14T12:23:00Z,67.00,33.00
2026-02-14T12:29:00Z,65.89,33.00
2026-02-14T12:34:00Z,67.00,33.00
2026-02-14T12:35:00Z,67.00,33.00
2026-02-14T12:52:00Z,67.00,33.00
2026-02-14T12:53:00Z,67.00,33.00
2026-02-14T13:14:00Z,67.00,33.00
2026-02-14T13:18:00Z,67.00,33.00
2026-02-14T13:34:00Z,68.00,33.00
2026-02-14T13:35:00Z,68.00,33.00
2026-02-14T13:44:00Z,68.00,33.00
2026-02-14T13:45:00Z,68.00,33.00
2026-02-14T13:48:00Z,68.00,33.00
2026-02-14T13:50:00Z,68.00,33.00
2026-02-14T13:53:00Z,68.00,34.00
2026-02-14T14:06:00Z,68.00,34.00
2026-02-14T14:10:00Z,68.00,34.00
2026-02-14T14:11:00Z,68.00,34.00
2026-02-14T14:12:00Z,68.00,32.00
2026-02-14T14:26:00Z,68.00,32.00
2026-02-14T14:35:00Z,68.00,34.00
2026-02-14T14:53:00Z,69.00,34.00
2026-02-14T14:54:00Z,69.75,34.00
2026-02-14T14:56:00Z,69.75,33.00
2026-02-14T14:58:00Z,70.00,33.00
2026-02-14T15:01:00Z,70.00,33.00
2026-02-14T15:09:00Z,70.00,33.00
2026-02-14T15:13:00Z,69.99,33.00
2026-02-14T15:15:00Z,69.99,30.04
2026-02-14T15:19:00Z,69.99,33.00
2026-02-14T15:20:00Z,70.00,33.00
2026-02-14T15:22:00Z,70.00,33.00
2026-02-14T15:29:00Z,70.00,33.52
2026-02-14T15:30:00Z,69.65,33.52
2026-02-14T15:31:00Z,70.00,33.52
2026-02-14T15:34:00Z,70.00,33.00
