# event_ticker=KXATPCHALLENGERMATCH-26MAR16MIDVIL
# final_score=7-5 6-3
# match_winner=Lautaro Midon
# fav_player=Lautaro Midon
# dog_player=Gonzalo Villanueva
# kalshi_date=2026-03-16
timestamp,Lautaro Midon,Gonzalo Villanueva
2026-03-17T15:15:00Z,,36.00
2026-03-17T19:27:00Z,66.00,36.00
2026-03-17T19:38:00Z,66.00,36.00
2026-03-17T20:08:00Z,66.00,36.60
2026-03-17T20:42:00Z,66.00,36.60
2026-03-17T20:46:00Z,66.00,37.00
2026-03-17T20:53:00Z,66.00,37.00
2026-03-17T21:04:00Z,66.00,37.00
2026-03-17T21:27:00Z,66.00,37.00
2026-03-17T21:57:00Z,66.00,36.00
2026-03-17T22:41:00Z,66.00,36.00
2026-03-17T23:38:00Z,66.00,36.00
2026-03-18T00:03:00Z,66.00,36.00
2026-03-18T00:05:00Z,66.00,36.00
2026-03-18T00:11:00Z,66.00,36.00
2026-03-18T00:14:00Z,66.00,36.70
2026-03-18T00:32:00Z,66.00,36.70
2026-03-18T00:35:00Z,66.00,36.70
2026-03-18T00:43:00Z,66.00,35.00
2026-03-18T01:00:00Z,66.00,35.00
2026-03-18T01:03:00Z,66.00,35.00
2026-03-18T01:08:00Z,66.00,36.00
2026-03-18T01:09:00Z,66.00,36.00
2026-03-18T01:15:00Z,66.00,36.00
2026-03-18T01:18:00Z,66.00,36.00
2026-03-18T01:19:00Z,66.00,36.00
2026-03-18T01:22:00Z,66.00,36.00
2026-03-18T01:23:00Z,66.00,35.84
2026-03-18T01:27:00Z,68.00,35.84
2026-03-18T01:28:00Z,70.00,35.84
2026-03-18T01:29:00Z,70.00,32.89
2026-03-18T01:31:00Z,68.00,32.89
2026-03-18T01:35:00Z,70.75,32.00
2026-03-18T01:39:00Z,69.67,32.00
2026-03-18T01:43:00Z,69.99,32.00
2026-03-18T01:46:00Z,70.00,32.00
2026-03-18T01:53:00Z,69.19,32.00
2026-03-18T01:56:00Z,67.00,32.00
2026-03-18T01:59:00Z,67.00,32.00
2026-03-18T02:02:00Z,70.00,32.00
2026-03-18T02:05:00Z,70.00,33.00
2026-03-18T02:06:00Z,70.00,33.00
2026-03-18T02:18:00Z,70.00,29.02
2026-03-18T02:19:00Z,70.00,29.02
2026-03-18T02:21:00Z,70.00,32.00
2026-03-18T02:22:00Z,70.00,32.00
2026-03-18T02:24:00Z,70.00,33.00
2026-03-18T02:25:00Z,70.00,32.71
2026-03-18T02:26:00Z,70.00,32.71
2026-03-18T02:27:00Z,70.00,32.92
2026-03-18T02:30:00Z,70.00,32.00
2026-03-18T02:32:00Z,67.34,32.00
2026-03-18T02:33:00Z,69.00,32.78
2026-03-18T02:34:00Z,69.00,32.00
2026-03-18T02:35:00Z,69.05,32.00
2026-03-18T02:36:00Z,71.00,30.46
2026-03-18T02:37:00Z,73.62,30.46
2026-03-18T02:38:00Z,73.00,27.00
2026-03-18T02:39:00Z,73.00,29.34
2026-03-18T02:40:00Z,73.77,31.33
2026-03-18T02:41:00Z,70.00,29.20
2026-03-18T02:42:00Z,69.14,34.00
2026-03-18T02:44:00Z,69.14,30.05
2026-03-18T02:45:00Z,71.00,30.05
2026-03-18T02:46:00Z,72.00,27.00
2026-03-18T02:47:00Z,71.00,30.59
2026-03-18T02:48:00Z,69.10,31.02
2026-03-18T02:49:00Z,69.45,30.47
2026-03-18T02:50:00Z,67.37,32.52
2026-03-18T02:51:00Z,65.38,33.68
2026-03-18T02:52:00Z,63.17,36.63
2026-03-18T02:53:00Z,63.00,39.79
2026-03-18T02:54:00Z,68.82,32.12
2026-03-18T02:55:00Z,70.00,30.00
2026-03-18T02:56:00Z,68.00,31.00
2026-03-18T02:57:00Z,65.00,37.54
2026-03-18T02:58:00Z,63.01,38.42
2026-03-18T02:59:00Z,61.19,38.12
