# event_ticker=KXATPCHALLENGERMATCH-26MAY19ALKKRA
# final_score=6-3 6-1
# match_winner=Mert Alkaya
# fav_player=Mert Alkaya
# dog_player=Georgii Kravchenko
# kalshi_date=2026-05-19
timestamp,Mert Alkaya,Georgii Kravchenko
2026-05-19T01:45:00Z,51.13,
2026-05-19T01:54:00Z,53.00,
2026-05-19T03:10:00Z,52.00,
2026-05-19T07:51:00Z,52.00,
2026-05-19T11:13:00Z,52.00,50.00
2026-05-19T11:21:00Z,52.00,50.00
2026-05-19T11:25:00Z,52.51,50.00
2026-05-19T11:30:00Z,52.11,50.00
2026-05-19T11:54:00Z,52.11,50.00
2026-05-19T12:07:00Z,53.00,50.00
2026-05-19T12:09:00Z,54.00,50.00
2026-05-19T12:36:00Z,54.00,47.00
2026-05-19T12:41:00Z,54.00,47.00
2026-05-19T13:14:00Z,54.00,47.00
2026-05-19T13:19:00Z,53.00,47.00
2026-05-19T13:20:00Z,52.97,47.00
2026-05-19T13:22:00Z,53.00,47.00
2026-05-19T13:27:00Z,52.99,49.00
2026-05-19T13:28:00Z,53.09,49.00
2026-05-19T13:29:00Z,53.09,45.00
2026-05-19T13:30:00Z,57.01,47.00
2026-05-19T13:31:00Z,60.99,42.00
2026-05-19T13:32:00Z,55.00,46.00
2026-05-19T13:33:00Z,55.94,47.94
2026-05-19T13:34:00Z,54.25,47.00
2026-05-19T13:35:00Z,54.25,53.00
2026-05-19T13:36:00Z,54.94,45.87
2026-05-19T13:37:00Z,56.00,45.87
2026-05-19T13:38:00Z,57.03,44.00
2026-05-19T13:39:00Z,62.03,40.13
2026-05-19T13:40:00Z,55.06,45.98
2026-05-19T13:41:00Z,52.00,49.52
2026-05-19T13:42:00Z,51.05,50.00
2026-05-19T13:43:00Z,53.00,48.00
2026-05-19T13:44:00Z,54.84,46.00
2026-05-19T13:45:00Z,55.00,45.00
2026-05-19T13:46:00Z,55.99,46.00
2026-05-19T13:47:00Z,52.00,47.00
2026-05-19T13:48:00Z,52.14,48.97
2026-05-19T13:49:00Z,52.50,51.00
2026-05-19T13:50:00Z,54.99,51.00
2026-05-19T13:51:00Z,57.00,44.00
2026-05-19T13:52:00Z,57.00,44.00
2026-05-19T13:53:00Z,55.96,47.00
2026-05-19T13:54:00Z,56.06,43.47
2026-05-19T13:55:00Z,67.60,37.14
2026-05-19T13:56:00Z,63.97,37.14
2026-05-19T13:57:00Z,73.00,35.17
2026-05-19T13:58:00Z,77.30,24.00
2026-05-19T13:59:00Z,78.00,22.00
2026-05-19T14:00:00Z,80.00,22.00
2026-05-19T14:01:00Z,80.36,21.00
2026-05-19T14:02:00Z,80.87,21.00
2026-05-19T14:03:00Z,81.00,21.00
2026-05-19T14:05:00Z,81.00,20.00
2026-05-19T14:06:00Z,81.00,22.40
2026-05-19T14:07:00Z,79.63,21.52
2026-05-19T14:08:00Z,79.01,22.63
2026-05-19T14:09:00Z,77.95,22.09
2026-05-19T14:10:00Z,81.84,19.00
2026-05-19T14:11:00Z,81.30,19.00
2026-05-19T14:12:00Z,83.13,16.25
2026-05-19T14:13:00Z,88.33,10.83
2026-05-19T14:14:00Z,90.73,8.70
2026-05-19T14:15:00Z,91.18,8.59
2026-05-19T14:16:00Z,93.01,8.59
2026-05-19T14:17:00Z,93.00,8.59
2026-05-19T14:18:00Z,93.00,7.34
2026-05-19T14:19:00Z,92.20,8.00
2026-05-19T14:20:00Z,93.00,8.00
2026-05-19T14:21:00Z,93.00,6.91
2026-05-19T14:22:00Z,93.00,6.91
2026-05-19T14:23:00Z,96.69,3.08
2026-05-19T14:24:00Z,97.93,3.08
2026-05-19T14:25:00Z,97.00,2.00
2026-05-19T14:26:00Z,97.81,3.00
2026-05-19T14:27:00Z,97.15,3.48
2026-05-19T14:28:00Z,99.00,3.48
2026-05-19T14:29:00Z,99.00,2.00
2026-05-19T14:30:00Z,99.00,2.00
2026-05-19T14:31:00Z,99.00,1.00
2026-05-19T14:32:00Z,98.93,1.00
2026-05-19T14:33:00Z,99.00,1.31
2026-05-19T14:34:00Z,99.00,1.31
2026-05-19T14:35:00Z,99.00,1.31
2026-05-19T14:38:00Z,99.00,1.31
2026-05-19T14:39:00Z,99.00,1.00
2026-05-19T14:42:00Z,99.00,1.00
2026-05-19T14:44:00Z,99.00,1.00
2026-05-19T14:47:00Z,99.00,1.00
2026-05-19T14:48:00Z,99.00,1.00
2026-05-19T14:50:00Z,99.00,1.00
