# event_ticker=KXATPMATCH-25JUL20EVABER
# final_score=3-6 6-4 6-3
# match_winner=Daniel Evans
# fav_player=Daniel Evans
# dog_player=Zizou Bergs
# kalshi_date=2025-07-20
timestamp,Daniel Evans,Zizou Bergs
2025-07-21T05:16:00Z,37.00,
2025-07-21T05:37:00Z,37.00,65.00
2025-07-21T06:04:00Z,37.00,65.00
2025-07-21T06:09:00Z,37.00,65.00
2025-07-21T06:24:00Z,37.00,65.00
2025-07-21T07:00:00Z,37.00,65.00
2025-07-21T12:20:00Z,37.00,62.00
2025-07-21T13:12:00Z,37.24,62.00
2025-07-21T13:14:00Z,37.24,62.69
2025-07-21T13:40:00Z,38.00,63.00
2025-07-21T14:04:00Z,38.00,63.00
2025-07-21T14:32:00Z,38.00,60.09
2025-07-21T14:37:00Z,38.00,60.09
2025-07-21T15:37:00Z,38.00,59.71
2025-07-21T16:02:00Z,40.00,59.71
2025-07-21T16:05:00Z,40.00,61.00
2025-07-21T16:28:00Z,36.00,61.00
2025-07-21T16:37:00Z,36.00,63.00
2025-07-21T16:40:00Z,36.00,63.00
2025-07-21T16:41:00Z,39.00,63.00
2025-07-21T16:42:00Z,39.00,64.00
2025-07-21T16:43:00Z,39.00,65.00
2025-07-21T16:45:00Z,44.37,61.18
2025-07-21T16:46:00Z,42.00,61.47
2025-07-21T16:49:00Z,39.00,63.00
2025-07-21T16:51:00Z,41.00,63.00
2025-07-21T16:52:00Z,45.00,59.13
2025-07-21T16:53:00Z,49.00,57.53
2025-07-21T16:54:00Z,42.00,60.25
2025-07-21T16:55:00Z,47.00,60.25
2025-07-21T16:56:00Z,42.00,61.00
2025-07-21T16:57:00Z,40.00,62.56
2025-07-21T16:59:00Z,40.00,64.67
2025-07-21T17:00:00Z,38.00,64.67
2025-07-21T17:01:00Z,38.00,64.00
2025-07-21T17:03:00Z,35.96,66.97
2025-07-21T17:04:00Z,35.96,68.00
2025-07-21T17:05:00Z,35.96,67.00
2025-07-21T17:06:00Z,36.00,65.47
2025-07-21T17:08:00Z,39.00,65.47
2025-07-21T17:10:00Z,39.00,73.00
2025-07-21T17:11:00Z,39.95,62.00
2025-07-21T17:14:00Z,39.95,74.58
2025-07-21T17:15:00Z,36.00,74.58
2025-07-21T17:16:00Z,35.00,74.58
2025-07-21T17:17:00Z,35.00,63.00
2025-07-21T17:18:00Z,40.00,63.00
2025-07-21T17:20:00Z,40.00,63.00
2025-07-21T17:23:00Z,40.00,64.00
2025-07-21T17:24:00Z,36.00,67.00
2025-07-21T17:25:00Z,36.00,73.89
2025-07-21T17:26:00Z,36.00,75.61
2025-07-21T17:27:00Z,20.00,79.00
2025-07-21T17:28:00Z,20.00,77.00
2025-07-21T17:29:00Z,20.00,72.00
2025-07-21T17:30:00Z,26.23,80.44
2025-07-21T17:36:00Z,16.00,80.44
2025-07-21T17:37:00Z,16.00,80.99
2025-07-21T17:38:00Z,23.00,79.00
2025-07-21T17:39:00Z,23.00,78.85
2025-07-21T17:40:00Z,35.00,69.00
2025-07-21T17:41:00Z,36.51,69.00
2025-07-21T17:42:00Z,35.74,69.00
2025-07-21T17:44:00Z,25.00,69.00
2025-07-21T17:48:00Z,20.00,69.00
2025-07-21T17:49:00Z,22.00,79.00
2025-07-21T17:50:00Z,26.00,77.00
2025-07-21T17:51:00Z,26.00,77.00
2025-07-21T17:53:00Z,26.91,76.00
2025-07-21T17:54:00Z,25.00,78.88
2025-07-21T17:56:00Z,23.25,78.88
2025-07-21T17:59:00Z,25.00,86.26
2025-07-21T18:00:00Z,18.69,85.24
2025-07-21T18:01:00Z,18.69,82.98
2025-07-21T18:02:00Z,18.69,77.19
2025-07-21T18:03:00Z,18.69,78.00
2025-07-21T18:05:00Z,25.89,72.99
2025-07-21T18:06:00Z,23.32,77.93
2025-07-21T18:07:00Z,31.01,70.03
2025-07-21T18:08:00Z,28.22,77.12
2025-07-21T18:09:00Z,17.00,93.74
2025-07-21T18:10:00Z,18.86,81.04
2025-07-21T18:11:00Z,20.04,78.87
2025-07-21T18:12:00Z,20.19,83.45
2025-07-21T18:13:00Z,22.11,80.90
2025-07-21T18:14:00Z,19.32,82.78
2025-07-21T18:15:00Z,23.00,89.14
2025-07-21T18:16:00Z,24.00,85.97
2025-07-21T18:17:00Z,27.69,85.97
2025-07-21T18:18:00Z,29.79,72.41
2025-07-21T18:19:00Z,32.09,68.59
2025-07-21T18:20:00Z,24.00,76.00
2025-07-21T18:21:00Z,27.97,75.95
2025-07-21T18:22:00Z,39.62,57.62
2025-07-21T18:23:00Z,49.29,51.52
2025-07-21T18:24:00Z,47.83,52.59
2025-07-21T18:25:00Z,47.83,52.95
2025-07-21T18:26:00Z,48.98,53.00
2025-07-21T18:27:00Z,50.00,53.00
2025-07-21T18:28:00Z,50.00,53.00
2025-07-21T18:29:00Z,47.01,53.00
2025-07-21T18:30:00Z,47.16,53.58
2025-07-21T18:31:00Z,46.04,53.93
2025-07-21T18:33:00Z,43.22,53.93
2025-07-21T18:34:00Z,41.21,53.93
2025-07-21T18:35:00Z,43.69,54.00
2025-07-21T18:36:00Z,50.94,49.41
2025-07-21T18:37:00Z,54.71,43.96
2025-07-21T18:38:00Z,58.00,44.00
2025-07-21T18:39:00Z,52.60,51.21
2025-07-21T18:40:00Z,46.40,54.85
2025-07-21T18:41:00Z,47.02,53.00
2025-07-21T18:42:00Z,51.81,49.00
